,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
19296,19296,2024-08-06 01:00:00,10466.0,0.009774839492344,102.30347012687302,2046.3908781031407,0.1489093984060442,1917.703167714419,0.167938232421875,1.2426874961986731e-05,771.3,0.27,0.106,0.118,0.094,0.1796955393957347,0.0115575231337528,0.0059857364879525,17.6,16.4,15.1,13.2,771.3,80.0,18.2,2024-08-06,0.167938232421875,860.1590354586111
19297,19297,2024-08-06 01:30:00,10194.0,0.0099043889138462,100.96534058774824,1992.06336481502,0.1757242779686765,1870.5849906486424,0.193328857421875,1.2026181824646842e-05,771.5,0.268,0.106,0.118,0.094,0.1788195226313539,0.0105334645447446,0.0054553681044252,17.6,16.4,15.1,13.2,771.5,81.2,17.4,2024-08-06,0.193328857421875,860.1590354586111
19298,19298,2024-08-06 02:00:00,9756.0,0.0101242789871797,98.77246579892596,1905.1841503970315,0.2283577424155558,1792.820330783606,0.245758056640625,1.1606358086162597e-05,771.7,0.266,0.106,0.118,0.094,0.1779435058669732,0.0095094059557364,0.0049249997208979,17.6,16.4,15.1,13.2,771.7,88.4,15.4,2024-08-06,0.245758056640625,860.1590354586111
19299,19299,2024-08-06 02:30:00,10040.0,0.0099800598006974,100.1998003990028,1953.5005831001035,0.1973998756767029,1847.6974119056115,0.207183837890625,1.06041063458678e-05,771.9,0.264,0.106,0.118,0.094,0.1770674891025924,0.0084853473667282,0.0043946313373707,17.3,16.4,15.1,13.2,771.9,84.8,14.6,2024-08-06,0.207183837890625,860.1590354586111
19300,19300,2024-08-06 03:00:00,9964.0,0.0100180487462607,99.81983770774224,1928.3425672321496,0.2129398302222031,1829.4912192949084,0.219085693359375,1.0005954103796328e-05,772.1,0.262,0.106,0.118,0.094,0.1761914723382116,0.00746128877772,0.0038642629538434,17.0,16.4,15.1,13.2,772.1,82.0,14.2,2024-08-06,0.219085693359375,860.1590354586111
19301,19301,2024-08-06 03:30:00,10320.0,0.0098437403869769,101.58740079360236,2014.6356193801523,0.1640987129238162,1911.5151196245504,0.171051025390625,9.990184564891552e-06,772.4,0.26,0.106,0.118,0.094,0.1753154555738308,0.0064372301887117,0.0033338945703161,17.0,16.4,15.1,13.2,772.4,86.0,13.4,2024-08-06,0.171051025390625,860.1590354586111
19302,19302,2024-08-06 04:00:00,10258.0,0.0098734436668304,101.28178513434683,2002.9426608632991,0.1700298650640496,1902.798917988889,0.175567626953125,9.746241388940864e-06,772.6,0.26,0.106,0.118,0.094,0.1753154555738308,0.0064372301887117,0.0033338945703161,16.7,16.4,15.1,13.2,772.6,86.0,13.0,2024-08-06,0.175567626953125,860.1590354586111
19303,19303,2024-08-06 04:30:00,9952.0,0.0100240867470578,99.7597113067194,1943.8925559187253,0.2031947918857937,1848.7267668989289,0.206512451171875,9.532665712676856e-06,772.8,0.258,0.104,0.118,0.094,0.1737737846332639,0.0046350256735643,0.0024005179981709,16.4,16.4,15.1,13.2,772.8,88.4,12.2,2024-08-06,0.206512451171875,860.1590354586111
19304,19304,2024-08-06 05:00:00,9950.0,0.0100250941423417,99.74968671630002,1926.3838267139065,0.2142008257483873,1834.522832309176,0.215728759765625,9.27287192099027e-06,772.8,0.256,0.104,0.118,0.094,0.1728977678688831,0.003610967084556,0.0018701496146436,16.0,16.4,15.1,13.2,772.8,90.4,11.4,2024-08-06,0.215728759765625,860.1590354586111
19305,19305,2024-08-06 05:30:00,10314.0,0.0098466031877898,101.55786527886454,1994.904962112322,0.1742201141916682,1901.635024365512,0.176177978515625,9.08282108424917e-06,772.8,0.256,0.104,0.118,0.094,0.1728977678688831,0.003610967084556,0.0018701496146436,16.0,16.0,15.4,13.2,772.8,90.8,11.0,2024-08-06,0.176177978515625,860.1590354586111
19306,19306,2024-08-06 06:00:00,10046.0,0.0099770790470442,100.2297361066066,1929.191879609912,0.2123954415822571,1842.1528752883808,0.210723876953125,8.74972666483688e-06,772.7,0.254,0.104,0.118,0.094,0.1720217511045024,0.0025869084955478,0.0013397812311163,15.7,16.0,15.4,13.2,772.7,92.0,10.2,2024-08-06,0.210723876953125,860.1590354586111
19307,19307,2024-08-06 06:30:00,10226.0,0.0098888799766924,101.1236866416568,1961.961495748451,0.1924328784605212,1871.608356205841,0.192718505859375,8.939938114072463e-06,772.7,0.252,0.104,0.118,0.094,0.1711457343401216,0.0015628499065396,0.000809412847589,15.4,16.0,15.4,13.2,772.7,94.0,10.2,2024-08-06,0.192718505859375,860.1590354586111
19308,19308,2024-08-06 07:00:00,10006.0,0.0099970013493253,100.02999550134948,1918.731516103796,0.2192018454786632,1830.010599859477,0.218719482421875,8.97798040391958e-06,772.6,0.252,0.104,0.118,0.094,0.1711457343401216,0.0015628499065396,0.000809412847589,15.1,15.7,15.1,13.2,772.6,94.4,10.2,2024-08-06,0.218719482421875,860.1590354586111
19309,19309,2024-08-06 07:30:00,10344.0,0.009832314102932,101.70545708072896,1979.5014475484377,0.1825210929813616,1889.0761186336351,0.182891845703125,8.864349676195665e-06,772.4,0.25,0.104,0.118,0.094,0.1702697175757408,0.0005387913175314,0.0002790444640618,15.1,15.7,15.1,13.2,772.4,95.6,9.8,2024-08-06,0.182891845703125,860.1590354586111
19310,19310,2024-08-06 08:00:00,9950.0,0.0100250941423417,99.74968671630002,1903.4448435052248,0.2295622622236857,1815.799726077373,0.228546142578125,8.938528334573871e-06,772.3,0.25,0.104,0.118,0.094,0.1702697175757408,0.0005387913175314,0.0002790444640618,14.8,15.4,15.1,13.2,772.3,96.4,9.8,2024-08-06,0.228546142578125,860.1590354586111
19311,19311,2024-08-06 08:30:00,10176.0,0.0099131448214768,100.87616170334792,1939.045194886344,0.2061829365346826,1854.3418633362985,0.203033447265625,8.458959186023952e-06,772.1,0.25,0.104,0.118,0.094,0.1702697175757408,0.0005387913175314,0.0002790444640618,14.8,15.4,15.1,13.2,772.1,96.0,9.0,2024-08-06,0.203033447265625,860.1590354586111
19312,19312,2024-08-06 09:00:00,10250.0,0.0098772959664958,101.24228365658294,1945.5167669623909,0.2022033495077065,1864.2823975782685,0.196990966796875,8.069271992988906e-06,772.1,0.248,0.104,0.118,0.094,0.1693937008113601,0.0004852672714767,0.0002513239194654,14.5,15.4,15.1,13.2,772.1,96.4,8.2,2024-08-06,0.196990966796875,860.1590354586111
19313,19313,2024-08-06 09:30:00,10230.0,0.0098869464778027,101.14346246792226,1948.111602931845,0.2006294897412196,1866.768887083064,0.195526123046875,8.069271992988906e-06,771.9,0.248,0.104,0.118,0.094,0.1693937008113601,0.0004852672714767,0.0002513239194654,14.5,15.1,15.1,13.2,771.9,96.4,8.2,2024-08-06,0.195526123046875,860.1590354586111
19314,19314,2024-08-06 10:00:00,10396.0,0.0098076930331134,101.96077677224709,1980.164811380376,0.1821560331771704,1899.823922296339,0.177093505859375,7.831221750796028e-06,772.1,0.246,0.104,0.118,0.094,0.1685176840469793,0.0015093258604849,0.0007816923029927,14.2,15.1,15.1,13.2,772.1,96.0,7.8,2024-08-06,0.177093505859375,860.1590354586111
19315,19315,2024-08-06 10:30:00,10390.0,0.0098105244895645,101.93134944657604,1980.5040391012888,0.1819696195169967,1901.4932561973724,0.176239013671875,7.694808496428128e-06,772.3,0.244,0.104,0.118,0.094,0.1676416672825985,0.0025333844494931,0.00131206068652,14.2,15.1,15.1,13.2,772.3,96.8,7.4,2024-08-06,0.176239013671875,860.1590354586111
19316,19316,2024-08-06 11:00:00,10394.0,0.0098086365795135,101.95096860746348,1972.1042629991728,0.1866395861216616,1892.8045163921795,0.180877685546875,7.758401955076294e-06,772.4,0.244,0.104,0.118,0.094,0.1676416672825985,0.0025333844494931,0.00131206068652,13.8,14.8,15.1,13.5,772.4,97.6,7.4,2024-08-06,0.180877685546875,860.1590354586111
