,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS,Bare
1378,1378,2023-07-29 18:00:00,12470.0,0.008955024394639,111.66915420114904,2810.817709812643,0.0241629459166364,2723.2469174457924,0.025604248046875,5.9549552034300335e-06,797.1,0.011,0.063,0.0286408487110104,0.0167229030391575,0.0096815419283879,29.5,21.6,797.1,19.1,30.5,2023-07-29,0.025604248046875,833.0403260770895
1379,1379,2023-07-29 18:30:00,12552.0,0.0089257256686812,112.03570859328734,2835.16355756927,0.020170787400216,2752.763656865009,0.022247314453125,5.543244089664218e-06,796.9,0.012,0.063,0.0286408487110104,0.0167229030391575,0.0096815419283879,31.6,22.2,796.9,17.4,30.9,2023-07-29,0.022247314453125,833.0403260770895
1380,1380,2023-07-29 19:00:00,12208.0,0.0090506076781999,110.48981853546506,2754.608244788907,0.0338905057390622,2673.4271556027948,0.031524658203125,5.6233194919707935e-06,796.7,0.013,0.063,0.0286408487110104,0.0167229030391575,0.0096815419283879,34.2,22.8,796.7,17.0,31.6,2023-07-29,0.031524658203125,833.0403260770895
1381,1381,2023-07-29 19:30:00,12446.0,0.0089636543591165,111.5616421535646,2806.0866938591776,0.024953702845688,2723.5637849316686,0.025543212890625,5.6110381024707145e-06,796.6,0.014,0.063,0.0286408487110104,0.0167229030391575,0.0096815419283879,36.6,23.6,796.6,17.9,30.6,2023-07-29,0.025543212890625,833.0403260770895
1382,1382,2023-07-29 20:00:00,12472.0,0.0089543063555572,111.67810886650972,2805.081236691274,0.0251223987355996,2717.7432651203003,0.026214599609375,5.951150223291335e-06,796.8,0.014,0.064,0.0290954653572169,0.0161653448802431,0.0093587497265552,38.1,24.5,796.8,21.4,28.4,2023-07-29,0.026214599609375,833.0403260770895
1383,1383,2023-07-29 20:30:00,12630.0,0.0088981213599913,112.3832727766904,2853.3064615907524,0.0172771566997009,2754.176427795888,0.022125244140625,6.665300552443762e-06,796.9,0.014,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,36.9,25.2,796.9,24.1,28.3,2023-07-29,0.022125244140625,833.0403260770895
1384,1384,2023-07-29 21:00:00,12480.0,0.0089514359254929,111.71392035015153,2818.969529399649,0.022811982470503,2736.9734255636804,0.024017333984375,5.5479032172920536e-06,796.9,0.013,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,35.7,25.8,796.9,19.2,29.1,2023-07-29,0.024017333984375,833.0403260770895
1385,1385,2023-07-29 21:30:00,12392.0,0.0089831633635091,111.31936040060596,2808.164201783277,0.0246058505951075,2721.632992172406,0.025787353515625,5.887751258958921e-06,797.1,0.012,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,34.9,26.1,797.1,20.6,28.9,2023-07-29,0.025787353515625,833.0403260770895
1386,1386,2023-07-29 22:00:00,12392.0,0.0089831633635091,111.31936040060596,2815.03937747275,0.0234614932631577,2723.614523204072,0.025543212890625,6.216198520030156e-06,797.2,0.012,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,34.5,26.2,797.2,22.6,28.2,2023-07-29,0.025543212890625,833.0403260770895
1387,1387,2023-07-29 22:30:00,12448.0,0.0089629342422759,111.57060544785082,2814.887111774262,0.023486725052463,2724.001445832348,0.025482177734375,6.178660038482253e-06,796.6,0.012,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,34.2,26.3,796.6,21.5,29.0,2023-07-29,0.025482177734375,833.0403260770895
1388,1388,2023-07-29 23:00:00,12344.0,0.009000612062431,111.1035552986492,2776.054895087835,0.0300915452902182,2693.972575259229,0.029022216796875,5.642384684048762e-06,796.1,0.012,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,34.5,26.4,796.1,18.0,30.6,2023-07-29,0.029022216796875,833.0403260770895
1389,1389,2023-07-29 23:30:00,12808.0,0.008836073923045,113.17243480636088,2870.9217187998534,0.0145316394626329,2787.110930340488,0.018585205078125,5.568675509972597e-06,795.7,0.012,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,35.7,26.6,795.7,17.2,31.2,2023-07-29,0.018585205078125,833.0403260770895
1390,1390,2023-07-30 00:00:00,12668.0,0.0088847655594515,112.55221010713204,2826.858272560328,0.0215183538291499,2739.652145642095,0.023712158203125,5.894647168372807e-06,795.5,0.013,0.065,0.0295500820034234,0.0156077867213286,0.0090359575247224,36.3,26.8,795.5,20.4,29.1,2023-07-30,0.023712158203125,834.3448733523034
1391,1391,2023-07-30 00:30:00,12670.0,0.0088840642874539,112.56109452204169,2819.054594448122,0.0227979614836867,2727.709774789056,0.025054931640625,6.2014322420278855e-06,795.4,0.012,0.066,0.0300046986496299,0.0150502285624141,0.0087131653228897,35.5,27.1,795.4,22.3,28.4,2023-07-30,0.025054931640625,834.3448733523034
