,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
635,635,2023-07-14 06:30:00,20696.0,0.0069511521099166,143.86104406683555,2651.1323594804453,0.116056582285407,2576.176108274716,0.115753173828125,5.38813601125132e-06,723.7,0.0,0.026,0.075,0.0259559888763819,0.0616430889948787,0.0315422528928515,15.4,16.7,16.6,723.7,52.2,11.5,2023-07-14,0.115753173828125,1185.0599958605997
636,636,2023-07-14 07:00:00,21022.0,0.0068970438018917,144.98965480336864,2694.2052679267745,0.1050437900076041,2616.755612106256,0.106719970703125,5.4810349079970325e-06,723.7,0.0,0.026,0.075,0.0259559888763819,0.0616430889948787,0.0315422528928515,14.9,16.3,16.4,723.7,53.1,11.5,2023-07-14,0.106719970703125,1185.0599958605997
637,637,2023-07-14 07:30:00,21110.0,0.0068826531409511,145.29280780547947,2690.9788900993976,0.1058417321006396,2616.2598917725736,0.106781005859375,5.28879091313428e-06,723.1,0.0,0.026,0.075,0.0259559888763819,0.0616430889948787,0.0315422528928515,14.7,16.0,16.3,723.1,50.6,11.7,2023-07-14,0.106781005859375,1185.0599958605997
638,638,2023-07-14 08:00:00,21132.0,0.0068790695284416,145.3684972750286,2687.39215864432,0.1067337700040077,2613.871245561876,0.107330322265625,5.208743134258627e-06,723.1,0.0,0.026,0.075,0.0259559888763819,0.0616430889948787,0.0315422528928515,14.4,15.7,16.1,723.1,52.4,10.9,2023-07-14,0.107330322265625,1185.0599958605997
639,639,2023-07-14 08:30:00,21134.0,0.0068787440229866,145.37537618180048,2684.7367078166085,0.1073975939290059,2612.2167619975967,0.107696533203125,5.1410816251877655e-06,723.0,0.0,0.026,0.075,0.0259559888763819,0.0616430889948787,0.0315422528928515,14.1,15.5,15.9,723.0,54.4,10.1,2023-07-14,0.107696533203125,1185.0599958605997
653,653,2023-07-14 15:30:00,20420.0,0.0069979708826234,142.89856542317,2612.67542109321,0.1265921355686403,2551.028904314513,0.121673583984375,4.475065573101449e-06,724.6,0.0,0.026,0.074,0.0257298408327086,0.061906306123807,0.0316769388954799,11.3,12.3,13.8,724.6,31.7,16.6,2023-07-14,0.121673583984375,1185.0599958605997
654,654,2023-07-14 16:00:00,20720.0,0.0069471251797091,143.94443372357264,2648.70656325306,0.1167007923470302,2590.3918983522144,0.112518310546875,4.1688719091286445e-06,724.7,0.0,0.026,0.074,0.0257298408327086,0.061906306123807,0.0316769388954799,11.9,12.4,13.6,724.7,25.0,19.4,2023-07-14,0.112518310546875,1185.0599958605997
655,655,2023-07-14 16:30:00,20580.0,0.0069707148067752,143.45731072343438,2623.554213085383,0.1235404201813629,2572.889250390376,0.116485595703125,3.646639861257884e-06,724.7,0.0,0.026,0.073,0.0255036927890354,0.0621695232527353,0.0318116248981083,12.2,12.5,13.5,724.7,19.8,21.1,2023-07-14,0.116485595703125,1185.0599958605997
656,656,2023-07-14 17:00:00,20862.0,0.0069234415399543,144.43683740652867,2679.293004180422,0.1087675717864589,2621.5256954145966,0.105682373046875,4.080696134377319e-06,725.0,0.001,0.026,0.073,0.0255036927890354,0.0621695232527353,0.0318116248981083,12.6,12.6,13.5,725.0,21.4,21.7,2023-07-14,0.105682373046875,1185.0599958605997
657,657,2023-07-14 17:30:00,20816.0,0.0069310871625178,144.27751037497146,2669.643087373182,0.1112267106662084,2615.745320475038,0.106903076171875,3.81576442705363e-06,725.0,0.001,0.026,0.073,0.0255036927890354,0.0621695232527353,0.0318116248981083,13.1,12.8,13.4,725.0,19.0,22.6,2023-07-14,0.106903076171875,1185.0599958605997
658,658,2023-07-14 18:00:00,20798.0,0.0069340858303405,144.215117099422,2657.949478484639,0.1142602973795759,2603.2745149626035,0.109649658203125,3.889329836952217e-06,725.0,0.001,0.026,0.073,0.0255036927890354,0.0621695232527353,0.0318116248981083,14.1,12.9,13.4,725.0,18.5,23.4,2023-07-14,0.109649658203125,1185.0599958605997
659,659,2023-07-14 18:30:00,20800.0,0.0069337524528153,144.22205101855957,2651.402952131696,0.1159848862886203,2596.529455915372,0.111114501953125,3.913592636289258e-06,724.9,0.002,0.026,0.072,0.0252775447453621,0.0624327403816637,0.0319463109007367,16.8,13.3,13.4,724.9,18.3,23.7,2023-07-14,0.111114501953125,1185.0599958605997
662,662,2023-07-14 20:00:00,21264.0,0.006857684775605,145.82180906846548,2705.999691044364,0.1021623290592918,2646.7356111902222,0.100433349609375,4.146553043008125e-06,724.5,0.004,0.027,0.072,0.0256235018838577,0.062030075634943,0.0317402707187927,26.1,16.8,13.9,724.5,19.5,23.6,2023-07-14,0.100433349609375,1185.0599958605997
663,663,2023-07-14 20:30:00,21104.0,0.0068836314622194,145.27215837867902,2679.7776959863563,0.1086450919228451,2624.909259892123,0.104949951171875,3.870922951199345e-06,724.4,0.004,0.028,0.072,0.0259694590223533,0.0616274108882223,0.0315342305368486,28.1,18.4,14.3,724.4,17.2,24.6,2023-07-14,0.104949951171875,1185.0599958605997
664,664,2023-07-14 21:00:00,20970.0,0.006905589920542,144.81022063376605,2668.03649506008,0.1116399811611738,2621.053000365873,0.105804443359375,3.3195235519386105e-06,724.4,0.004,0.028,0.072,0.0259694590223533,0.0616274108882223,0.0315342305368486,29.7,19.8,14.8,724.4,14.1,25.4,2023-07-14,0.105804443359375,1185.0599958605997
665,665,2023-07-14 21:30:00,20940.0,0.006910534847721,144.70659971127785,2669.1740806534726,0.1113472405692811,2617.3032821965376,0.106597900390625,3.6700765567715855e-06,724.4,0.004,0.028,0.073,0.0261956070660266,0.061364193759294,0.0313995445342202,31.0,21.0,15.3,724.4,16.4,24.5,2023-07-14,0.106597900390625,1185.0599958605997
666,666,2023-07-14 22:00:00,21196.0,0.0068686762163251,145.58846108122717,2710.129771171263,0.1011663019049324,2649.3008772415383,0.099884033203125,4.251917962113423e-06,724.4,0.004,0.028,0.073,0.0261956070660266,0.061364193759294,0.0313995445342202,31.9,22.2,15.9,724.4,19.0,24.5,2023-07-14,0.099884033203125,1185.0599958605997
667,667,2023-07-14 22:30:00,21020.0,0.0068973719122509,144.9827575955155,2683.625173614494,0.1076763253507823,2627.3025306481004,0.104461669921875,3.969896479823246e-06,724.4,0.003,0.028,0.073,0.0261956070660266,0.061364193759294,0.0313995445342202,32.5,23.2,16.5,724.4,19.1,23.2,2023-07-14,0.104461669921875,1185.0599958605997
668,668,2023-07-14 23:00:00,21058.0,0.0068911458109591,145.11374848717816,2698.8728850482858,0.103896832493993,2641.0694031158378,0.101593017578125,4.053035673117975e-06,724.2,0.003,0.028,0.073,0.0261956070660266,0.061364193759294,0.0313995445342202,32.7,24.0,17.1,724.2,19.5,23.2,2023-07-14,0.101593017578125,1185.0599958605997
669,669,2023-07-14 23:30:00,20996.0,0.0069013128926195,144.89996549343965,2690.704599591317,0.1059097640516067,2635.2106505159927,0.102813720703125,3.899747913571536e-06,724.3,0.003,0.028,0.073,0.0261956070660266,0.061364193759294,0.0313995445342202,32.5,24.6,17.6,724.3,20.1,22.0,2023-07-14,0.102813720703125,1185.0599958605997
