,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS,Bare
18036,18036,2024-07-10 19:00:00,9622.0,0.0101945327109157,98.09179374443104,2106.154729231228,0.1448520186475473,2049.8284710349226,0.107574462890625,5.088615316970874e-06,795.4,0.09,0.081,0.0858099328648285,0.0332428867182965,0.0192231734804866,15.7,13.3,795.4,20.1,26.7,2024-07-10,0.107574462890625,1061.5904710636428
18037,18037,2024-07-10 19:30:00,9956.0,0.0100220728672289,99.77975746613136,2187.1261786024647,0.1167865949577946,2117.8972942248874,0.089935302734375,6.053250933642371e-06,795.2,0.09,0.081,0.0858099328648285,0.0332428867182965,0.0192231734804866,17.6,13.6,795.2,23.0,27.4,2024-07-10,0.089935302734375,1061.5904710636428
18038,18038,2024-07-10 20:00:00,9640.0,0.0101850105465838,98.18350166906862,2130.0837074024325,0.1359871769347226,2047.6931650040303,0.108184814453125,7.451071338378919e-06,795.0,0.09,0.08,0.0853443698498094,0.0326722385733484,0.0188931880499308,18.6,14.0,795.0,28.0,27.6,2024-07-10,0.108184814453125,1061.5904710636428
18039,18039,2024-07-10 20:30:00,9436.0,0.0102945183930317,97.13907555664711,2059.100566497659,0.1639167602429662,2002.901992360852,0.121551513671875,5.196032256376643e-06,794.9,0.089,0.08,0.0848099328648285,0.0320171704853935,0.0185143855830151,18.8,14.5,794.9,19.1,28.0,2024-07-10,0.121551513671875,1061.5904710636428
18040,18040,2024-07-10 21:00:00,9814.0,0.0100943177917713,99.06563480844405,2141.3189497717062,0.1319991525604549,2078.593566533377,0.099822998046875,5.588303503784189e-06,794.6,0.089,0.079,0.0843443698498094,0.0314465223404453,0.0181844001524593,19.0,14.8,794.6,21.0,27.6,2024-07-10,0.099822998046875,1061.5904710636428
18041,18041,2024-07-10 21:30:00,9694.0,0.0101566033547741,98.45811292118086,2117.162236653407,0.1407095412080533,2048.6996784776125,0.107879638671875,6.188438279766425e-06,794.3,0.088,0.079,0.0838099328648285,0.0307914542524904,0.0178055976855437,18.7,15.1,794.3,23.0,27.8,2024-07-10,0.107879638671875,1061.5904710636428
18042,18042,2024-07-10 22:00:00,9616.0,0.0101977127056,98.0612053770501,2102.5853831401187,0.1462197140566288,2027.7830911244985,0.113922119140625,6.831241645035723e-06,794.0,0.088,0.079,0.0838099328648285,0.0307914542524904,0.0178055976855437,18.4,15.2,794.0,24.7,28.3,2024-07-10,0.113922119140625,1061.5904710636428
18043,18043,2024-07-10 22:30:00,9824.0,0.0100891789033907,99.11609354691092,2134.3618723850022,0.1344559319075205,2071.645287771118,0.101654052734375,5.606260108553667e-06,794.0,0.088,0.079,0.0838099328648285,0.0307914542524904,0.0178055976855437,18.4,15.3,794.0,21.9,26.9,2024-07-10,0.101654052734375,1061.5904710636428
18044,18044,2024-07-10 23:00:00,9748.0,0.0101284325377082,98.73196037757988,2122.7067924059984,0.1386649938108526,2060.111869795726,0.104766845703125,5.626710134137077e-06,794.3,0.088,0.078,0.0833443698498094,0.0302208061075422,0.0174756122549878,18.3,15.4,794.3,23.9,25.4,2024-07-10,0.104766845703125,1061.5904710636428
18045,18045,2024-07-10 23:30:00,9826.0,0.0100881520672064,99.12618221237013,2162.8072648153648,0.1246614504189535,2078.108047166644,0.099945068359375,7.547750140664805e-06,794.4,0.088,0.078,0.0833443698498094,0.0302208061075422,0.0174756122549878,17.8,15.5,794.4,31.0,26.0,2024-07-10,0.099945068359375,1061.5904710636428
