,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS,Bare
2191,2191,2023-08-15 16:30:00,11360.0,0.00938233281301,106.58330075579384,2616.4145066803594,0.0545208551414826,2511.090161782863,0.063995361328125,7.767346872365211e-06,801.4,0.074,0.074,0.0466690475583121,0.0329999999999999,18.8,801.4,37.8,23.0,2023-08-15,0.063995361328125,966.1196698818366
2192,2192,2023-08-15 17:00:00,11754.0,0.009223742215208,108.41586599755593,2723.007921854948,0.0375335974005904,2602.5546339221683,0.051300048828125,8.570872688416827e-06,801.1,0.075,0.075,0.0480832611206852,0.0339999999999999,20.0,801.1,39.4,24.0,2023-08-15,0.051300048828125,966.1196698818366
2193,2193,2023-08-15 17:30:00,11798.0,0.0092065264261498,108.61859877571612,2733.5972521560543,0.0359858189210102,2610.3965104295035,0.050262451171875,8.740033202017103e-06,801.0,0.075,0.075,0.0480832611206852,0.0339999999999999,21.5,801.0,39.5,24.3,2023-08-15,0.050262451171875,966.1196698818366
2194,2194,2023-08-15 18:00:00,11904.0,0.0091654446888345,109.10545357588684,2752.41143159734,0.033292271525925,2625.5709850046883,0.048370361328125,8.946233686075687e-06,800.7,0.076,0.076,0.0494974746830583,0.035,22.9,800.7,38.0,25.4,2023-08-15,0.048370361328125,966.1196698818366
2195,2195,2023-08-15 18:30:00,11898.0,0.0091677554022682,109.07795377618706,2734.061831899073,0.035918444530775,2606.516215104218,0.050811767578125,9.061734789464729e-06,800.3,0.077,0.077,0.0509116882454314,0.036,24.3,800.3,36.6,26.3,2023-08-15,0.050811767578125,966.1196698818366
2196,2196,2023-08-15 19:00:00,12046.0,0.0091112627417824,109.754270987511,2746.849515970899,0.0340811575439541,2631.2675123124764,0.047698974609375,8.134511086920564e-06,799.9,0.077,0.077,0.0509116882454314,0.036,25.7,799.9,30.4,27.7,2023-08-15,0.047698974609375,966.1196698818366
2197,2197,2023-08-15 19:30:00,11790.0,0.0092096493999256,108.58176642512316,2678.725244153381,0.0442673192920652,2569.731266180669,0.055633544921875,7.854545049352814e-06,799.6,0.078,0.078,0.0523259018078045,0.0369999999999999,26.9,799.6,28.4,28.3,2023-08-15,0.055633544921875,966.1196698818366
2198,2198,2023-08-15 20:00:00,11928.0,0.0091562192766438,109.21538353180836,2703.354551044876,0.0404689648836249,2595.386094354086,0.052215576171875,7.703731899441576e-06,799.1,0.079,0.079,0.0537401153701776,0.0379999999999999,28.0,799.1,27.4,28.6,2023-08-15,0.052215576171875,966.1196698818366
2199,2199,2023-08-15 20:30:00,11828.0,0.0091948435064744,108.7566089945802,2665.265790396364,0.0464017731998169,2566.1458547769994,0.056121826171875,7.152961940587251e-06,798.7,0.079,0.079,0.0537401153701776,0.0379999999999999,28.8,798.7,23.7,29.9,2023-08-15,0.056121826171875,966.1196698818366
2200,2200,2023-08-15 21:00:00,11936.0,0.0091531503242276,109.2520022699813,2650.007077213801,0.048873768759908,2572.06059440578,0.055328369140625,5.612050464414585e-06,798.3,0.079,0.079,0.0537401153701776,0.0379999999999999,29.5,798.3,18.9,29.6,2023-08-15,0.055328369140625,966.1196698818366
2201,2201,2023-08-15 21:30:00,12090.0,0.0090946679949733,109.95453605922768,2713.9387034308925,0.0388778708687607,2617.8484048632,0.049346923828125,6.797375929676032e-06,797.9,0.08,0.08,0.0551543289325507,0.039,30.0,797.9,22.4,30.0,2023-08-15,0.049346923828125,966.1196698818366
2202,2202,2023-08-15 22:00:00,12330.0,0.0090057204493049,111.04053313993047,2755.534772608778,0.0328519441780832,2665.932251367811,0.043548583984375,6.224111464405908e-06,797.7,0.08,0.08,0.0551543289325507,0.039,30.3,797.7,20.4,30.1,2023-08-15,0.043548583984375,966.1196698818366
2203,2203,2023-08-15 22:30:00,12408.0,0.0089773696425817,111.39120252515455,2766.520212558084,0.0313183159500956,2676.945784311401,0.042266845703125,6.196560714802096e-06,797.4,0.08,0.08,0.0551543289325507,0.039,30.4,797.4,20.2,30.2,2023-08-15,0.042266845703125,966.1196698818366
2204,2204,2023-08-15 23:00:00,12318.0,0.0090101059964114,110.98648566379602,2738.4773493731914,0.035280297746235,2645.9938229831123,0.045928955078125,6.472645103085358e-06,797.2,0.079,0.079,0.0537401153701776,0.0379999999999999,30.4,797.2,21.1,30.2,2023-08-15,0.045928955078125,966.1196698818366
2205,2205,2023-08-15 23:30:00,12046.0,0.0091112627417824,109.754270987511,2679.91931975376,0.0440799968610613,2581.922747806651,0.053985595703125,7.028681760116528e-06,796.9,0.079,0.079,0.0537401153701776,0.0379999999999999,30.1,796.9,23.8,29.5,2023-08-15,0.053985595703125,966.1196698818366
2206,2206,2023-08-16 00:00:00,12132.0,0.0090789118450473,110.14535850411492,2689.920350936453,0.0425238813992553,2592.1774866144992,0.052642822265625,6.98275119024797e-06,796.6,0.079,0.079,0.0537401153701776,0.0379999999999999,29.6,796.6,24.7,28.7,2023-08-16,0.052642822265625,964.9382684341645
2207,2207,2023-08-16 00:30:00,12168.0,0.0090654715536736,110.3086578651014,2704.5808551574764,0.0402833721017331,2606.130673144669,0.050811767578125,6.995625881475089e-06,796.4,0.078,0.078,0.0523259018078045,0.0369999999999999,28.8,796.4,26.0,27.8,2023-08-16,0.050811767578125,964.9382684341645
2208,2208,2023-08-16 01:00:00,12256.0,0.009032867169124,110.70682002478438,2722.8103578657947,0.0375626960169143,2623.0686598933144,0.048675537109375,7.04163222722115e-06,796.3,0.077,0.077,0.0509116882454314,0.036,27.7,796.3,28.6,26.2,2023-08-16,0.048675537109375,964.9382684341645
2209,2209,2023-08-16 01:30:00,12266.0,0.0090291843430366,110.75197515168747,2732.519110477908,0.0361423440708242,2629.032939392117,0.047943115234375,7.289412570486408e-06,796.5,0.077,0.077,0.0509116882454314,0.036,26.5,796.5,33.7,23.9,2023-08-16,0.047943115234375,964.9382684341645
2210,2210,2023-08-16 02:00:00,12314.0,0.0090115692698269,110.9684639886486,2752.48582040582,0.0332817619167615,2648.258427255904,0.045623779296875,7.288325377609112e-06,796.7,0.076,0.076,0.0494974746830583,0.035,25.6,796.7,36.5,22.5,2023-08-16,0.045623779296875,964.9382684341645
2211,2211,2023-08-16 02:30:00,12078.0,0.0090991848405435,109.89995450408522,2714.7498731432306,0.0387569249115331,2605.076976360868,0.050994873046875,7.796236305005046e-06,797.1,0.075,0.075,0.0480832611206852,0.0339999999999999,24.8,797.1,45.4,19.9,2023-08-16,0.050994873046875,964.9382684341645
2212,2212,2023-08-16 03:00:00,12036.0,0.0091150469603871,109.70870521521982,2715.7621197579847,0.0386061952722038,2598.5797528086327,0.051788330078125,8.350884093705208e-06,797.5,0.075,0.075,0.0480832611206852,0.0339999999999999,24.1,797.5,52.5,18.6,2023-08-16,0.051788330078125,964.9382684341645
2213,2213,2023-08-16 03:30:00,12094.0,0.0090931638739021,109.97272389097216,2732.993727520518,0.0360734095212527,2614.288301822751,0.049774169921875,8.408592971555767e-06,797.8,0.075,0.075,0.0480832611206852,0.0339999999999999,23.6,797.8,58.5,16.9,2023-08-16,0.049774169921875,964.9382684341645
2214,2214,2023-08-16 04:00:00,12040.0,0.0091135327072061,109.72693379476162,2720.567679428856,0.0378935885862619,2610.203236622821,0.050323486328125,7.829987907508185e-06,798.2,0.074,0.074,0.0466690475583121,0.0329999999999999,23.1,798.2,55.8,16.5,2023-08-16,0.050323486328125,964.9382684341645
2215,2215,2023-08-16 04:30:00,11824.0,0.0091963986597213,108.7382177525455,2675.948276423793,0.0447042351726416,2567.109647261446,0.055999755859375,7.851359881815874e-06,798.4,0.074,0.074,0.0466690475583121,0.0329999999999999,22.7,798.4,59.8,15.4,2023-08-16,0.055999755859375,964.9382684341645
