,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
18507,18507,2024-07-20 14:30:00,9440.0,0.0102923371199077,97.15966241192896,2002.1067085965497,0.3047524049409076,1905.1909872392632,0.287689208984375,9.42023971723264e-06,790.1,0.172,0.164,0.188,0.286,0.1748805118413574,0.057824938406442,0.0309699776288718,16.7,14.5,16.0,16.4,790.1,77.2,14.2,2024-07-20,0.287689208984375,900.8511691694126
18508,18508,2024-07-20 15:00:00,9496.0,0.0102619441576072,97.44742172063866,2012.1021464146063,0.2974792338321441,1919.761240657496,0.277984619140625,8.90744503568665e-06,790.2,0.174,0.164,0.188,0.288,0.1758608689562153,0.0589858340253715,0.0315917320541856,19.2,15.4,16.0,16.4,790.2,61.6,17.0,2024-07-20,0.277984619140625,900.8511691694126
18509,18509,2024-07-20 15:30:00,9342.0,0.0103461809207366,96.65402216152208,1970.4784611525536,0.329163226820565,1881.7300751508872,0.304290771484375,8.7339233791473e-06,790.1,0.176,0.166,0.188,0.292,0.1775611793910899,0.0609992665845387,0.0326700896457901,21.1,16.4,16.0,16.0,790.1,60.4,17.0,2024-07-20,0.304290771484375,900.8511691694126
18510,18510,2024-07-20 16:00:00,9690.0,0.0101586994446437,98.4377976185977,2050.531552190086,0.2712839213188741,1950.4066088416955,0.258880615234375,9.506559345919847e-06,790.0,0.178,0.168,0.188,0.294,0.1792127534694366,0.0629549877017035,0.0337175380463605,21.4,17.3,16.0,16.0,790.0,61.2,18.2,2024-07-20,0.258880615234375,900.8511691694126
18511,18511,2024-07-20 16:30:00,9480.0,0.010270600375222,97.36529155710468,2006.9652953126608,0.3011919201580379,1905.3622623865228,0.287567138671875,9.874960179087702e-06,789.8,0.178,0.168,0.188,0.296,0.1792614898259645,0.0630126991437058,0.0337484472373946,22.6,18.2,16.0,16.0,789.8,55.2,20.6,2024-07-20,0.287567138671875,900.8511691694126
18512,18512,2024-07-20 17:00:00,9348.0,0.0103428600473015,96.68505572217455,1966.328349125777,0.3325343925783109,1873.7908817998944,0.310150146484375,9.14540047652008e-06,789.7,0.182,0.168,0.186,0.298,0.1808250417774992,0.0648641883439128,0.0347400709328229,25.1,19.2,16.4,16.0,789.7,48.8,21.4,2024-07-20,0.310150146484375,900.8511691694126
18513,18513,2024-07-20 17:30:00,9480.0,0.010270600375222,97.36529155710468,1989.3314691823832,0.3143486355071729,1898.8675571376127,0.292022705078125,8.822403775142805e-06,789.6,0.182,0.17,0.186,0.3,0.1815449950975159,0.0657167252841504,0.0351966740991135,24.8,20.1,16.7,16.0,789.6,46.0,21.8,2024-07-20,0.292022705078125,900.8511691694126
18514,18514,2024-07-20 18:00:00,9420.0,0.0103032573745655,97.05668446840744,1975.3392823146864,0.3252662524704021,1890.586758995197,0.297882080078125,8.30160882654906e-06,789.2,0.182,0.17,0.188,0.302,0.181942157375697,0.0661870273218026,0.0354485592543129,26.4,20.7,16.7,16.0,789.2,40.4,23.0,2024-07-20,0.297882080078125,900.8511691694126
18515,18515,2024-07-20 18:30:00,9594.0,0.0102093981971948,97.94896630388703,2008.8563488808484,0.2998190263512395,1926.45931096426,0.273651123046875,7.920598498214145e-06,789.0,0.184,0.172,0.186,0.304,0.1832453055323904,0.0677301578433175,0.036275031690718,26.7,21.7,17.0,16.0,789.0,36.0,24.2,2024-07-20,0.273651123046875,900.8511691694126
18516,18516,2024-07-20 19:00:00,9654.0,0.0101776228378426,98.25477087653302,2013.470591678235,0.2964990096165213,1932.872020187267,0.269561767578125,7.722012234296907e-06,788.6,0.182,0.172,0.188,0.306,0.1827108470522414,0.0670972757040426,0.0359360716116378,24.5,22.3,17.3,15.7,788.6,32.8,25.4,2024-07-20,0.269561767578125,900.8511691694126
