,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
3878,3878,2023-09-19 20:00:00,11218.0,0.0094415279290227,105.9150603077768,2327.4604273324426,0.1038253598998576,2247.6679325672403,0.088897705078125,6.574097403527313e-06,780.9,0.081,0.068,0.1,0.0808788029067162,0.0149362093191707,0.0076289373274165,16.7,13.4,12.7,780.9,43.6,17.7,2023-09-19,0.088897705078125,887.3402118782129
3879,3879,2023-09-19 20:30:00,11240.0,0.0094322834738068,106.01886624558855,2331.56072550862,0.1027367405130307,2248.800164126973,0.088653564453125,6.815203115853539e-06,780.7,0.081,0.069,0.1,0.0812246634080867,0.0145339143131776,0.007423457923488,17.5,13.8,12.9,780.7,47.7,16.8,2023-09-19,0.088653564453125,887.3402118782129
3880,3880,2023-09-19 21:00:00,11534.0,0.0093112937200165,107.39646176667088,2404.981075733729,0.0846073501212975,2320.358652621672,0.074676513671875,6.753619349801674e-06,780.7,0.081,0.069,0.1,0.0812246634080867,0.0145339143131776,0.007423457923488,17.4,14.2,13.1,780.7,45.6,17.4,2023-09-19,0.074676513671875,887.3402118782129
3881,3881,2023-09-19 21:30:00,11156.0,0.0094677274481971,105.62196741208714,2300.8366467907385,0.1111102025406639,2234.047536768126,0.091827392578125,5.536298357278378e-06,780.7,0.082,0.069,0.1,0.0816485403054251,0.0140408728751429,0.007171628148596,17.8,14.5,13.3,780.7,34.6,18.7,2023-09-19,0.091827392578125,887.3402118782129
3882,3882,2023-09-19 22:00:00,11436.0,0.0093511048515528,106.9392350823588,2353.1305542200967,0.0971491635851816,2288.4528590658024,0.080657958984375,5.233820267282387e-06,780.6,0.082,0.069,0.1,0.0816485403054251,0.0140408728751429,0.007171628148596,19.2,14.8,13.5,780.6,34.3,17.9,2023-09-19,0.080657958984375,887.3402118782129
3883,3883,2023-09-19 22:30:00,11314.0,0.0094013866187553,106.36728820459794,2338.9904401382946,0.1007859911588194,2273.9477468214627,0.083526611328125,5.296930513753968e-06,781.2,0.082,0.07,0.1,0.0819944008067955,0.0136385778691497,0.0069661487446675,18.3,15.1,13.7,781.2,40.1,15.5,2023-09-19,0.083526611328125,887.3402118782129
3884,3884,2023-09-19 23:00:00,11368.0,0.0093790309185516,106.62082348209472,2377.135554241698,0.0911930832074783,2298.0411622750007,0.078826904296875,6.373736843321923e-06,782.5,0.081,0.07,0.101,0.0818007865107483,0.0138637844598995,0.007081177058066,16.2,15.4,13.9,782.5,60.6,11.8,2023-09-19,0.078826904296875,887.3402118782129
3885,3885,2023-09-19 23:30:00,10964.0,0.0095502664083972,104.7091209016674,2294.3477409384886,0.112944641396285,2213.148749546497,0.096466064453125,6.794324268017406e-06,782.3,0.08,0.07,0.101,0.08137690961341,0.0143568258979342,0.007333006832958,15.1,15.4,14.0,782.3,60.7,12.8,2023-09-19,0.096466064453125,887.3402118782129
3886,3886,2023-09-20 00:00:00,10996.0,0.0095363599337346,104.86181383134664,2306.478838184308,0.1095342967924425,2227.79857622047,0.093170166015625,6.540276593098181e-06,782.3,0.08,0.07,0.101,0.08137690961341,0.0143568258979342,0.007333006832958,15.3,15.2,14.2,782.3,59.9,12.4,2023-09-20,0.093170166015625,884.5771517375482
3887,3887,2023-09-20 00:30:00,11006.0,0.009532026603237,104.90948479522716,2292.646840146097,0.1134294469819323,2214.736277071067,0.096099853515625,6.514492131772868e-06,782.0,0.08,0.07,0.101,0.08137690961341,0.0143568258979342,0.007333006832958,15.1,15.1,14.3,782.0,58.2,12.8,2023-09-20,0.096099853515625,884.5771517375482
3888,3888,2023-09-20 01:00:00,11276.0,0.0094172145813822,106.18851161966629,2350.795341512988,0.097743051974998,2269.068350013933,0.084503173828125,6.669974509709043e-06,782.0,0.079,0.07,0.101,0.0809530327160716,0.0148498673359689,0.00758483660785,14.7,15.0,14.4,782.0,67.1,10.9,2023-09-20,0.084503173828125,884.5771517375482
3889,3889,2023-09-20 01:30:00,11190.0,0.0094533330056177,105.78279633286311,2326.5222438199426,0.1040756641221586,2248.4872881865485,0.088775634765625,6.426951037620846e-06,781.8,0.079,0.07,0.101,0.0809530327160716,0.0148498673359689,0.00758483660785,13.4,14.9,14.4,781.8,71.1,9.4,2023-09-20,0.088775634765625,884.5771517375482
3890,3890,2023-09-20 02:00:00,11240.0,0.0094322834738068,106.01886624558855,2334.6708337959262,0.1019167505188575,2258.0915515770284,0.086761474609375,6.2802363124520175e-06,781.9,0.078,0.07,0.101,0.0805291558187333,0.0153429087740036,0.0078366663827419,12.1,14.7,14.4,781.9,76.0,8.0,2023-09-20,0.086761474609375,884.5771517375482
3891,3891,2023-09-20 02:30:00,11204.0,0.0094474249356652,105.84894897919392,2328.0074236800706,0.1036796332788204,2252.498006095994,0.087921142578125,6.207874742037268e-06,782.0,0.077,0.069,0.101,0.0797594184200245,0.0162382452180315,0.0082939755615624,11.2,14.4,14.5,782.0,76.1,7.8,2023-09-20,0.087921142578125,884.5771517375482
