Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
10762,2024-02-10 06:00:00,15792.0,0.0079575876759903,125.66622457924008,1442.9654010631937,1.0187197958509406,1428.265529661014,1.200836181640625,1.9059470044460688e-06,682.7,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.5,0.8,1.5,682.7,91.8,-11.7
10763,2024-02-10 06:30:00,15628.0,0.0079992321105743,125.01199942405528,1429.683789739572,1.0951359041111233,1415.0089323020777,1.517730712890625,1.920529355039103e-06,682.6,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.5,0.8,1.5,682.6,91.8,-11.6
10764,2024-02-10 07:00:00,15738.000000000002,0.0079712279658001,125.45118572576348,1437.568975862844,1.048652771882935,1422.8290906986583,1.311431884765625,1.918437275131653e-06,682.4,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.7,1.5,682.4,91.7,-11.6
10765,2024-02-10 07:30:00,15280.0,0.0080898100211321,123.61229712289956,1394.56121101618,1.3526443860583408,1380.3850828672137,3.999969482421875,1.9017946144581691e-06,682.3,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,682.3,91.6,-11.7
10766,2024-02-10 08:00:00,15712.0,0.0079778205784075,125.34751692793918,1433.205705020599,1.0739531039955754,1418.8557362178865,1.408111572265625,1.8729188333237795e-06,682.0,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,682.0,90.9,-11.8
10767,2024-02-10 08:30:00,15147.999999999998,0.0081249809570981,123.07721153812348,1380.1870327860418,1.4902130325082137,1366.8969499728066,3.999969482421875,1.800520841709616e-06,681.9,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.9,90.1,-12.2
10768,2024-02-10 09:00:00,15652.0,0.007993096945072,125.1079533842673,1423.6676492285446,1.132999265912506,1409.748285040346,1.700592041015625,1.8284541022000807e-06,681.9,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.5,0.8,1.5,681.9,90.8,-12.1
10769,2024-02-10 09:30:00,15450.000000000002,0.0080451798670912,124.29802894656054,1398.853346277606,1.3158083396501372,1385.325762819666,3.806365966796875,1.808316942484221e-06,681.8,0.19,0.133,0.142,0.096,0.15366858447701873,0.09986325519953002,0.048433044587094146,0.2,0.5,0.8,1.5,681.8,89.8,-12.1
10770,2024-02-10 10:00:00,15537.999999999998,0.0080223654415416,124.65151423067432,1404.281606802914,1.271654003950139,1391.124375476181,2.954376220703125,1.7514784175435896e-06,681.6,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.6,89.0,-12.4
10771,2024-02-10 10:30:00,15927.999999999998,0.0079235422221413,126.206180514268,1436.684567137943,1.053699380748975,1423.900054398729,1.287811279296875,1.6626885797216174e-06,681.4,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.8,1.6,681.4,87.8,-12.9
10772,2024-02-10 11:00:00,15524.0,0.0080259820289474,124.59534501738015,1400.2911057080908,1.3038572289489203,1387.7840560325133,3.393280029296875,1.6689342266358112e-06,681.4,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.4,89.5,-13.1
10773,2024-02-10 11:30:00,15750.0,0.0079681907288959,125.49900398011133,1419.46523810075,1.1607898170957942,1406.930115462328,1.818389892578125,1.649917776017152e-06,681.3,0.191,0.133,0.142,0.096,0.15404703669619646,0.10029601056967835,0.048642928193389785,0.2,0.5,0.7,1.5,681.3,87.8,-13.0
10774,2024-02-10 12:00:00,15756.000000000002,0.0079666734117863,125.52290627610564,1423.3418974554504,1.1351127747758585,1411.1591541239209,1.647247314453125,1.5987307833562189e-06,681.4,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.7,1.5,681.4,86.4,-13.2
10775,2024-02-10 12:30:00,15510.0,0.0080296035119823,124.53915047084593,1412.8181041550188,1.2071965462472494,1400.3084089688894,2.170806884765625,1.6543571436233666e-06,681.6,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.4,0.8,1.5,681.6,90.8,-13.4
10776,2024-02-10 13:00:00,15402.0,0.0080577064295503,124.10479442793498,1403.2845997909967,1.279569764031346,1390.5577121172685,3.020843505859375,1.6948818665727194e-06,681.6,0.191,0.132,0.142,0.096,0.1537290362821556,0.09993238108116703,0.04846657020070206,0.2,0.5,0.8,1.5,681.6,89.5,-12.9
10777,2024-02-10 13:30:00,15590.0,0.0080089750809537,124.85992151206888,1420.353451269282,1.1548198147380644,1407.5311473774975,1.791900634765625,1.6869969272971308e-06,681.6,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.5,0.7,1.5,681.6,88.4,-12.8
10778,2024-02-10 14:00:00,15514.000000000002,0.0080285683023458,124.55520864259351,1412.8077142361683,1.2072715632475242,1400.4219861043202,2.163665771484375,1.6378301544165589e-06,681.7,0.19,0.132,0.142,0.096,0.15335058406297786,0.0994996257110187,0.04825668659440642,0.2,0.5,0.8,1.5,681.7,89.2,-13.3
