half_hour,datetime,lat,long,bare_nc_cph,swc,bwe,site,SiteName
2024-03-05 06:00:00,2024-03-05 06:00:00,39.17225,-107.24512,940.0535268789038,0.0,0.0,279,Crys 2
2024-03-05 06:30:00,2024-03-05 06:30:00,39.17225,-107.24512,926.3954064177931,0.0,0.0,279,Crys 2
2024-03-05 07:00:00,2024-03-05 07:00:00,39.17225,-107.24512,903.6109659430132,0.0,0.0,279,Crys 2
2024-03-05 07:30:00,2024-03-05 07:30:00,39.17225,-107.24512,938.3458304976789,0.0,0.0,279,Crys 2
2024-03-05 08:00:00,2024-03-05 08:00:00,39.17225,-107.24512,918.4423459711393,0.0,0.0,279,Crys 2
2024-03-05 08:30:00,2024-03-05 08:30:00,39.17225,-107.24512,900.2182498976063,0.0,0.0,279,Crys 2
2024-03-05 09:00:00,2024-03-05 09:00:00,39.17225,-107.24512,907.8619222799589,0.0,0.0,279,Crys 2
2024-03-05 09:30:00,2024-03-05 09:30:00,39.17225,-107.24512,946.0369101635093,0.0,0.0,279,Crys 2
2024-03-05 10:00:00,2024-03-05 10:00:00,39.17225,-107.24512,934.2091451778643,0.0,0.0,279,Crys 2
2024-03-05 10:30:00,2024-03-05 10:30:00,39.17225,-107.24512,898.7814789349901,0.0,0.0,279,Crys 2
2024-03-05 11:00:00,2024-03-05 11:00:00,39.17225,-107.24512,908.9056869241575,0.0,0.0,279,Crys 2
2024-03-05 11:30:00,2024-03-05 11:30:00,39.17225,-107.24512,918.8243878125932,0.0,0.0,279,Crys 2
2024-03-05 12:00:00,2024-03-05 12:00:00,39.17225,-107.24512,914.9605431870507,0.0,0.0,279,Crys 2
2024-03-05 12:30:00,2024-03-05 12:30:00,39.17225,-107.24512,933.5583486708962,0.0,0.0,279,Crys 2
2024-03-05 13:00:00,2024-03-05 13:00:00,39.17225,-107.24512,944.0458764199217,0.0,0.0,279,Crys 2
2024-03-05 13:30:00,2024-03-05 13:30:00,39.17225,-107.24512,948.3561869420578,0.0,0.0,279,Crys 2
2024-03-05 15:00:00,2024-03-05 15:00:00,39.17225,-107.24512,968.2419126447431,0.0,0.0,279,Crys 2
2024-03-05 15:30:00,2024-03-05 15:30:00,39.17225,-107.24512,934.935428883175,0.0,0.0,279,Crys 2
2024-03-05 17:00:00,2024-03-05 17:00:00,39.17225,-107.24512,927.05292036849,0.0,0.0,279,Crys 2
2024-03-05 17:30:00,2024-03-05 17:30:00,39.17225,-107.24512,948.0950274326951,0.0,0.0,279,Crys 2
2024-03-05 18:00:00,2024-03-05 18:00:00,39.17225,-107.24512,919.9445544267073,0.0,0.0,279,Crys 2
2024-03-05 18:30:00,2024-03-05 18:30:00,39.17225,-107.24512,935.8389808931281,0.0,0.0,279,Crys 2
2024-03-05 19:00:00,2024-03-05 19:00:00,39.17225,-107.24512,906.3085483923087,0.0,0.0,279,Crys 2
2024-03-05 19:30:00,2024-03-05 19:30:00,39.17225,-107.24512,898.1736737155665,0.0,0.0,279,Crys 2
2024-03-05 20:00:00,2024-03-05 20:00:00,39.17225,-107.24512,925.5851342329121,0.0,0.0,279,Crys 2
2024-03-05 20:30:00,2024-03-05 20:30:00,39.17225,-107.24512,918.2844739034576,0.0,0.0,279,Crys 2
2024-03-05 21:00:00,2024-03-05 21:00:00,39.17225,-107.24512,936.8482686157631,0.0,0.0,279,Crys 2
2024-03-05 21:30:00,2024-03-05 21:30:00,39.17225,-107.24512,953.5958157610598,0.0,0.0,279,Crys 2
2024-03-05 22:00:00,2024-03-05 22:00:00,39.17225,-107.24512,932.0683187907484,0.0,0.0,279,Crys 2
2024-03-05 22:30:00,2024-03-05 22:30:00,39.17225,-107.24512,916.304526496876,0.0,0.0,279,Crys 2
2024-03-05 23:00:00,2024-03-05 23:00:00,39.17225,-107.24512,903.3276530369643,0.0,0.0,279,Crys 2
2024-03-06 00:30:00,2024-03-06 00:30:00,39.17225,-107.24512,940.3289080012172,0.0,0.0,279,Crys 2
2024-03-06 01:00:00,2024-03-06 01:00:00,39.17225,-107.24512,906.0736670802878,0.0,0.0,279,Crys 2
2024-03-06 02:30:00,2024-03-06 02:30:00,39.17225,-107.24512,949.3911898633477,0.0,0.0,279,Crys 2
2024-03-06 03:00:00,2024-03-06 03:00:00,39.17225,-107.24512,934.7828982758031,0.0,0.0,279,Crys 2
2024-03-06 03:30:00,2024-03-06 03:30:00,39.17225,-107.24512,935.1820349566768,0.0,0.0,279,Crys 2
2024-03-06 04:00:00,2024-03-06 04:00:00,39.17225,-107.24512,963.6011535106786,0.0,0.0,279,Crys 2
2024-03-06 04:30:00,2024-03-06 04:30:00,39.17225,-107.24512,921.8695603842277,0.0,0.0,279,Crys 2
2024-03-06 05:00:00,2024-03-06 05:00:00,39.17225,-107.24512,963.9653564814373,0.0,0.0,279,Crys 2
2024-03-06 06:30:00,2024-03-06 06:30:00,39.17225,-107.24512,925.8009488030191,0.0,0.0,279,Crys 2
2024-03-06 07:00:00,2024-03-06 07:00:00,39.17225,-107.24512,908.9590672335008,0.0,0.0,279,Crys 2
2024-03-06 07:30:00,2024-03-06 07:30:00,39.17225,-107.24512,933.5277581659394,0.0,0.0,279,Crys 2
2024-03-06 08:00:00,2024-03-06 08:00:00,39.17225,-107.24512,938.2814919829481,0.0,0.0,279,Crys 2
2024-03-06 08:30:00,2024-03-06 08:30:00,39.17225,-107.24512,926.3505296363605,0.0,0.0,279,Crys 2
2024-03-06 09:00:00,2024-03-06 09:00:00,39.17225,-107.24512,979.565266293986,0.0,0.0,279,Crys 2
2024-03-06 09:30:00,2024-03-06 09:30:00,39.17225,-107.24512,907.1606775877357,0.0,0.0,279,Crys 2
2024-03-06 10:00:00,2024-03-06 10:00:00,39.17225,-107.24512,956.3443269681674,0.0,0.0,279,Crys 2
2024-03-06 10:30:00,2024-03-06 10:30:00,39.17225,-107.24512,935.2523288121082,0.0,0.0,279,Crys 2
2024-03-06 11:00:00,2024-03-06 11:00:00,39.17225,-107.24512,939.450835154504,0.0,0.0,279,Crys 2
2024-03-06 11:30:00,2024-03-06 11:30:00,39.17225,-107.24512,930.7764621575283,0.0,0.0,279,Crys 2
2024-03-06 13:00:00,2024-03-06 13:00:00,39.17225,-107.24512,927.9056445721892,0.0,0.0,279,Crys 2
2024-03-06 13:30:00,2024-03-06 13:30:00,39.17225,-107.24512,955.9733219798757,0.0,0.0,279,Crys 2
2024-03-06 14:00:00,2024-03-06 14:00:00,39.17225,-107.24512,918.9918285829242,0.0,0.0,279,Crys 2
2024-03-06 14:30:00,2024-03-06 14:30:00,39.17225,-107.24512,924.8524496686155,0.0,0.0,279,Crys 2
2024-03-06 15:00:00,2024-03-06 15:00:00,39.17225,-107.24512,925.67608792685,0.0,0.0,279,Crys 2
2024-03-06 15:30:00,2024-03-06 15:30:00,39.17225,-107.24512,938.9778151766374,0.0,0.0,279,Crys 2
2024-03-06 16:00:00,2024-03-06 16:00:00,39.17225,-107.24512,954.5607425678928,0.0,0.0,279,Crys 2
2024-03-06 16:30:00,2024-03-06 16:30:00,39.17225,-107.24512,918.9469920579388,0.0,0.0,279,Crys 2
2024-03-06 17:00:00,2024-03-06 17:00:00,39.17225,-107.24512,933.6457653464955,0.0,0.0,279,Crys 2
2024-03-06 17:30:00,2024-03-06 17:30:00,39.17225,-107.24512,968.3862817781263,0.0,0.0,279,Crys 2
2024-03-06 18:00:00,2024-03-06 18:00:00,39.17225,-107.24512,950.5200213823731,0.0,0.0,279,Crys 2
2024-03-06 18:30:00,2024-03-06 18:30:00,39.17225,-107.24512,929.9960064334516,0.0,0.0,279,Crys 2
2024-03-06 19:00:00,2024-03-06 19:00:00,39.17225,-107.24512,954.1330735165493,0.0,0.0,279,Crys 2
2024-03-06 19:30:00,2024-03-06 19:30:00,39.17225,-107.24512,943.7153354783821,0.0,0.0,279,Crys 2
2024-03-06 20:00:00,2024-03-06 20:00:00,39.17225,-107.24512,949.5466157638017,0.0,0.0,279,Crys 2
2024-03-06 20:30:00,2024-03-06 20:30:00,39.17225,-107.24512,931.864644788986,0.0,0.0,279,Crys 2
2024-03-06 22:00:00,2024-03-06 22:00:00,39.17225,-107.24512,960.654942529548,0.0,0.0,279,Crys 2
2024-03-06 22:30:00,2024-03-06 22:30:00,39.17225,-107.24512,910.0990533219186,0.0,0.0,279,Crys 2
2024-03-06 23:00:00,2024-03-06 23:00:00,39.17225,-107.24512,935.7085107783498,0.0,0.0,279,Crys 2
2024-03-07 00:30:00,2024-03-07 00:30:00,39.17225,-107.24512,919.870122129552,0.0,0.0,279,Crys 2
2024-03-07 01:00:00,2024-03-07 01:00:00,39.17225,-107.24512,959.7020190406652,0.0,0.0,279,Crys 2
2024-03-07 01:30:00,2024-03-07 01:30:00,39.17225,-107.24512,944.7830799268708,0.0,0.0,279,Crys 2
2024-03-07 02:00:00,2024-03-07 02:00:00,39.17225,-107.24512,936.4983839691776,0.0,0.0,279,Crys 2
2024-03-07 02:30:00,2024-03-07 02:30:00,39.17225,-107.24512,921.1787497819412,0.0,0.0,279,Crys 2
2024-03-07 03:00:00,2024-03-07 03:00:00,39.17225,-107.24512,936.6854201393598,0.0,0.0,279,Crys 2
2024-03-07 04:30:00,2024-03-07 04:30:00,39.17225,-107.24512,941.6394312690175,0.0,0.0,279,Crys 2
2024-03-07 05:00:00,2024-03-07 05:00:00,39.17225,-107.24512,919.5191006452452,0.0,0.0,279,Crys 2
2024-03-07 06:30:00,2024-03-07 06:30:00,39.17225,-107.24512,925.1824360287588,0.0,0.0,279,Crys 2
2024-03-07 07:00:00,2024-03-07 07:00:00,39.17225,-107.24512,942.1230632929124,0.0,0.0,279,Crys 2
2024-03-07 07:30:00,2024-03-07 07:30:00,39.17225,-107.24512,927.3547744524225,0.0,0.0,279,Crys 2
2024-03-07 08:00:00,2024-03-07 08:00:00,39.17225,-107.24512,929.581422444057,0.0,0.0,279,Crys 2
2024-03-07 08:30:00,2024-03-07 08:30:00,39.17225,-107.24512,945.329193908044,0.0,0.0,279,Crys 2
2024-03-07 09:00:00,2024-03-07 09:00:00,39.17225,-107.24512,943.1876220103956,0.0,0.0,279,Crys 2
2024-03-07 09:30:00,2024-03-07 09:30:00,39.17225,-107.24512,979.2669587224458,0.0,0.0,279,Crys 2
2024-03-07 10:00:00,2024-03-07 10:00:00,39.17225,-107.24512,950.894012220547,0.0,0.0,279,Crys 2
2024-03-07 10:30:00,2024-03-07 10:30:00,39.17225,-107.24512,896.5879201075999,0.0,0.0,279,Crys 2
2024-03-07 11:00:00,2024-03-07 11:00:00,39.17225,-107.24512,928.6363816151103,0.0,0.0,279,Crys 2
2024-03-07 11:30:00,2024-03-07 11:30:00,39.17225,-107.24512,944.85721701823,0.0,0.0,279,Crys 2
2024-03-07 12:00:00,2024-03-07 12:00:00,39.17225,-107.24512,940.1279670901565,0.0,0.0,279,Crys 2
2024-03-07 12:30:00,2024-03-07 12:30:00,39.17225,-107.24512,942.0623332343766,0.0,0.0,279,Crys 2
2024-03-07 13:00:00,2024-03-07 13:00:00,39.17225,-107.24512,941.6319632132656,0.0,0.0,279,Crys 2
2024-03-07 13:30:00,2024-03-07 13:30:00,39.17225,-107.24512,928.1735314193677,0.0,0.0,279,Crys 2
2024-03-07 14:00:00,2024-03-07 14:00:00,39.17225,-107.24512,929.3285896293671,0.0,0.0,279,Crys 2
2024-03-07 14:30:00,2024-03-07 14:30:00,39.17225,-107.24512,963.7959285913469,0.0,0.0,279,Crys 2
2024-03-07 15:00:00,2024-03-07 15:00:00,39.17225,-107.24512,911.5220986124682,0.0,0.0,279,Crys 2
2024-03-07 15:30:00,2024-03-07 15:30:00,39.17225,-107.24512,941.2841124207357,0.0,0.0,279,Crys 2
2024-03-07 17:00:00,2024-03-07 17:00:00,39.17225,-107.24512,945.7632258093939,0.0,0.0,279,Crys 2
2024-03-07 17:30:00,2024-03-07 17:30:00,39.17225,-107.24512,922.0716751097448,0.0,0.0,279,Crys 2
2024-03-07 18:00:00,2024-03-07 18:00:00,39.17225,-107.24512,934.1818144210466,0.0,0.0,279,Crys 2
2024-03-07 18:30:00,2024-03-07 18:30:00,39.17225,-107.24512,945.8726585697577,0.0,0.0,279,Crys 2
2024-03-07 19:00:00,2024-03-07 19:00:00,39.17225,-107.24512,931.3541732707447,0.0,0.0,279,Crys 2
2024-03-07 19:30:00,2024-03-07 19:30:00,39.17225,-107.24512,908.5986771051615,0.0,0.0,279,Crys 2
2024-03-07 20:00:00,2024-03-07 20:00:00,39.17225,-107.24512,945.0223603252952,0.0,0.0,279,Crys 2
2024-03-07 20:30:00,2024-03-07 20:30:00,39.17225,-107.24512,956.5447946626803,0.0,0.0,279,Crys 2
2024-03-07 22:00:00,2024-03-07 22:00:00,39.17225,-107.24512,975.8444943962442,0.0,0.0,279,Crys 2
2024-03-07 22:30:00,2024-03-07 22:30:00,39.17225,-107.24512,971.6329799914835,0.0,0.0,279,Crys 2
2024-03-07 23:00:00,2024-03-07 23:00:00,39.17225,-107.24512,957.8622741389968,0.0,0.0,279,Crys 2
2024-03-07 23:30:00,2024-03-07 23:30:00,39.17225,-107.24512,941.6477200678756,0.0,0.0,279,Crys 2
2024-03-08 00:00:00,2024-03-08 00:00:00,39.17225,-107.24512,958.5003534132347,0.0,0.0,279,Crys 2
2024-03-08 00:30:00,2024-03-08 00:30:00,39.17225,-107.24512,970.7506092078207,0.0,0.0,279,Crys 2
2024-03-08 01:00:00,2024-03-08 01:00:00,39.17225,-107.24512,964.8023944004326,0.0,0.0,279,Crys 2
2024-03-08 01:30:00,2024-03-08 01:30:00,39.17225,-107.24512,975.2021525232209,0.0,0.0,279,Crys 2
2024-03-08 02:00:00,2024-03-08 02:00:00,39.17225,-107.24512,934.2454706194648,0.0,0.0,279,Crys 2
2024-03-08 02:30:00,2024-03-08 02:30:00,39.17225,-107.24512,951.1835528200647,0.0,0.0,279,Crys 2
2024-03-08 03:00:00,2024-03-08 03:00:00,39.17225,-107.24512,918.9804171930438,0.0,0.0,279,Crys 2
2024-03-08 04:30:00,2024-03-08 04:30:00,39.17225,-107.24512,937.2227972170243,0.0,0.0,279,Crys 2
2024-03-08 05:00:00,2024-03-08 05:00:00,39.17225,-107.24512,965.768639599685,0.0,0.0,279,Crys 2
