,Date,Crys 1,Crys 2,Crys 3,Crys 6,Fry 4,Fry 5,Fry 6,RF 1,RF 2,RF 3,RF5,RF 6,RF 7,RF 8,RF 9
205,10/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,10/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,10/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,10/26/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,10/27/2023,3.1072,3.1072,5.4509997,5.2398,2.3409,3.0252,5.8953,1.9812,1.6237999,1.6863999,4.868,3.6992998,3.8088,3.1299,3.2215
210,10/28/2023,5.5151997,5.5151997,8.7664995,8.4306,1.6501,5.2542996,11.0259,5.4031,6.1299996,7.7324996,9.599199,8.2546,7.8170996,6.4993997,7.3585997
211,10/29/2023,32.264,32.264,31.5481,20.0256,27.1141,24.4601,17.673,31.3188,32.328197,32.1419,17.2601,15.5848,16.3006,16.475399,17.9484
212,10/30/2023,0,0,0.0111,0.0654,2.8367999,1.2545999,0.17,1.5308,1.0248,0.6915,0.1891,0.0013,0.0106,0,0
213,10/31/2023,1.0237,1.0237,0.0028,0,1.3072,0.32799998,0,0.398,0.13769999,0,0,0,0,0,0
214,11/1/2023,0,0,0.0004,0,0.85789996,0.459,0,1.6409999,1.4353,0.34669998,0,0,0,0,0
215,11/2/2023,0,0,0.0052,0,0,0,0,0.7928,0.7615,0.0118,0,0,0,0,0
216,11/3/2023,1.4557999,1.4557999,0.19479999,0,0.64419997,0.065,0,0.75369996,0.6642,0.19469999,0,0,0,0,0
217,11/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,11/5/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,11/6/2023,1.0507,1.0507,0.0038,0,0,0,0,0.13759999,0.1218,0,0,0,0,0,0
220,11/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,11/8/2023,0,0,0,0,0.2092,0,0,0,0,0,0,0,0,0,0
222,11/9/2023,0.7212,0.7212,2.1125,2.1845999,1.9194,1.4326999,1.3785,2.3858,2.2927,2.3957999,1.3974,0.9984,1.1383,0.74979997,1.3222
223,11/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,11/11/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,11/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
