date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-26,2023-09-26,4996.166666666667,0.0099780552295654,100.22619557421564,2181.2155551692126,0.1009423795261202,2132.762514924213,0.0848677785773026,0.0593125,0.0474375,0.0540072819737639,0.0050339198477684,0.0029173523210216,8.891666666666667,9.310416666666669,0.0,795.5229166666667,58.675,8.933333333333334,2023-09-26,0.0848677785773026,1059.8305487807008
2023-09-27,2023-09-27,5124.083333333333,0.0098320588111441,101.7236801671674,2198.3791631041063,0.0961403092784638,2149.323317614194,0.0811996459960937,0.0586041666666666,0.047125,0.0534757892413051,0.0056861025150418,0.003295317540103,9.489583333333334,9.722916666666666,0.0,793.19375,58.76666666666667,10.002083333333331,2023-09-27,0.0811996459960937,1059.501986646611
2023-09-28,2023-09-28,5329.666666666667,0.0096612737394317,103.5195884164826,2202.6855905615494,0.0951515796925534,2157.7617390327277,0.0795089721679687,0.0576666666666666,0.0465833333333333,0.0527151298421796,0.0066194903969666,0.0038362521171512,9.916666666666666,10.03125,0.0,789.8270833333332,50.80833333333334,10.933333333333332,2023-09-28,0.0795089721679687,1065.391883673835
2023-09-29,2023-09-29,5482.895833333333,0.0095369684110539,104.86223241153836,2226.910639410769,0.0886212282072575,2180.954712255984,0.0745592619243421,0.05625,0.0462291666666666,0.0517731405778604,0.0077753840403368,0.0045061374362103,10.241666666666667,10.283333333333331,0.0,788.6270833333333,45.9125,11.7125,2023-09-29,0.0745592619243421,1058.8188776657166
2023-09-30,2023-09-30,5564.833333333333,0.0094684979400728,105.62576801833782,2214.932958192347,0.0917123986686395,2164.405306973079,0.077970958891369,0.0550624999999999,0.0450416666666666,0.0505856405778604,0.0092325383344402,0.0053506150184018,10.104166666666666,10.283333333333331,0.0,787.8000000000001,51.64166666666667,10.691666666666668,2023-09-30,0.077970958891369,1055.2002316056312
2023-10-01,2023-10-01,5647.958333333333,0.0094155726709793,106.21245678474214,2219.0792011341155,0.0905672773521017,2158.702099433033,0.0791723077947443,0.0544375,0.0443958333333333,0.0499513331778144,0.0100108825464475,0.0058016957590814,11.03125,10.75625,0.1352,786.05625,54.83958333333334,12.666666666666666,2023-10-01,0.0791723077947443,1050.7413234805483
2023-10-02,2023-10-02,5570.208333333333,0.0095619384126614,104.62231509515246,2173.0912588664755,0.1053990928189854,2100.4655404765904,0.0943521639195884,0.0531666666666666,0.044,0.0490714106464142,0.011090615510749,0.0064274430027299,10.633333333333333,10.885416666666666,0.0477,787.5979166666666,68.46666666666667,9.975,2023-10-02,0.0943521639195884,1059.8983855227268
2023-10-03,2023-10-03,5172.854166666667,0.0098355207332812,101.67665826823776,2057.250552709775,0.1424277127321885,1992.526305184842,0.1229044596354166,0.0647708333333333,0.044,0.0554913554874432,0.0032128469271597,0.0018619697419679,8.316666666666666,9.247916666666669,12.300699,788.3166666666666,91.54166666666669,5.1937500000000005,2023-10-03,0.1229044596354166,1073.6200705559725
2023-10-04,2023-10-04,5103.375,0.0099190258454893,100.8254281172522,2066.155665524328,0.1393602744094106,2010.750270344144,0.1174728393554687,0.0647916666666666,0.044,0.0555028814207305,0.0031987037160581,0.0018537732011048,7.56875,8.427083333333334,2.0197,791.31875,81.74791666666667,5.341666666666666,2023-10-04,0.1174728393554687,1066.2599370077537
2023-10-05,2023-10-05,4962.979166666667,0.0100675878679656,99.33583625235175,2088.6085389013647,0.1307745707235764,2036.230336621178,0.1096824087747713,0.0631458333333333,0.044,0.0545923326910334,0.0043160173930842,0.0025012999292918,7.029166666666666,7.925,0.0,796.1229166666667,76.66041666666666,5.172916666666667,2023-10-05,0.1096824087747713,1062.3412054023895
2023-10-06,2023-10-06,4920.020833333333,0.010074218378183,99.27216245880092,2103.5287127479146,0.1257218466142173,2050.586508462324,0.1057448614211309,0.0619583333333333,0.0440416666666666,0.0539539692937491,0.0050993386272327,0.0029552650478588,7.145833333333333,7.816666666666666,0.0,796.75625,74.65416666666667,5.9750000000000005,2023-10-06,0.1057448614211309,1057.414356112977
2023-10-07,2023-10-07,4955.25,0.0100219782629957,99.7905931015512,2119.384115784967,0.1202449588228787,2065.99806637339,0.1014858338891006,0.0609583333333333,0.0442708333333333,0.0535031058964647,0.0056525828675753,0.0032758916008165,7.14375,7.75625,0.0,796.1083333333332,73.16041666666666,6.395833333333333,2023-10-07,0.1014858338891006,1063.0909805348442
2023-10-08,2023-10-08,5095.854166666667,0.0098766648814539,101.26392695426462,2130.115931579269,0.1167827145200376,2082.960811690517,0.0971200125558035,0.0607083333333333,0.0443125,0.0533834094971091,0.005799459602152,0.0033610123805427,7.16875,7.73125,0.0,794.3354166666667,66.53541666666666,6.810416666666666,2023-10-08,0.0971200125558035,1058.0962394371213
2023-10-09,2023-10-09,5295.104166666667,0.0096955275844612,103.15044975125043,2148.489360657279,0.1108925800126895,2102.9774520126816,0.0920372939691311,0.0597291666666666,0.0442291666666666,0.0528044610324216,0.0065098741212121,0.0037727252223724,7.04375,7.629166666666666,0.0027,790.4458333333333,63.14791666666667,6.866666666666667,2023-10-09,0.0920372939691311,1056.809216715266
2023-10-10,2023-10-10,5487.958333333333,0.0095106264910732,105.15375174360706,2148.3547289397625,0.1108384452364285,2101.1857110248297,0.0924545288085937,0.0599166666666666,0.0441041666666666,0.0528523500317312,0.0064511106172253,0.0037386694864982,6.879166666666666,7.527083333333334,0.0,785.8020833333334,60.99583333333334,5.852083333333333,2023-10-10,0.0924545288085937,1057.7133731385277
2023-10-11,2023-10-11,5730.75,0.0093965333331122,106.44626177416328,2099.398523650829,0.1282792443479619,2034.5773728367092,0.1115890502929687,0.0591666666666666,0.0440833333333333,0.0524281090333422,0.0069716871162041,0.0040403638128865,7.183333333333334,7.520833333333333,0.5155,778.6875,75.97916666666667,6.5062500000000005,2023-10-11,0.1115890502929687,1060.7157182419592
2023-10-13,2023-10-13,4822.125,0.010222586270475,97.82934421397653,1943.6865532021905,0.1940328462033453,1894.656335199812,0.1591774545064786,0.1669375,0.0586041666666666,0.1185390197606534,0.0741515107392806,0.0429736842270943,6.320833333333333,6.841666666666666,9.4788,789.0812500000001,82.03125,3.78125,2023-10-13,0.1591774545064786,1041.1540963162963
