date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-08-08,2023-08-08,5607.479166666667,0.0093872167283175,106.55677559942647,2480.475655154264,0.0996862685651034,2203.068751960392,0.1113077799479166,0.124,0.124,0.1196665390969744,0.0846170212765957,20.28333333333333,0.0,793.4979166666667,49.29583333333333,16.1375,2023-08-08,0.1113077799479166,992.5772095097387
2023-08-09,2023-08-09,5711.583333333333,0.0093540081265696,106.92017029347772,2510.190913099879,0.0926382589169939,2220.762048899149,0.10675048828125,0.1114583333333333,0.1114583333333333,0.1019299440022118,0.072075354609929,20.01875,0.0,792.8541666666666,46.47083333333333,15.6,2023-08-09,0.10675048828125,988.7718670067628
2023-08-10,2023-08-10,5851.125,0.0092764956025172,107.8093941808456,2523.344745162472,0.0894304201484923,2255.193536690987,0.0986773173014323,0.1026458333333333,0.1026458333333333,0.0894671869837989,0.063262854609929,20.941666666666663,0.0,792.5520833333334,48.39375,16.739583333333332,2023-08-10,0.0986773173014323,987.4509816036662
2023-08-11,2023-08-11,5661.916666666667,0.0093903837829183,106.49793095451192,2492.658371418773,0.0964631737298855,2231.455870450898,0.1039721171061198,0.0954791666666666,0.0954791666666666,0.0793319897867918,0.0560961879432624,20.57708333333333,0.9981,794.6750000000001,71.60208333333334,15.620833333333332,2023-08-11,0.1039721171061198,988.1381190939583
2023-08-12,2023-08-12,5788.458333333333,0.0092657051185099,107.93318245083007,2542.346392657579,0.0852423478121554,2302.930822026868,0.088598887125651,0.0903958333333333,0.0903958333333333,0.0721430708447285,0.051012854609929,21.24375,0.0,795.3562499999999,64.03750000000001,17.464583333333334,2023-08-12,0.088598887125651,965.0439980145499
2023-08-13,2023-08-13,5937.729166666667,0.0091544363431818,109.24933048253008,2576.9337800770777,0.0781819234654042,2365.889447720386,0.0768407185872395,0.0861458333333333,0.0861458333333333,0.0661326632046429,0.046762854609929,21.45,0.44239998,795.7083333333334,61.65416666666667,16.797916666666666,2023-08-13,0.0768407185872395,969.9672393616479
2023-08-14,2023-08-14,5959.645833333333,0.009164893658422,109.11902449959234,2609.2391755595127,0.071656487727482,2406.8531104482668,0.06964111328125,0.0815208333333333,0.0815208333333333,0.0595919254786673,0.042137854609929,22.05,0.0,797.8375,49.68541666666667,17.34375,2023-08-14,0.06964111328125,959.6155820309033
2023-08-15,2023-08-15,5940.479166666667,0.0091752448628212,109.00040064404868,2628.3750897331392,0.0679467253309998,2423.0680683248183,0.0669848124186198,0.0772916666666666,0.0772916666666666,0.0536109806211311,0.0379086879432623,22.62291666666667,0.0,799.5520833333334,50.8875,18.366666666666667,2023-08-15,0.0669848124186198,954.3838384651293
2023-08-16,2023-08-16,6062.541666666667,0.0090741451498499,110.21382124248636,2638.1562504729177,0.0661202494971354,2438.7895233142835,0.0645256042480468,0.0729375,0.0729375,0.0474532590682982,0.0335545212765957,23.183333333333334,0.0,797.7229166666666,50.61666666666667,19.4,2023-08-16,0.0645256042480468,951.818147450871
2023-08-17,2023-08-17,6137.770833333333,0.0090081595483529,111.02220215763178,2656.486107252489,0.0629053179209904,2448.1429256782662,0.0631383260091145,0.0681875,0.0681875,0.040735744647026,0.0288045212765957,22.729166666666668,2.0242999,796.3666666666667,55.67083333333333,19.035416666666663,2023-08-17,0.0631383260091145,954.4921623731725
2023-08-18,2023-08-18,6192.166666666667,0.0089897097569496,111.24335246076804,2671.364491233788,0.0601538168295411,2447.350806040425,0.0631612141927083,0.0637083333333333,0.0637083333333333,0.0344012463988965,0.024325354609929,22.89583333333333,0.0,795.4520833333332,55.00416666666666,19.741666666666667,2023-08-18,0.0631612141927083,953.954116548338
2023-08-19,2023-08-19,6151.541666666667,0.0090105071681616,110.98950939626222,2677.030270757808,0.0592048965723714,2440.4860886850274,0.0642255147298177,0.0602083333333333,0.0602083333333333,0.0294514989305907,0.020825354609929,22.7125,1.3998,795.7875,60.58125,18.660416666666663,2023-08-19,0.0642255147298177,948.0928386129871
2023-08-20,2023-08-20,6243.791666666667,0.0089391924573601,111.87657845508248,2731.8141945731463,0.0499714068888253,2488.126683719107,0.0572319030761718,0.0570208333333333,0.0570208333333333,0.0249436932005265,0.017637854609929,23.47083333333333,0.0,795.6437500000001,47.16041666666666,20.397916666666667,2023-08-20,0.0572319030761718,962.2300991329445
2023-08-21,2023-08-21,6240.3125,0.0089637294234069,111.5681292448206,2752.184046557845,0.0468145687461389,2504.69463184862,0.0548324584960937,0.0530416666666666,0.0530416666666666,0.0193163017335835,0.0136586879432624,23.575,0.0,797.3833333333333,37.31666666666667,20.289583333333333,2023-08-21,0.0548324584960937,955.2452971645897
2023-08-22,2023-08-22,6164.5625,0.0090346725047724,110.68954254744833,2728.8635988286205,0.050508913582671,2477.0926299113016,0.058759053548177,0.0490208333333333,0.0490208333333333,0.0136299847015417,0.009637854609929,23.15625,0.0,798.2687500000001,47.27708333333334,18.729166666666668,2023-08-22,0.058759053548177,958.2530536621189
2023-08-23,2023-08-23,6112.3125,0.0091404653075549,109.46149801584043,2682.6751632554965,0.0595154520222219,2415.5333289609493,0.0699729919433593,0.0469791666666666,0.0469791666666666,0.0107426320116966,0.0075961879432624,22.379166666666663,1.3848,798.0854166666667,61.31666666666666,17.954166666666666,2023-08-23,0.0699729919433593,997.9801198760362
