,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
19126,19126,2024-08-02 12:00:00,18552.0,0.0073418352065465,136.20572675185136,2580.896880269294,0.1109777389890787,2495.2599660653973,0.114410400390625,6.355525288430313e-06,730.9,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.6,13.5,15.1,730.9,74.0,8.6,2024-08-02,0.114410400390625
19127,19127,2024-08-02 12:30:00,18726.0,0.0073076458242942,136.8429757057336,2615.259813161498,0.1021210047098711,2528.936282889388,0.106658935546875,6.32117109768204e-06,731.2,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.3,13.5,14.8,731.2,73.6,8.6,2024-08-02,0.106658935546875
19128,19128,2024-08-02 13:00:00,18402.0,0.0073716971829146,135.65397155999526,2573.788785601513,0.1128757976377955,2487.049515431489,0.116363525390625,6.458587860675128e-06,731.3,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.0,13.2,14.8,731.3,75.2,8.6,2024-08-02,0.116363525390625
19129,19129,2024-08-02 13:30:00,18420.0,0.0073680944961231,135.72030061858837,2587.1811793360816,0.1093189579563781,2493.2286326692188,0.114898681640625,6.978349087262016e-06,731.5,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.0,12.9,14.5,731.5,77.2,9.4,2024-08-02,0.114898681640625
19130,19130,2024-08-02 14:00:00,18568.0,0.0073386713041343,136.26444877516658,2612.028580118372,0.1029320235570319,2510.982520036908,0.110748291015625,7.452155958514676e-06,731.5,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.0,12.9,14.5,731.5,76.4,10.6,2024-08-02,0.110748291015625
19131,19131,2024-08-02 14:30:00,18466.0,0.0073589115738408,135.88966112254457,2613.1914774381457,0.1026396365995899,2499.067176573556,0.113494873046875,8.456807399117499e-06,731.6,0.01,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.0,12.9,14.5,731.6,72.8,13.4,2024-08-02,0.113494873046875
19132,19132,2024-08-02 15:00:00,18566.0,0.0073390665682557,136.2571099062357,2617.9895779739686,0.1014392684631536,2511.10162340024,0.110687255859375,7.882622303034798e-06,731.4,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.3,12.6,14.2,731.4,57.2,16.2,2024-08-02,0.110687255859375
19133,19133,2024-08-02 15:30:00,18478.0,0.0073565216701543,135.93380742111214,2598.256997855006,0.1064386028367563,2494.6677459574903,0.114532470703125,7.689679247636006e-06,731.4,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,11.6,12.6,14.2,731.4,44.0,20.2,2024-08-02,0.114532470703125
19134,19134,2024-08-02 16:00:00,18204.0,0.0074116787411658,134.92219980418344,2542.0556309602707,0.1216434969406338,2459.52427473245,0.123138427734375,6.214040919883193e-06,731.5,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,12.0,12.6,14.2,731.5,32.4,21.8,2024-08-02,0.123138427734375
19135,19135,2024-08-02 16:30:00,18530.0,0.0073461922616235,136.12494260788506,2583.721684110499,0.1102298919187134,2501.688133596293,0.112884521484375,6.072458848630846e-06,731.4,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,12.6,12.9,13.8,731.4,27.6,24.2,2024-08-02,0.112884521484375
19136,19136,2024-08-02 17:00:00,18256.0,0.0074011155802167,135.11476603243628,2535.399522943079,0.1235459999543341,2473.650481922776,0.119598388671875,4.622725676047801e-06,731.4,0.012,0.032,0.058,0.02418721496491,0.0637017917063361,0.03259567384587,12.9,12.9,13.8,731.4,19.2,25.8,2024-08-02,0.119598388671875
