,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
16638,16638,2024-06-11 16:00:00,12164.0,0.0090669619723526,110.2905254316979,2526.199768914686,0.0637521610837432,2433.191751969383,0.076568603515625,7.078647553273262e-06,788.3,0.061,0.128,0.221,0.1181374465597004,0.0199402906999369,0.0102721386320851,15.6,15.7,16.5,788.3,42.7,19.3,2024-06-11,0.076568603515625
16639,16639,2024-06-11 16:30:00,11818.0,0.0091987328698337,108.71062505569546,2455.001270057495,0.0797474999269009,2362.2038477548326,0.090911865234375,7.274862349479112e-06,788.2,0.061,0.128,0.221,0.1181374465597004,0.0199402906999369,0.0102721386320851,16.0,15.7,16.5,788.2,39.5,21.1,2024-06-11,0.090911865234375
16640,16640,2024-06-11 17:00:00,12046.0,0.0091112627417824,109.754270987511,2507.8452723151754,0.0676966939575751,2421.9007920186536,0.078765869140625,6.571550970132928e-06,788.1,0.062,0.128,0.221,0.1185792280191244,0.0204557262996915,0.0105376626415525,16.4,15.9,16.4,788.1,33.1,22.4,2024-06-11,0.078765869140625
16641,16641,2024-06-11 17:30:00,11926.0,0.0091569869972067,109.20622692868754,2491.646515562092,0.0712780630336435,2397.774269102977,0.083526611328125,7.249952411401896e-06,788.1,0.062,0.128,0.221,0.1185792280191244,0.0204557262996915,0.0105376626415525,17.2,16.0,16.3,788.1,36.1,22.6,2024-06-11,0.083526611328125
16642,16642,2024-06-11 18:00:00,12022.0,0.0091203527966622,109.64488132147346,2515.305435972184,0.0660791857741418,2424.784888862043,0.078155517578125,6.913217067895342e-06,787.9,0.063,0.128,0.221,0.1190210094785483,0.0209711618994461,0.0108031866510198,18.4,16.2,16.3,787.9,31.6,24.1,2024-06-11,0.078155517578125
16643,16643,2024-06-11 18:30:00,12046.0,0.0091112627417824,109.754270987511,2527.56033578239,0.0634644229682957,2430.51353149731,0.077056884765625,7.394170075692463e-06,787.7,0.063,0.129,0.22,0.1191547806139392,0.021127235460093,0.0108835871464736,20.6,16.7,16.3,787.7,30.2,26.1,2024-06-11,0.077056884765625
16646,16646,2024-06-11 20:00:00,12002.0,0.0091279486610559,109.55363982999378,2487.497902107217,0.0722108643274719,2414.801491265399,0.080108642578125,5.574908891159383e-06,787.2,0.069,0.132,0.22,0.1228434538844335,0.0254308871388098,0.0131005912680898,29.2,19.8,16.3,787.2,21.3,27.3,2024-06-11,0.080108642578125
16647,16647,2024-06-11 20:30:00,12026.0,0.0091188358980577,109.66312051004202,2494.456383213771,0.0706499248047896,2415.994482034508,0.079864501953125,6.014079008834414e-06,787.0,0.07,0.133,0.22,0.123631230181841,0.0263500020986275,0.0135740686324945,31.3,21.0,16.4,787.0,22.6,27.6,2024-06-11,0.079864501953125
16648,16648,2024-06-11 21:00:00,12094.0,0.0090931638739021,109.97272389097216,2489.1281710240964,0.071843534055916,2419.215454794589,0.079254150390625,5.351652030868793e-06,786.8,0.072,0.135,0.22,0.1252067827766559,0.0281882320182628,0.014521023361304,32.9,22.1,16.6,786.8,20.0,27.7,2024-06-11,0.079254150390625
16649,16649,2024-06-11 21:30:00,12614.0,0.0089037629020765,112.3120652467935,2574.6791607940872,0.0538756545765441,2517.085012373524,0.061859130859375,4.237275653549659e-06,786.6,0.072,0.136,0.22,0.1255527776146394,0.0285919113783259,0.0147289767162415,34.1,23.0,16.8,786.6,16.1,27.4,2024-06-11,0.061859130859375
