,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
2038,2038,2023-08-12 12:00:00,10006.0,0.0099970013493253,100.02999550134948,2185.551051567811,0.1088677895730601,2090.634190848348,0.105682373046875,8.407590627989112e-06,794.0,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,13.2,14.2,794.0,90.1,9.9,2023-08-12,0.105682373046875
2039,2039,2023-08-12 12:30:00,9632.0,0.0101892393242402,98.14275317108238,2089.8891348085053,0.1410887367783093,2000.57837768244,0.133026123046875,8.267123788761079e-06,794.1,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,13.1,14.2,794.1,90.3,9.6,2023-08-12,0.133026123046875
2040,2040,2023-08-12 13:00:00,10150.0,0.0099258333397093,100.74720839804942,2203.3063354189385,0.1036261729748597,2106.5831291421805,0.101409912109375,8.502728716601909e-06,794.0,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,13.0,14.1,794.0,91.7,9.8,2023-08-12,0.101409912109375
2041,2041,2023-08-12 13:30:00,9962.0,0.0100190543220471,99.80981915623332,2170.2496787399778,0.1135536840222731,2072.2335869907256,0.110809326171875,8.75920949050547e-06,794.3,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,13.0,14.0,794.3,89.8,10.6,2023-08-12,0.110809326171875
2042,2042,2023-08-12 14:00:00,9980.0,0.0100100150250438,99.8999499499374,2194.896768507299,0.1060832950160451,2092.6350916853617,0.105133056640625,9.049522123977328e-06,794.6,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,13.0,14.0,794.6,89.9,11.1,2023-08-12,0.105133056640625
2043,2043,2023-08-12 14:30:00,10048.0,0.0099760860558452,100.23971268913334,2211.468838840369,0.1012839054963637,2103.7276471941564,0.102203369140625,9.484151883295055e-06,794.4,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,13.1,13.9,794.4,88.5,12.1,2023-08-12,0.102203369140625
2044,2044,2023-08-12 15:00:00,10080.0,0.0099602384111199,100.39920318408906,2218.826461970051,0.0992076974667608,2116.4629575246054,0.098907470703125,8.956549161203055e-06,794.4,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,13.2,13.9,794.4,73.4,14.2,2023-08-12,0.098907470703125
2045,2045,2023-08-12 15:30:00,9656.0,0.0101765687626663,98.26494797230598,2123.565736108257,0.128907143487996,2022.869122069584,0.125701904296875,9.218352742067024e-06,794.1,0.067,0.042,0.0553609246245236,0.0040789569576437,0.0023587150502506,13.5,13.9,794.1,65.3,16.6,2023-08-12,0.125701904296875
2046,2046,2023-08-12 16:00:00,10246.0,0.0098792238080223,101.22252713699652,2243.380097461016,0.0925097798428733,2141.634074240293,0.092620849609375,8.797887733771439e-06,793.8,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,13.9,13.9,793.8,53.7,19.1,2023-08-12,0.092620849609375
2047,2047,2023-08-12 16:30:00,10460.0,0.0097776425816792,102.27414140436476,2288.254022681332,0.0811159833740773,2184.721405390035,0.082733154296875,8.77581318079903e-06,793.7,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,14.3,14.0,793.7,47.1,21.3,2023-08-12,0.082733154296875
2048,2048,2023-08-12 17:00:00,10072.0,0.009964193240901,100.35935432235502,2183.7045100616488,0.1094248071819549,2100.9374187503613,0.102935791015625,7.295428695270985e-06,793.4,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,14.6,14.1,793.4,34.9,23.3,2023-08-12,0.102935791015625
2049,2049,2023-08-12 17:30:00,10236.0,0.0098840483547805,101.17311895953392,2233.798364744331,0.0950823023837252,2138.3596490284617,0.093414306640625,8.26513736906206e-06,793.6,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,15.2,14.2,793.6,42.6,22.0,2023-08-12,0.093414306640625
2050,2050,2023-08-12 18:00:00,9946.0,0.0100271098444114,99.72963451251589,2184.842819361816,0.1090811607220148,2083.289159535856,0.107696533203125,9.02718339171578e-06,793.7,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,15.9,14.3,793.7,49.3,21.0,2023-08-12,0.107696533203125
2051,2051,2023-08-12 18:30:00,9992.0,0.0100040024016011,99.9599919967984,2178.6458701297925,0.1109625618960369,2080.601391877665,0.108428955078125,8.72650808193473e-06,793.8,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,16.2,14.5,793.8,45.5,21.8,2023-08-12,0.108428955078125
2052,2052,2023-08-12 19:00:00,10016.0,0.0099920095872178,100.07996802557444,2185.6856516218304,0.1088272761815513,2088.7374312748384,0.106231689453125,8.59532360052272e-06,794.0,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,16.6,14.7,794.0,45.6,21.5,2023-08-12,0.106231689453125
2053,2053,2023-08-12 19:30:00,10014.0,0.0099930073414354,100.069975517135,2187.058312192009,0.1084148083072459,2088.3203511168363,0.106292724609375,8.75574841605827e-06,794.0,0.068,0.042,0.0558953616095046,0.0034238888696888,0.001979912583335,16.9,14.9,794.0,50.1,20.2,2023-08-12,0.106292724609375
