date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-07,2023-09-07,6279.083333333333,0.0089242068696682,112.06040325933684,2688.71755560482,0.0390438881345858,2622.160867986159,0.0459950764973958,4.702543232949734e-06,795.4354166666667,0.0483333333333333,0.0483333333333333,0.0126766824395327,0.008963768115942,21.01875,0.0,795.4354166666667,40.516666666666666,15.595833333333331,2023-09-07,0.0459950764973958,955.7000006892987
2023-09-08,2023-09-08,6256.770833333333,0.0089404154782541,111.85983016605788,2717.5939202051627,0.0347981124458414,2655.5895771951245,0.0420710245768229,4.325295738746971e-06,797.5437499999999,0.0450833333333333,0.0450833333333333,0.0080804883618201,0.005713768115942,20.916666666666668,0.0,797.5437499999999,41.2875,14.570833333333333,2023-09-08,0.0420710245768229,950.1958371711454
2023-09-09,2023-09-09,6246.770833333333,0.0089471256338105,111.77225775779895,2729.6809298746334,0.0330333007548143,2667.825707763956,0.040655771891276,4.293946096127672e-06,798.61875,0.0423958333333333,0.0423958333333333,0.0042797894129424,0.003026268115942,20.729166666666668,0.0,798.61875,40.625,14.347916666666668,2023-09-09,0.040655771891276,952.0017464084541
2023-09-10,2023-09-10,6237.770833333333,0.008953980792811,111.6900292173936,2732.797921835274,0.0326451681678709,2647.7506106311807,0.0430234273274739,5.954326177735975e-06,796.8229166666666,0.040125,0.040125,0.0010683461150535,0.0007554347826086,20.7625,0.0,796.8229166666666,45.85,15.7625,2023-09-10,0.0430234273274739,952.2771513175904
2023-09-11,2023-09-11,6099.229166666667,0.0090569453947287,110.43524328958618,2681.1449398723594,0.0403398806588201,2570.169247197709,0.052825927734375,8.02129294422222e-06,795.9499999999999,0.039,0.039,0.0005226441426161,0.0003695652173913,20.466666666666665,3.2826998,795.9499999999999,68.94375000000001,14.91875,2023-09-11,0.052825927734375,969.896246520057
2023-09-12,2023-09-12,6259.083333333333,0.0089390415127266,111.87933534157295,2707.1826166149995,0.0364410733674554,2625.658694975738,0.0456759134928385,5.749074488546673e-06,794.4791666666666,0.0390416666666666,0.0390416666666666,0.0004637185775172,0.0003278985507246,19.74375,0.7152,794.4791666666666,60.40416666666667,12.439583333333331,2023-09-12,0.0456759134928385,940.4248574686004
2023-09-13,2023-09-13,6340.229166666667,0.0088812351440708,112.60400693903576,2743.9374980664056,0.0310988703687412,2653.4323745866845,0.0423418680826822,6.318538894485998e-06,792.5166666666668,0.0380625,0.0380625,0.0018484693573409,0.0013070652173913,19.6,0.0,792.5166666666668,58.60208333333333,12.666666666666666,2023-09-13,0.0423418680826822,954.5013296356366
2023-09-14,2023-09-14,6271.916666666667,0.0089292140229634,111.99681444799972,2731.358663223758,0.032845942469374,2628.9706028485325,0.0451978047688802,7.212866752625911e-06,793.2666666666668,0.0362708333333333,0.0362708333333333,0.0043822686565927,0.0030987318840579,17.225,1.806,793.2666666666668,75.48541666666667,10.70625,2023-09-14,0.0451978047688802,987.8609992610419
2023-09-15,2023-09-15,5722.1875,0.0093485941055785,106.9749145940012,2520.8907290544066,0.067952020761676,2407.3772283665085,0.0774548848470052,8.734030216662891e-06,795.5416666666666,0.0375,0.0375,0.0026439644861757,0.0018695652173913,16.8,6.9926,795.5416666666666,90.72083333333336,10.660416666666666,2023-09-15,0.0774548848470052,1030.3512149153105
2023-09-16,2023-09-16,5379.0625,0.0096429857621035,103.7150038376408,2395.188998084914,0.0954044253703068,2309.45085354214,0.096411387125651,6.879716029282885e-06,798.0083333333333,0.0806875,0.0806875,0.0584323837388122,0.0413179347826087,15.583333333333334,2.5877,798.0083333333333,80.94791666666667,9.677083333333334,2023-09-16,0.096411387125651,1018.0805249031215
