,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
10,10,2023-07-01 06:00:00,15666.0,0.0079895246110633,125.16389255691917,1875.1828501085288,0.1019063622041911,1824.0483918407108,0.104888916015625,5.1913886528602855e-06,716.8,0.073,0.073,0.131,0.211,0.0961407077801242,0.0021365445634486,0.0010418856343881,13.1,14.7,14.3,11.4,716.8,82.2,3.9,2023-07-01,0.104888916015625
11,11,2023-07-01 06:30:00,15426.0,0.0080514358399394,124.2014492669067,1835.6442128790209,0.1181480295457357,1786.6506319138773,0.119293212890625,5.078153054577033e-06,716.6,0.073,0.073,0.131,0.211,0.0961407077801242,0.0021365445634486,0.0010418856343881,12.6,14.4,14.2,11.3,716.6,85.4,3.0,2023-07-01,0.119293212890625
12,12,2023-07-01 07:00:00,15192.0,0.0081132063918539,123.25583150504482,1806.0050754511103,0.1315716271580305,1758.2261086959525,0.131439208984375,5.032320224770776e-06,716.5,0.072,0.073,0.13,0.211,0.0955348630692561,0.0028304935172104,0.0013802897371118,12.1,14.1,14.2,11.3,716.5,85.2,2.9,2023-07-01,0.131439208984375
13,13,2023-07-01 07:30:00,15590.0,0.0080089750809537,124.85992151206888,1852.646155102841,0.1109457585499579,1802.932016710051,0.112823486328125,5.106305639516232e-06,716.4,0.072,0.073,0.13,0.211,0.0955348630692561,0.0028304935172104,0.0013802897371118,11.7,13.8,14.1,11.3,716.4,83.6,3.4,2023-07-01,0.112823486328125
14,14,2023-07-01 08:00:00,15246.000000000002,0.0080988255124977,123.47469376354007,1808.4215165747528,0.1304332149974413,1760.5001924993687,0.130401611328125,5.040794264623524e-06,716.2,0.072,0.073,0.13,0.211,0.0955348630692561,0.0028304935172104,0.0013802897371118,11.3,13.5,14.0,11.4,716.2,86.5,2.7,2023-07-01,0.130401611328125
15,15,2023-07-01 08:30:00,15574.000000000002,0.0080130880482711,124.79583326377528,1845.643373649801,0.1138707113730067,1797.0236577408446,0.115142822265625,5.010313055961844e-06,716.1,0.072,0.073,0.13,0.211,0.0955348630692561,0.0028304935172104,0.0013802897371118,10.9,13.3,13.9,11.4,716.1,85.4,2.8,2023-07-01,0.115142822265625
16,16,2023-07-01 09:00:00,15701.999999999998,0.0079803605576429,125.30762147610972,1856.7385432241788,0.1092625772420273,1808.01457197546,0.110870361328125,4.990533692874507e-06,716.2,0.071,0.072,0.13,0.211,0.0948312844240871,0.0036363892458446,0.0017732846677317,10.6,13.0,13.8,11.3,716.2,86.8,2.5,2023-07-01,0.110870361328125
17,17,2023-07-01 09:30:00,15659.999999999998,0.0079910550247564,125.13992168768526,1848.157360210717,0.1128140825297733,1799.7601133664195,0.114044189453125,4.979804282110858e-06,716.2,0.071,0.072,0.129,0.211,0.0946092164342552,0.0038907512076532,0.0018973242400753,10.3,12.8,13.7,11.4,716.2,87.2,2.4,2023-07-01,0.114044189453125
18,18,2023-07-01 10:00:00,15258.0,0.0080956401336085,123.52327715859872,1800.0380967910014,0.1344179808403825,1752.2414046682989,0.134124755859375,5.05138119576481e-06,716.1,0.07,0.072,0.129,0.211,0.094225439713219,0.0043303381996063,0.0021116887704554,10.0,12.5,13.6,11.3,716.1,86.1,2.8,2023-07-01,0.134124755859375
20,20,2023-07-01 11:00:00,15371.999999999998,0.0080655653082637,123.98386991863094,1807.794836035442,0.1307276699732816,1761.2738819010412,0.130096435546875,4.891341201898657e-06,716.3,0.07,0.072,0.128,0.21,0.093929018358388,0.0046698662756423,0.0022772595855674,9.5,12.0,13.2,11.3,716.3,88.0,2.0,2023-07-01,0.130096435546875
21,21,2023-07-01 11:30:00,15388.000000000002,0.0080613710462493,124.04837765968568,1812.0475152025524,0.1287401310755408,1764.4332529163453,0.128692626953125,4.997330425706532e-06,716.4,0.07,0.072,0.129,0.211,0.094225439713219,0.0043303381996063,0.0021116887704554,9.2,11.8,13.3,11.4,716.4,89.3,2.1,2023-07-01,0.128692626953125
22,22,2023-07-01 12:00:00,15490.000000000002,0.0080347855735168,124.4588285337766,1822.1112432036296,0.1241342138006773,1774.0759350019944,0.124542236328125,5.0141187698018494e-06,716.5,0.07,0.072,0.129,0.211,0.094225439713219,0.0043303381996063,0.0021116887704554,8.9,11.6,13.1,11.3,716.5,89.6,2.1,2023-07-01,0.124542236328125
23,23,2023-07-01 12:30:00,15435.999999999998,0.0080488274115042,124.2416999239788,1826.1294760079188,0.1223324438866117,1777.6700367558922,0.123016357421875,5.048164196002053e-06,716.6,0.07,0.072,0.129,0.211,0.094225439713219,0.0043303381996063,0.0021116887704554,8.7,11.4,13.0,11.4,716.6,89.6,2.2,2023-07-01,0.123016357421875
24,24,2023-07-01 13:00:00,15344.0,0.0080729210465078,123.87090053761618,1818.852147604879,0.1256110568911561,1769.7342120143633,0.126373291015625,5.139706254472217e-06,716.8,0.069,0.072,0.129,0.211,0.0938416629921828,0.0047699251915594,0.0023260533008354,8.4,11.2,12.9,11.4,716.8,90.0,2.4,2023-07-01,0.126373291015625
25,25,2023-07-01 13:30:00,15435.999999999998,0.0080488274115042,124.2416999239788,1833.1156123272776,0.1192489930758824,1781.6843445064076,0.121368408203125,5.345676906845813e-06,716.9,0.069,0.072,0.129,0.211,0.0938416629921828,0.0047699251915594,0.0023260533008354,8.3,11.0,12.8,11.4,716.9,88.7,3.2,2023-07-01,0.121368408203125
26,26,2023-07-01 14:00:00,15262.0,0.0080945791755889,123.5394673778384,1818.520407291537,0.1257621689312688,1764.251590528093,0.128753662109375,5.696342254174292e-06,717.1,0.069,0.072,0.128,0.211,0.093619595002351,0.0050242871533681,0.0024500928731791,8.1,10.8,12.7,11.4,717.1,84.4,4.9,2023-07-01,0.128753662109375
27,27,2023-07-01 14:30:00,15642.0,0.0079956515480152,125.067981514055,1866.9231609771173,0.1051549938693213,1812.2619058717669,0.109222412109375,5.585536293811645e-06,717.4,0.069,0.072,0.128,0.211,0.093619595002351,0.0050242871533681,0.0024500928731791,8.0,10.6,12.6,11.4,717.4,66.3,8.3,2023-07-01,0.109222412109375
28,28,2023-07-01 15:00:00,15147.999999999998,0.0081249809570981,123.07721153812348,1796.498496566801,0.136130564939985,1753.0087059708671,0.133758544921875,4.594195623639283e-06,717.5,0.069,0.072,0.128,0.211,0.093619595002351,0.0050242871533681,0.0024500928731791,8.1,10.5,12.4,11.4,717.5,47.1,10.6,2023-07-01,0.133758544921875
29,29,2023-07-01 15:30:00,14983.999999999998,0.0081693239445271,122.40914998479484,1780.2472319627614,0.1442333220345807,1738.6394067514816,0.140472412109375,4.431714124839792e-06,717.6,0.069,0.072,0.128,0.211,0.093619595002351,0.0050242871533681,0.0024500928731791,8.3,10.4,12.3,11.3,717.6,42.4,11.7,2023-07-01,0.140472412109375
30,30,2023-07-01 16:00:00,15189.999999999998,0.0081137404892437,123.24771803161306,1817.150553957714,0.1263877032482035,1763.8679356427126,0.128936767578125,5.594042127774033e-06,717.7,0.07,0.072,0.128,0.211,0.0940033717233871,0.004584700161415,0.002235728342799,8.9,10.3,12.2,11.4,717.7,52.2,12.1,2023-07-01,0.128936767578125
31,31,2023-07-01 16:30:00,15206.000000000002,0.0081094706610363,123.31261087171904,1810.352713833747,0.1295292322015867,1765.7258610522117,0.128143310546875,4.680359606703578e-06,717.7,0.071,0.072,0.128,0.211,0.0943871484444233,0.0041451131694619,0.0020213638124189,9.6,10.3,12.1,11.3,717.7,42.6,12.5,2023-07-01,0.128143310546875
32,32,2023-07-01 17:00:00,15392.000000000002,0.0080603235027395,124.0644993541666,1836.329097623557,0.1178511871020136,1785.6252665194402,0.119720458984375,5.2584372144983264e-06,717.7,0.071,0.072,0.128,0.211,0.0943871484444233,0.0041451131694619,0.0020213638124189,10.6,10.5,12.0,11.3,717.7,46.4,13.0,2023-07-01,0.119720458984375
33,33,2023-07-01 17:30:00,15526.0,0.0080254650741287,124.60337074092338,1854.3405152217388,0.1102465641738808,1805.2379772013428,0.111907958984375,5.03704370903308e-06,718.0,0.072,0.072,0.128,0.211,0.0947709251654595,0.0037055261775088,0.0018069992820388,11.6,10.7,11.9,11.3,718.0,43.9,13.2,2023-07-01,0.111907958984375
34,34,2023-07-01 18:00:00,15360.0,0.0080687153045987,123.93546707863734,1846.5187930979323,0.113501929452525,1796.4805088456262,0.115325927734375,5.15805703985432e-06,717.9,0.072,0.072,0.128,0.21,0.0946965718004604,0.0037906922917361,0.0018485305248072,12.4,11.0,11.9,11.3,717.9,40.5,14.9,2023-07-01,0.115325927734375
