,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
1632,1632,2023-08-04 01:00:00,10718.0,0.0096592437069619,103.52777405121778,1953.664764777547,0.1775807922576756,1864.5837076841112,0.178070068359375,8.847278878581015e-06,767.3,0.282,0.098,0.122,0.1,0.1832796655328146,0.0157473460960565,0.0081556803326056,18.5,16.2,14.9,13.4,767.3,64.2,16.2,2023-08-04,0.178070068359375
1633,1633,2023-08-04 01:30:00,10758.0,0.009641269661416,103.72077901751412,1959.665522972993,0.1743306711176572,1872.951171350756,0.173614501953125,8.573749016529936e-06,767.4,0.281,0.098,0.122,0.1,0.1828416571506243,0.0152353168015525,0.007890496140842,18.2,16.3,14.9,13.4,767.4,65.7,15.3,2023-08-04,0.173614501953125
1634,1634,2023-08-04 02:00:00,10810.0,0.0096180527145754,103.97114984456024,1974.643974386248,0.16645678863854,1885.8417591623715,0.166961669921875,8.720166785569796e-06,767.3,0.28,0.098,0.122,0.1,0.1824036487684339,0.0147232875070484,0.0076253119490783,17.8,16.4,15.0,13.4,767.3,76.0,13.2,2023-08-04,0.166961669921875
1635,1635,2023-08-04 02:30:00,10206.0,0.0098985645152749,101.02474944289642,1864.46710873146,0.2335219193738109,1784.4955408858507,0.228057861328125,8.299011828119799e-06,767.6,0.28,0.098,0.122,0.1,0.1824036487684339,0.0147232875070484,0.0076253119490783,17.3,16.4,15.0,13.4,767.6,79.4,11.7,2023-08-04,0.228057861328125
1636,1636,2023-08-04 03:00:00,10462.0,0.0097767079506412,102.2839185796086,1915.008265926342,0.1999490275965032,1835.4135178494555,0.194610595703125,8.03076147093921e-06,767.8,0.279,0.098,0.122,0.1,0.1819656403862435,0.0142112582125443,0.0073601277573147,16.9,16.4,15.1,13.4,767.8,81.3,10.8,2023-08-04,0.194610595703125
1637,1637,2023-08-04 03:30:00,10588.0,0.0097183611404658,102.89800775525248,1929.490042266175,0.191265922324869,1847.2399734883647,0.187713623046875,8.245541692858314e-06,768.3,0.278,0.098,0.122,0.1,0.1815276320040531,0.0136992289180402,0.0070949435655511,16.5,16.2,15.1,13.4,768.3,81.4,11.2,2023-08-04,0.187713623046875
1638,1638,2023-08-04 04:00:00,10410.0,0.009801095823773,102.02940752547768,1901.676269556172,0.2082901494106124,1821.659682337124,0.203033447265625,8.134278134231508e-06,768.7,0.278,0.098,0.122,0.1,0.1815276320040531,0.0136992289180402,0.0070949435655511,16.1,16.2,15.2,13.4,768.7,79.3,11.4,2023-08-04,0.203033447265625
1639,1639,2023-08-04 04:30:00,10378.0,0.0098161947671729,101.87246929372036,1892.500415939917,0.2142358346928134,1816.0599599706693,0.206573486328125,7.794698581721785e-06,768.7,0.277,0.098,0.122,0.1,0.1810896236218628,0.0131871996235361,0.0068297593737874,15.8,16.0,15.2,13.4,768.7,84.6,9.7,2023-08-04,0.206573486328125
1640,1640,2023-08-04 05:00:00,10432.0,0.0097907556248494,102.13716267842965,1906.8489747192173,0.2050129328779548,1830.6325302614343,0.197479248046875,7.70998884142808e-06,768.7,0.277,0.098,0.122,0.1,0.1810896236218628,0.0131871996235361,0.0068297593737874,15.5,15.9,15.2,13.4,768.7,87.5,9.0,2023-08-04,0.197479248046875
1641,1641,2023-08-04 05:30:00,10564.0,0.0097293942881708,102.78132126023678,1936.900738932804,0.186966624525419,1856.5880699830468,0.182464599609375,8.010778865078563e-06,768.9,0.276,0.098,0.122,0.1,0.1806516152396723,0.0126751703290319,0.0065645751820238,15.2,15.8,15.2,13.4,768.9,87.5,9.6,2023-08-04,0.182464599609375
