,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
3789,3789,2023-09-17 23:30:00,10576.0,0.0097238730198051,102.83968105745952,2158.119704878522,0.1917413507391762,2098.233500186373,0.171112060546875,5.285416472937143e-06,785.6,0.142,0.111,0.118,0.054,0.1252706263188596,0.0009208980707191,0.0004932161353666,11.7,11.9,11.3,11.8,785.6,41.5,14.9,2023-09-17,0.171112060546875
3790,3790,2023-09-18 00:00:00,10620.0,0.0097037084956597,103.053384223906,2167.0508601761776,0.1876327983286925,2104.984544454088,0.168548583984375,5.460259649430434e-06,785.6,0.141,0.111,0.118,0.054,0.1248048159396946,0.0014724901591826,0.0007886387525065,11.4,11.7,11.4,11.8,785.6,45.3,14.0,2023-09-18,0.168548583984375
3791,3791,2023-09-18 00:30:00,10394.0,0.0098086365795135,101.95096860746348,2132.3283403199944,0.2040793134747778,2052.4441326089886,0.189605712890625,7.2076854922865e-06,785.6,0.141,0.11,0.118,0.054,0.1244692074579502,0.0018699029083002,0.0010014857401347,11.1,11.6,11.4,11.8,785.6,63.6,13.0,2023-09-18,0.189605712890625
3792,3792,2023-09-18 01:00:00,10266.0,0.009869595871023,101.32127121192272,2105.728537519249,0.2175940575955905,2030.219366910056,0.199310302734375,6.887521600055133e-06,785.8,0.141,0.11,0.118,0.054,0.1244692074579502,0.0018699029083002,0.0010014857401347,11.1,11.5,11.4,11.8,785.8,60.4,13.1,2023-09-18,0.199310302734375
3793,3793,2023-09-18 01:30:00,10416.0,0.0097982725208702,102.0588065773846,2143.527830926472,0.1986330756762508,2062.983488577623,0.185150146484375,7.230120374726976e-06,786.0,0.141,0.11,0.118,0.054,0.1244692074579502,0.0018699029083002,0.0010014857401347,11.1,11.4,11.4,11.8,786.0,65.4,12.6,2023-09-18,0.185150146484375
3794,3794,2023-09-18 02:00:00,10684.0,0.0096746009430344,103.3634364753804,2185.371855576722,0.1794534052104922,2108.8370224338487,0.167144775390625,6.72082152290876e-06,786.3,0.141,0.11,0.118,0.054,0.1244692074579502,0.0018699029083002,0.0010014857401347,10.9,11.3,11.4,11.7,786.3,63.9,11.8,2023-09-18,0.167144775390625
3795,3795,2023-09-18 02:30:00,10316.0,0.0098456486433459,101.56771140475698,2113.775420544486,0.213416580929341,2040.798296661958,0.194610595703125,6.622056781688272e-06,786.6,0.141,0.11,0.118,0.054,0.1244692074579502,0.0018699029083002,0.0010014857401347,10.7,11.2,11.4,11.7,786.6,66.2,11.0,2023-09-18,0.194610595703125
3796,3796,2023-09-18 03:00:00,10136.0,0.0099326858316126,100.67770358922576,2094.943364344629,0.2233196699918243,2021.544002499764,0.203216552734375,6.723808336057894e-06,786.8,0.141,0.111,0.118,0.054,0.1248048159396946,0.0014724901591826,0.0007886387525065,10.3,11.1,11.4,11.8,786.8,71.6,10.0,2023-09-18,0.203216552734375
3797,3797,2023-09-18 03:30:00,10304.0,0.0098513800779887,101.50862032359616,2116.6964412650686,0.211919613034223,2043.0274944866635,0.193634033203125,6.677539870790794e-06,786.9,0.141,0.111,0.118,0.054,0.1248048159396946,0.0014724901591826,0.0007886387525065,9.9,11.0,11.4,11.8,786.9,75.3,9.1,2023-09-18,0.193634033203125
3798,3798,2023-09-18 04:00:00,10160.0,0.0099209473766568,100.79682534683322,2086.512732436395,0.2278996029499244,2014.4758680109185,0.206451416015625,6.622149359358643e-06,786.9,0.14,0.11,0.118,0.054,0.1240033970787851,0.0024214949967638,0.0012969083572745,9.7,10.8,11.4,11.8,786.9,74.2,9.2,2023-09-18,0.206451416015625
