,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS
2387,2387,2023-08-19 18:30:00,12546.0,0.0089278597334263,112.0089282155668,2827.4414128203475,0.0199256694086944,2691.0110236878577,0.037994384765625,9.388622586080343e-06,795.8,0.061,0.061,0.0282842712474618,0.0199999999999999,24.8,795.8,37.5,26.5,2023-08-19,0.037994384765625
2388,2388,2023-08-19 19:00:00,12458.0,0.0089593362596162,111.61541112229978,2780.612230068717,0.0259362065087896,2664.1113413322446,0.040985107421875,8.098099475119407e-06,795.4,0.061,0.061,0.0282842712474618,0.0199999999999999,26.1,795.4,30.6,27.5,2023-08-19,0.040985107421875
2389,2389,2023-08-19 19:30:00,12310.0,0.0090130332563965,110.95043938624129,2750.7572550236023,0.0299716013494328,2628.5063065352783,0.045135498046875,8.612900976720949e-06,795.2,0.062,0.062,0.0296984848098349,0.0209999999999999,27.3,795.2,30.3,28.8,2023-08-19,0.045135498046875
2390,2390,2023-08-19 20:00:00,12398.0,0.0089809894038846,111.34630662936245,2738.772584951457,0.0316388598398814,2632.4055950475167,0.044647216796875,7.48273395255278e-06,794.7,0.062,0.062,0.0296984848098349,0.0209999999999999,28.3,794.7,25.2,29.6,2023-08-19,0.044647216796875
2391,2391,2023-08-19 20:30:00,12454.0,0.0089607749326499,111.597491011223,2763.42985375858,0.0282384839295698,2640.322399763324,0.043731689453125,8.634429139347412e-06,794.5,0.062,0.062,0.0296984848098349,0.0209999999999999,29.1,794.5,28.3,30.1,2023-08-19,0.043731689453125
2392,2392,2023-08-19 21:00:00,12278.0,0.0090247708921775,110.8061370141564,2721.370710070968,0.0341100298846485,2615.748148362371,0.046661376953125,7.477682307444557e-06,794.4,0.062,0.062,0.0296984848098349,0.0209999999999999,29.3,794.4,28.1,27.6,2023-08-19,0.046661376953125
2393,2393,2023-08-19 21:30:00,12404.0,0.008978817021816,111.37324633860683,2732.671836743525,0.0324983360055851,2623.3074157102096,0.045745849609375,7.720281062157632e-06,793.8,0.062,0.062,0.0296984848098349,0.0209999999999999,29.4,793.8,26.0,29.6,2023-08-19,0.045745849609375
2394,2394,2023-08-19 22:00:00,12398.0,0.0089809894038846,111.34630662936245,2736.173126790673,0.032004175626183,2620.0677662033995,0.046112060546875,8.206273508911162e-06,793.7,0.062,0.062,0.0296984848098349,0.0209999999999999,29.7,793.7,28.4,29.1,2023-08-19,0.046112060546875
2395,2395,2023-08-19 22:30:00,12598.0,0.0089094151882526,112.24081254160627,2768.281807614195,0.0275828825549421,2658.333240079951,0.041656494140625,7.659252622166554e-06,793.5,0.062,0.062,0.0296984848098349,0.0209999999999999,29.7,793.5,28.0,28.1,2023-08-19,0.041656494140625
2396,2396,2023-08-19 23:00:00,12640.0,0.0088946008370602,112.42775458044156,2785.478837004628,0.0252938501811985,2665.688597047944,0.040802001953125,8.321818908000972e-06,793.3,0.062,0.062,0.0296984848098349,0.0209999999999999,29.6,793.3,31.1,27.7,2023-08-19,0.040802001953125
