,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
17118,17118,2024-06-21 16:00:00,11548.0,0.0093056478226599,107.4616210560775,2558.92045668832,0.068638227936171,2446.435411460159,0.061431884765625,8.51465926039233e-06,795.4,0.053,0.072,0.0616377162779237,0.0237456387181001,0.0137472779891941,17.0,15.8,795.4,52.9,18.8,2024-06-21,0.061431884765625
17119,17119,2024-06-21 16:30:00,11266.0,0.0094213931388853,106.1414151026827,2501.220495070051,0.0827193113948526,2390.2856295741785,0.071868896484375,8.594576880758184e-06,795.6,0.053,0.072,0.0616377162779237,0.0237456387181001,0.0137472779891941,18.0,16.1,795.6,57.0,17.7,2024-06-21,0.071868896484375
17120,17120,2024-06-21 17:00:00,11054.0,0.0095113085350466,105.13800454640558,2457.799117685612,0.0942315273917387,2355.0582483782528,0.078948974609375,8.078817974830183e-06,795.9,0.054,0.072,0.0621830996317172,0.0244145164223836,0.0141345174250637,18.1,16.4,795.9,53.9,17.6,2024-06-21,0.078948974609375
17121,17121,2024-06-21 17:30:00,11000.0,0.0095346258924559,104.88088481701516,2474.638559755053,0.089666945786006,2359.465942225462,0.078033447265625,9.039444953955462e-06,796.8,0.053,0.073,0.0620923329241302,0.0243031968770145,0.0140700701910268,17.8,16.6,796.8,65.2,16.3,2024-06-21,0.078033447265625
17122,17122,2024-06-21 18:00:00,11292.0,0.0094105404383884,106.26382263028184,2533.3481958940724,0.0747179322717343,2426.144948754816,0.065093994140625,8.182715210039422e-06,797.4,0.053,0.073,0.0620923329241302,0.0243031968770145,0.0140700701910268,17.5,16.7,797.4,61.2,15.7,2024-06-21,0.065093994140625
17123,17123,2024-06-21 18:30:00,11014.0,0.00952856418881,104.94760597555334,2472.280250579081,0.0902983866884934,2366.482610280285,0.076629638671875,8.27901947209647e-06,796.9,0.053,0.073,0.0620923329241302,0.0243031968770145,0.0140700701910268,17.6,16.8,796.9,59.0,16.5,2024-06-21,0.076629638671875
17124,17124,2024-06-21 19:00:00,11044.0,0.0095156136583988,105.0904372433572,2489.384247597506,0.0857749556364358,2390.837259241764,0.071746826171875,7.633075909937991e-06,797.9,0.054,0.073,0.0626377162779237,0.0249720745812981,0.0144573096268964,18.7,16.9,797.9,60.3,14.8,2024-06-21,0.071746826171875
17125,17125,2024-06-21 19:30:00,10988.0,0.0095398308564824,104.82366145102928,2505.1720824608965,0.0817123977042489,2394.865363749403,0.070953369140625,8.529569319828984e-06,798.8,0.054,0.073,0.0626377162779237,0.0249720745812981,0.0144573096268964,18.6,17.0,798.8,71.2,13.9,2024-06-21,0.070953369140625
17126,17126,2024-06-21 20:00:00,11160.0,0.0094660305707844,105.64090116995403,2520.931586546528,0.0777608580596321,2400.579539877039,0.069854736328125,9.284181456885538e-06,796.8,0.054,0.073,0.0626377162779237,0.0249720745812981,0.0144573096268964,18.3,17.2,796.8,74.7,14.5,2024-06-21,0.069854736328125
17127,17127,2024-06-21 20:30:00,11116.0,0.009484746565741,105.4324428247776,2503.727377867086,0.0820797675933176,2392.913396150919,0.071319580078125,8.57578371128059e-06,796.9,0.056,0.073,0.0637284829855107,0.0263098299898652,0.0152317884986356,19.9,17.3,796.9,58.6,17.2,2024-06-21,0.071319580078125
17128,17128,2024-06-21 21:00:00,11116.0,0.009484746565741,105.4324428247776,2507.1051408006256,0.0812222071808817,2391.131828794781,0.071685791015625,8.981746218135771e-06,796.3,0.058,0.073,0.0648192496930977,0.0276475853984322,0.0160062673703747,22.7,17.5,796.3,54.5,19.2,2024-06-21,0.071685791015625
17129,17129,2024-06-21 21:30:00,11398.0,0.0093666797904349,106.761416251378,2548.202953311524,0.0711562467896965,2433.426666675526,0.063751220703125,8.734542193783412e-06,795.3,0.06,0.073,0.0659100164006846,0.0289853408069993,0.0167807462421138,24.4,18.0,795.3,53.0,19.2,2024-06-21,0.063751220703125
17130,17130,2024-06-21 22:00:00,11314.0,0.0094013866187553,106.36728820459794,2515.6656813690124,0.0790699494523525,2406.4292551609474,0.068756103515625,8.406217541165724e-06,794.8,0.061,0.074,0.0669100164006846,0.0302117766701973,0.0174907778798162,25.5,18.7,794.8,48.1,20.2,2024-06-21,0.068756103515625
17131,17131,2024-06-21 22:30:00,11406.0,0.0093633943887939,106.7988763985839,2507.304713153723,0.0811716875326858,2402.399937457772,0.069549560546875,8.086418090163014e-06,793.5,0.061,0.074,0.0669100164006846,0.0302117766701973,0.0174907778798162,25.9,19.3,793.5,43.4,21.3,2024-06-21,0.069549560546875
17132,17132,2024-06-21 23:00:00,11424.0,0.0093560148570639,106.8831137270991,2482.091426906157,0.0876878194843975,2389.94674417734,0.071929931640625,7.13983697609117e-06,793.1,0.062,0.075,0.0679100164006846,0.0314382125333953,0.0182008095175185,26.0,19.8,793.1,36.8,22.0,2024-06-21,0.071929931640625
17133,17133,2024-06-21 23:30:00,11720.0,0.0092371116742145,108.25894882179486,2535.4478865595456,0.074209349160481,2444.508163769111,0.061798095703125,6.889193358090457e-06,792.7,0.062,0.075,0.0679100164006846,0.0314382125333953,0.0182008095175185,25.8,20.3,792.7,34.9,22.3,2024-06-21,0.061798095703125
17134,17134,2024-06-22 00:00:00,11508.0,0.0093218062786957,107.27534665523108,2515.1329714539947,0.0792030054249541,2410.249483912686,0.068023681640625,8.058447141195973e-06,792.5,0.061,0.075,0.0673646330468911,0.0307693348291118,0.0178135700816489,25.2,20.6,792.5,43.0,21.4,2024-06-22,0.068023681640625
17135,17135,2024-06-22 00:30:00,11548.0,0.0093056478226599,107.4616210560775,2525.734681720745,0.0765765303830505,2418.6271324490526,0.066497802734375,8.200822309689962e-06,792.5,0.06,0.075,0.0668192496930977,0.0301004571248283,0.0174263306457794,24.1,20.8,792.5,47.2,20.1,2024-06-22,0.066497802734375
17136,17136,2024-06-22 01:00:00,11714.0,0.0092394770308341,108.23123393919153,2568.690724740714,0.0663794665690733,2449.7078315580657,0.060882568359375,8.994488576984207e-06,792.3,0.059,0.075,0.0662738663393042,0.0294315794205447,0.0170390912099098,22.9,20.8,792.3,54.9,19.1,2024-06-22,0.060882568359375
17137,17137,2024-06-22 01:30:00,11328.0,0.0093955753500353,106.43307756520056,2495.9251123682075,0.0840789667664349,2372.550065499036,0.075347900390625,9.629820349815376e-06,792.5,0.059,0.075,0.0662738663393042,0.0294315794205447,0.0170390912099098,21.8,20.7,792.5,60.9,18.5,2024-06-22,0.075347900390625
17138,17138,2024-06-22 02:00:00,11242.0,0.0094314444146516,106.02829810951414,2501.15479402874,0.0827361082578448,2365.631846828818,0.076751708984375,1.0608938203001654e-05,793.5,0.058,0.075,0.0657284829855107,0.0287627017162612,0.0166518517740402,21.0,20.5,793.5,74.7,16.7,2024-06-22,0.076751708984375
17139,17139,2024-06-22 02:30:00,11190.0,0.0094533330056177,105.78279633286311,2516.3750197000554,0.0788929557472578,2395.7639158131574,0.070770263671875,9.322867525160068e-06,795.8,0.058,0.075,0.0657284829855107,0.0287627017162612,0.0166518517740402,20.2,20.2,795.8,74.1,14.7,2024-06-22,0.070770263671875
17140,17140,2024-06-22 03:00:00,10548.0,0.0097367706306164,102.70345661174214,2394.960596909212,0.1124904253015859,2275.356369173958,0.096832275390625,9.734269041172231e-06,796.8,0.069,0.075,0.071727699877239,0.0361203564633801,0.0209114855686055,19.0,19.9,796.8,88.6,12.5,2024-06-22,0.096832275390625
17141,17141,2024-06-22 03:30:00,10308.0,0.0098494684877742,101.52832117197644,2342.1474192742894,0.1295192193221138,2230.282433000366,0.108245849609375,9.288392309581256e-06,797.2,0.112,0.078,0.0965430340289785,0.0665547722243156,0.0385311579164954,17.6,19.5,797.2,85.6,12.3,2024-06-22,0.108245849609375
17142,17142,2024-06-22 04:00:00,10144.0,0.0099287683848692,100.71742649611338,2301.264826985717,0.143919604690837,2186.563067352906,0.120391845703125,9.714362652426722e-06,796.7,0.167,0.085,0.1297214350110658,0.1072459530723115,0.0620888723021511,16.6,19.0,796.7,95.3,11.3,2024-06-22,0.120391845703125
17143,17143,2024-06-22 04:30:00,9898.0,0.010051393496147,99.48869282486326,2224.004054092251,0.1745672218419207,2117.555711583708,0.141937255859375,9.30915579328844e-06,795.7,0.205,0.089,0.1522644690400443,0.1348935384707437,0.0780951396725259,16.2,18.6,795.7,91.9,11.2,2024-06-22,0.141937255859375
17144,17144,2024-06-22 05:00:00,10150.0,0.0099258333397093,100.74720839804942,2259.4692006845207,0.1598939933321281,2150.940255720652,0.131134033203125,9.343798702746007e-06,796.2,0.214,0.091,0.1580821525165987,0.1420285541271245,0.0822258789990176,15.9,18.2,796.2,96.4,10.5,2024-06-22,0.131134033203125
17146,17146,2024-06-22 06:00:00,10212.0,0.0098956561665959,101.05444077327824,2266.069039286388,0.1572807866482737,2162.5530562721306,0.127532958984375,8.864349676195665e-06,795.6,0.212,0.093,0.1579006191014247,0.1418059150363864,0.0820969845309439,15.1,17.4,795.6,95.6,9.8,2024-06-22,0.127532958984375
17147,17147,2024-06-22 06:30:00,10128.0,0.0099366079189645,100.637965003273,2233.3582361332856,0.1705902068862049,2134.881264463708,0.136199951171875,8.542150113293529e-06,796.0,0.211,0.093,0.1573552357476312,0.1411370373321028,0.0817097450950743,14.7,17.1,796.0,94.5,9.4,2024-06-22,0.136199951171875
17148,17148,2024-06-22 07:00:00,10444.0,0.0097851292922567,102.19589032832974,2299.3538788837764,0.144621181994454,2198.1828841860456,0.117034912109375,8.523116763055933e-06,795.8,0.209,0.094,0.1567190856862508,0.1403568400824502,0.0812580584251679,14.4,16.8,795.8,95.5,9.2,2024-06-22,0.117034912109375
17149,17149,2024-06-22 07:30:00,10276.0,0.0098647924464571,101.3706071797935,2264.8635968584103,0.1577554471091402,2167.7074292106977,0.125946044921875,8.299959051335516e-06,796.1,0.207,0.094,0.1556283189786638,0.1390190846738832,0.0804835795534288,14.1,16.5,796.1,94.8,8.9,2024-06-22,0.125946044921875
17150,17150,2024-06-22 08:00:00,10042.0,0.0099790659193226,100.20977996183804,2213.1710716998564,0.1792734138229557,2119.2105352201934,0.141387939453125,8.210651588836998e-06,795.9,0.206,0.095,0.1555375522710768,0.1389077651285141,0.0804191323193919,13.8,16.3,795.9,95.6,8.6,2024-06-22,0.141387939453125
17151,17151,2024-06-22 08:30:00,10114.0,0.0099434827658885,100.568384694197,2222.726043908529,0.1751167571673917,2129.5960124803114,0.137908935546875,8.09839143915851e-06,795.6,0.205,0.095,0.1549921689172834,0.1382388874242306,0.0800318928835224,13.5,16.0,795.6,94.9,8.5,2024-06-22,0.137908935546875
17152,17152,2024-06-22 09:00:00,10298.0,0.0098542495513477,101.47906187977893,2243.8039444567034,0.1662410786497722,2151.316817157662,0.131011962890625,7.961284762672707e-06,795.7,0.203,0.094,0.1534467855634899,0.136343573856749,0.0789346218099505,13.2,15.8,795.7,94.5,8.3,2024-06-22,0.131011962890625
17153,17153,2024-06-22 09:30:00,10240.0,0.0098821176880261,101.19288512538814,2240.07440869133,0.1677829422789018,2149.05902602862,0.131683349609375,7.84282808845937e-06,795.8,0.202,0.095,0.1533560188559029,0.13623225431138,0.0788701745759137,13.0,15.5,795.8,94.3,8.1,2024-06-22,0.131683349609375
17155,17155,2024-06-22 10:30:00,10348.0,0.0098304135879625,101.72511980823616,2261.363768148814,0.1591402144571564,2171.724882943766,0.124725341796875,7.643598729683207e-06,795.8,0.2,0.095,0.152265252148316,0.1348944989028129,0.0780956957041745,12.5,15.1,795.8,93.7,7.8,2024-06-22,0.124725341796875
17157,17157,2024-06-22 11:30:00,10170.0,0.0099160686218121,100.84641788382967,2212.314505129998,0.1796502375512332,2126.41545405221,0.138946533203125,7.480773171939776e-06,796.2,0.198,0.095,0.151174485440729,0.1335567434942458,0.0773212168324354,12.0,14.6,796.2,93.5,7.5,2024-06-22,0.138946533203125
17158,17158,2024-06-22 12:00:00,10162.0,0.0099199710495987,100.80674580602232,2220.1352326947285,0.176235409347734,2134.10820574893,0.136444091796875,7.464912450537137e-06,796.4,0.197,0.095,0.1506291020869355,0.1328878657899623,0.0769339773965658,11.8,14.4,796.4,92.7,7.6,2024-06-22,0.136444091796875
17159,17159,2024-06-22 12:30:00,10056.0,0.0099721170538756,100.2796090937734,2200.842017590106,0.1847653890378538,2115.91635558781,0.142486572265625,7.432701393576888e-06,796.4,0.196,0.095,0.150083718733142,0.1322189880856788,0.0765467379606962,11.7,14.2,796.4,92.3,7.6,2024-06-22,0.142486572265625
