,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
3223,3223,2023-09-06 04:30:00,19754.0,0.0071149602038265,140.54892386638895,2023.5760879569905,0.1412023992940229,1986.512475842142,0.121490478515625,3.4551164196491725e-06,699.2,0.031,0.022,0.071,0.071,0.0402798909448888,0.0297952949517815,0.0144505288356757,11.9,15.3,15.8,12.6,699.2,36.1,10.3,2023-09-06,0.121490478515625
3224,3224,2023-09-06 05:00:00,19784.0,0.0071095636767154,140.65560778013793,2025.611669596237,0.1403456784254638,1987.6381645372128,0.121124267578125,3.5379329557818693e-06,699.2,0.031,0.021,0.071,0.072,0.0400409148420902,0.0300685611306611,0.014583061197047,11.3,14.7,15.5,12.6,699.2,37.2,10.2,2023-09-06,0.121124267578125
3225,3225,2023-09-06 05:30:00,20044.0,0.0070633024477767,141.57683426323672,2054.2273494980336,0.128743615892368,2015.2731077470105,0.111968994140625,3.579538894594988e-06,699.3,0.031,0.021,0.071,0.072,0.0400409148420902,0.0300685611306611,0.014583061197047,10.9,14.3,15.3,12.6,699.3,37.4,10.3,2023-09-06,0.111968994140625
3226,3226,2023-09-06 06:00:00,19366.0,0.0071858812538047,139.1617763611833,1984.343785373123,0.1586034843733859,1946.7147432169795,0.135955810546875,3.579538894594988e-06,699.4,0.031,0.021,0.071,0.072,0.0400409148420902,0.0300685611306611,0.014583061197047,10.4,13.9,15.2,12.7,699.4,37.4,10.3,2023-09-06,0.135955810546875
3227,3227,2023-09-06 06:30:00,19498.0,0.0071615160070427,139.6352391053204,1980.145197197352,0.1605718582564701,1941.317174713388,0.137969970703125,3.703863865073473e-06,699.4,0.031,0.021,0.07,0.072,0.0398163917865511,0.0303253004311143,0.014707578127336,10.0,13.5,15.0,12.7,699.4,40.2,9.7,2023-09-06,0.137969970703125
3228,3228,2023-09-06 07:00:00,19980.0,0.0070746059996334,141.35062787267697,2029.8873786076583,0.1385601394348632,1987.8134403312083,0.121063232421875,3.919618357091011e-06,699.3,0.031,0.021,0.07,0.072,0.0398163917865511,0.0303253004311143,0.014707578127336,9.6,13.1,14.8,12.7,699.3,44.2,9.1,2023-09-06,0.121063232421875
3230,3230,2023-09-06 08:00:00,19724.0,0.0071203690383535,140.4421589124861,2010.019822304746,0.1470201946063303,1969.8914355781185,0.127349853515625,3.772381864776434e-06,699.3,0.03,0.021,0.071,0.072,0.0396624626229125,0.0305013165008094,0.0147929448033426,8.7,12.5,14.4,12.7,699.3,42.0,9.3,2023-09-06,0.127349853515625
3231,3231,2023-09-06 08:30:00,19692.0,0.0071261520801502,140.32818676231798,2004.6121193091287,0.1493969165293063,1965.21845293844,0.129058837890625,3.712118309835566e-06,699.2,0.03,0.02,0.07,0.072,0.0391199391533325,0.0311216852897739,0.0150938197263194,8.4,12.2,14.3,12.7,699.2,43.5,8.5,2023-09-06,0.129058837890625
3232,3232,2023-09-06 09:00:00,19980.0,0.0070746059996334,141.35062787267697,2026.3144011068264,0.1400509199344944,1988.2304511502105,0.120941162109375,3.547165934019014e-06,699.2,0.03,0.02,0.07,0.072,0.0391199391533325,0.0311216852897739,0.0150938197263194,8.0,11.8,14.1,12.8,699.2,40.0,9.1,2023-09-06,0.120941162109375
3233,3233,2023-09-06 09:30:00,20228.0,0.0070311040923713,142.22517358048822,2059.70710320238,0.1266118884069883,2020.227335169042,0.110382080078125,3.6189333878655418e-06,699.3,0.03,0.02,0.07,0.072,0.0391199391533325,0.0311216852897739,0.0150938197263194,7.7,11.5,13.9,12.8,699.3,41.6,8.8,2023-09-06,0.110382080078125
3234,3234,2023-09-06 10:00:00,19686.0,0.0071272379699973,140.30680667736686,2004.950867704903,0.1492470752204054,1966.0962685454688,0.128692626953125,3.6596865859264192e-06,699.3,0.03,0.02,0.07,0.072,0.0391199391533325,0.0311216852897739,0.0150938197263194,7.4,11.3,13.7,12.8,699.3,41.8,8.9,2023-09-06,0.128692626953125
3235,3235,2023-09-06 10:30:00,19836.0,0.0071002387140384,140.84033513166602,2021.8953538448216,0.1419130450061849,1982.5661629313963,0.122894287109375,3.673614348243201e-06,699.4,0.03,0.02,0.07,0.072,0.0391199391533325,0.0311216852897739,0.0150938197263194,7.1,11.0,13.6,12.8,699.4,42.5,8.7,2023-09-06,0.122894287109375
3236,3236,2023-09-06 11:00:00,20200.0,0.0070359754473029,142.12670403551894,2045.055043173216,0.1323750372810409,2005.4101892891983,0.115142822265625,3.660916677975765e-06,699.4,0.029,0.02,0.069,0.072,0.0385169638786156,0.0318111799603755,0.015428220262904,6.9,10.7,13.4,12.8,699.4,42.9,8.5,2023-09-06,0.115142822265625
3237,3237,2023-09-06 11:30:00,20098.0,0.0070538071029929,141.76741515595182,2034.4971745224288,0.1366560373155151,1995.2838606106093,0.118499755859375,3.639444462936095e-06,699.4,0.029,0.02,0.069,0.072,0.0385169638786156,0.0318111799603755,0.015428220262904,6.6,10.5,13.2,12.8,699.4,43.2,8.3,2023-09-06,0.118499755859375
3238,3238,2023-09-06 12:00:00,20348.0,0.0070103408692871,142.64641600825448,2063.1324602344484,0.1252934023130489,2023.9993462859927,0.109161376953125,3.5804719832125934e-06,699.4,0.029,0.02,0.069,0.072,0.0385169638786156,0.0318111799603755,0.015428220262904,6.3,10.2,13.1,12.9,699.4,42.5,8.3,2023-09-06,0.109161376953125
