date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-14,2023-07-14,6503.458333333333,0.0087689323340263,114.0449005866843,2747.854648270419,0.0353332664829875,2671.3545895586826,0.0319480895996093,5.304653048154265e-06,792.6104166666668,0.011625,0.0666875,0.0303302721106201,0.0141305065921578,0.0081805091285436,24.01707317073171,23.425,0.0,792.6104166666668,36.454166666666666,20.116666666666667,2023-07-14,0.0319480895996093,827.7119101497791
2023-07-15,2023-07-15,6364.854166666667,0.0088647515289947,112.8194362308115,2774.3848594810183,0.0305788021986129,2708.340662572428,0.0274772644042968,4.51969326781615e-06,794.6916666666666,0.0105833333333333,0.0661875,0.030102866134158,0.0144094021164642,0.0083419688304742,23.2625,23.516666666666666,0.0,794.6916666666666,33.77291666666667,18.175,2023-07-15,0.0274772644042968,831.7730224838414
2023-07-16,2023-07-16,6319.416666666667,0.0088964059209104,112.41670051355383,2796.296625159483,0.026851191400136,2729.2468435094424,0.0251172383626302,4.557607487802126e-06,796.2062500000001,0.0100416666666666,0.0656875,0.029875460157696,0.0146882976407707,0.0085034285324049,23.451282051282053,23.66875,0.0,796.2062500000001,34.454166666666666,18.904166666666665,2023-07-16,0.0251172383626302,827.0328592290107
2023-07-17,2023-07-17,6244.5625,0.0089496770578883,111.74844272980556,2782.304484112069,0.0292535274754726,2708.9938544685087,0.0274314880371093,5.013723418385682e-06,795.5083333333333,0.0098958333333333,0.0656875,0.029875460157696,0.0146882976407707,0.0085034285324049,24.176315789473687,24.422916666666666,0.0,795.5083333333333,29.88958333333333,21.804166666666664,2023-07-17,0.0274314880371093,835.6767160194383
2023-07-18,2023-07-18,6342.229166666667,0.0088794932185298,112.62321487650996,2792.119998000848,0.027449278464577,2713.389214563894,0.0268084208170572,5.372569038253368e-06,793.9875000000001,0.0095625,0.0654166666666666,0.0297522819204458,0.01483936604977,0.0085908858709507,26.56279069767442,24.84375,0.0,793.9875000000001,29.37291666666667,22.6,2023-07-18,0.0268084208170572,840.1639121603187
2023-07-19,2023-07-19,6135.666666666667,0.0090279885694748,110.7729134596017,2762.4899312878024,0.0326856547312147,2637.291111568622,0.0363655090332031,8.79972008037642e-06,796.1104166666668,0.0108541666666666,0.0650625,0.0295912026871185,0.0150369170461538,0.0087052531598182,26.95909090909091,24.88125,0.0,796.1104166666668,49.27291666666667,21.48958333333333,2023-07-19,0.0363655090332031,855.6747984256643
2023-07-20,2023-07-20,5964.875,0.0091569834796567,109.21769407425845,2681.42947280533,0.0480714574182464,2549.1737684417985,0.0489463806152343,9.612638502680834e-06,796.4541666666668,0.0185416666666666,0.0630625,0.0286815787812705,0.0161524991433796,0.0093510919675408,23.666666666666668,23.210416666666664,6.8655996,796.4541666666668,59.60833333333333,19.972916666666663,2023-07-20,0.0489463806152343,874.729629520492
2023-07-21,2023-07-21,6052.020833333333,0.0090906799750373,110.01315232194288,2718.2997567525777,0.0408130167969322,2602.872114867451,0.0411109924316406,8.230245978229361e-06,796.7395833333334,0.0271041666666666,0.0620833333333333,0.0430131097699878,0.0014239951572455,0.0008243869607133,23.08333333333333,22.10833333333333,0.0,796.7395833333334,57.34583333333333,19.1125,2023-07-21,0.0411109924316406,858.2447584385997
2023-07-22,2023-07-22,6288.875,0.0089176932208199,112.14592059597146,2766.525142265468,0.0319982176561749,2680.0637361857803,0.0309003194173177,5.977964339246488e-06,796.2291666666666,0.0284375,0.0626875,0.0440148093876474,0.0026525008650162,0.0015356001144203,24.022916666666664,22.510416666666668,0.0,796.2291666666666,42.62708333333334,19.191666666666663,2023-07-22,0.0309003194173177,842.6956800671162
2023-07-23,2023-07-23,6326.5625,0.0088905861632753,112.48357769083968,2771.3751387530624,0.0310532336502871,2697.778960924404,0.0286738077799479,5.053343336417481e-06,795.88125,0.020375,0.0641875,0.0403014486874833,0.001901643645712,0.0011009098011828,24.323809523809523,23.6875,0.0,795.88125,29.791666666666668,21.547916666666666,2023-07-23,0.0286738077799479,847.2403810716355
