Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-08-23,5840.020833333333,0.009288002413764465,107.67855272687358,2419.8469641423044,0.06861279943462623,2313.8872775913424,0.06561660766601562,0.035041666666666665,0.07445833333333333,0.1085,,0.06564265277203717,0.03109103877782923,0.015875274364462247,20.610869565217392,19.9375,19.535416666666666,,1.5554999,786.8000000000001,56.543749999999996,17.972916666666666
2023-08-24,5689.958333333333,0.009419230485598552,106.19710720309813,2333.136094410621,0.08840658566244802,2212.5884717226677,0.0849164326985677,0.04485416666666667,0.0741875,0.1080625,,0.06960015178395378,0.026488304267672406,0.01352509000112654,20.097727272727273,20.152083333333334,19.51875,,4.6886,785.2145833333334,75.575,16.756249999999998
2023-08-25,5347.5625,0.009694656067446858,103.15588436771895,2225.7108646060933,0.11699139199258274,2094.6394171393918,0.11205291748046875,0.07916666666666666,0.07352083333333333,0.10770833333333334,,0.08380735275293426,0.00996474380795905,0.005088059072369509,18.346666666666668,19.39375,19.26875,,7.8443,785.9854166666668,93.03750000000001,14.775
2023-08-26,5282.25,0.009695740307456234,103.15520034692041,2226.1631958858193,0.11720350741014984,2112.940012003967,0.10764821370442708,0.11875000000000001,0.07375,0.10710416666666667,,0.10049700693136454,0.00944601208062961,0.0048231914829733455,19.206382978723404,18.772916666666667,18.341666666666665,,5.171,786.6104166666668,77.17083333333333,16.825
2023-08-27,5386.4375,0.009622779019079314,103.94354529550635,2245.520232173402,0.1116242755094401,2138.4855273961557,0.10138829549153645,0.10635416666666665,0.07502083333333333,0.10820833333333334,,0.0959461940703733,0.004153229102926305,0.002120664155950983,19.38695652173913,19.6125,19.122916666666665,,2.5578,786.4812499999999,68.42291666666667,17.641666666666666
2023-08-28,5567.458333333333,0.00947012687966168,105.60743028722673,2299.645943517395,0.0966334120333029,2206.3607099638334,0.08606465657552083,0.0950625,0.07564583333333333,0.10839583333333334,,0.09142750905633328,0.0011021878642096987,0.0005627838577714867,20.4,19.833333333333332,19.091666666666665,,0.1704,786.0083333333333,56.0625,18.810416666666665
2023-08-29,5638.520833333333,0.009373116991030885,106.7044081395736,2351.247876565891,0.08370571423514091,2281.453065266011,0.07114537556966145,0.08235416666666666,0.076375,0.10891666666666666,,0.08642237784362539,0.0069233618155423535,0.0035351108443681992,19.993333333333336,20.097916666666666,19.483333333333334,,0.2816,787.275,47.85833333333333,17.477083333333333
2023-08-30,5885.0,0.009202669046443089,108.67083116747573,2379.3251686186577,0.07722340995225584,2308.5993316583194,0.06630961100260417,0.07354166666666666,0.07666666666666666,0.10920833333333334,,0.0828615527367885,0.011064748220066964,0.0056497280461570544,20.717021276595744,20.381249999999998,19.677083333333332,,0.0,784.8208333333333,40.020833333333336,18.060416666666665
2023-08-31,6052.9375,0.009072502963600125,110.22661208207393,2406.854602645752,0.07114390983554487,2343.2074878589533,0.060520172119140625,0.06608333333333334,0.07697916666666667,0.10925,,0.07982320673059451,0.014598469889837758,0.007454067921583173,21.335555555555555,20.627083333333335,19.6375,,0.0,782.06875,35.43541666666667,19.502083333333335
2023-09-01,6055.145833333333,0.009100564686188533,109.88983757889423,2406.604161607212,0.07123321535385838,2332.5874569725383,0.062253316243489586,0.05708333333333334,0.07702083333333333,0.10947916666666667,,0.07608214216554184,0.018949482215158235,0.009675721399333013,21.515555555555558,21.099999999999998,20.089583333333334,,0.0,782.6020833333333,35.87083333333333,19.1375
2023-09-02,5932.916666666667,0.009223035545567873,108.43244856342407,2397.3218696676686,0.07341446006900236,2308.4956583191647,0.06648890177408855,0.05102083333333333,0.07585416666666667,0.10879166666666666,,0.0729544587615605,0.02258710696174732,0.01153311482062452,20.16595744680851,19.881249999999998,19.537499999999998,,0.0,785.5604166666667,48.90625,17.925
2023-09-03,5866.729166666667,0.009179630862586509,108.95191247823163,2406.3756176545726,0.07128892548657736,2306.025791999436,0.06671396891276042,0.04735416666666667,0.07531249999999999,0.10833333333333334,,0.07110967682195383,0.0247326644139599,0.012628649564959925,19.48913043478261,19.589583333333334,19.16875,,0.0,784.7208333333333,59.63958333333333,16.516666666666666
2023-09-04,6215.166666666667,0.008950368422946059,111.73557147121699,2411.7036424802586,0.07014484373741187,2330.015069126812,0.06270599365234375,0.04689583333333333,0.07395833333333333,0.10708333333333332,,0.07015865119864893,0.025838746422634604,0.013193421796688247,19.193749999999998,18.33125,18.208333333333332,,1.1012,778.3770833333333,54.22083333333333,16.070833333333333
2023-09-05,6187.145833333333,0.009001900892853508,111.09467481945912,2426.253868205627,0.06719513179590451,2360.9690166077557,0.057872772216796875,0.04464583333333333,0.07358333333333333,0.1065625,,0.06895654377260972,0.027236846919459965,0.013907300452682875,18.05777777777778,18.154166666666665,18.027083333333334,,0.0,781.49375,55.824999999999996,13.364583333333334
2023-09-06,6206.666666666667,0.008966081533667894,111.53779992055412,2451.8208951557517,0.062010891688059254,2400.483168883648,0.051876068115234375,0.0415,0.074,0.10670833333333334,,0.06780315010412981,0.028578291307878863,0.014592250153559519,19.628888888888888,18.96875,18.339583333333334,,0.0,784.1062499999999,35.37291666666667,16.279166666666665
