Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
2761,2023-08-27 13:30:00,10884.0,0.0095853005187394,104.3264108459598,2479.308023260281,0.0760911426681179,2362.5103554549746,0.085418701171875,9.155175845804074e-06,799.4,0.082,,,,0.082,0.0579827560572969,0.041,16.8,,,,799.4,100.0,9.6
2762,2023-08-27 14:00:00,11296.0,0.0094088741186872,106.2826420446914,2581.0991945467367,0.0564941343484983,2451.9401851543,0.069671630859375,9.75486074965916e-06,799.4,0.082,,,,0.082,0.0579827560572969,0.041,16.7,,,,799.4,96.3,11.2
2763,2023-08-27 14:30:00,11110.0,0.0094873073577327,105.40398474441088,2543.598039278936,0.0633386255153504,2409.753997746924,0.076812744140625,1.028566967425452e-05,799.3,0.082,,,,0.082,0.0579827560572969,0.041,16.7,,,,799.3,90.2,13.1
2764,2023-08-27 15:00:00,11036.0,0.0095190619693141,105.05236789335116,2515.9975476038608,0.0686473191330471,2383.2646739541983,0.081512451171875,1.0313651712964078e-05,799.1,0.082,,,,0.082,0.0579827560572969,0.041,16.8,,,,799.1,80.0,15.1
2765,2023-08-27 15:30:00,11094.0,0.0094941462898572,105.32805893967664,2529.1518420993734,0.066087313040578,2399.05753349772,0.078704833984375,1.0042084565938507e-05,798.9,0.082,,,,0.082,0.0579827560572969,0.041,17.0,,,,798.9,66.6,17.7
2766,2023-08-27 16:00:00,10998.0,0.0095354927948437,104.8713497576912,2505.9727873138263,0.0706359856700106,2378.297706274375,0.082427978515625,9.941368342343528e-06,798.9,0.082,,,,0.082,0.0579827560572969,0.041,17.4,,,,798.9,61.4,18.9
2767,2023-08-27 16:30:00,11372.0,0.0093773812780642,106.63957989414624,2605.229649987425,0.0522990350266253,2455.479305411596,0.069122314453125,1.1293740179647615e-05,798.7,0.082,,,,0.082,0.0579827560572969,0.041,18.3,,,,798.7,63.5,20.5
2768,2023-08-27 17:00:00,11436.0,0.0093511048515528,106.9392350823588,2599.2779350414216,0.0533191921760646,2467.940614107917,0.067108154296875,9.855069429046496e-06,798.5,0.082,,,,0.082,0.0579827560572969,0.041,19.8,,,,798.5,53.2,21.2
2769,2023-08-27 17:30:00,11148.0,0.0094711239424582,105.5840897105241,2521.523819005716,0.0675650772109273,2398.564323358977,0.078765869140625,9.493294280192822e-06,798.1,0.083,,,,0.083,0.05939696961967,0.042,21.2,,,,798.1,47.0,22.7
2770,2023-08-27 18:00:00,11224.0,0.0094390040186379,105.94338110519222,2542.3663124714617,0.0635704804607253,2414.0690260563388,0.076019287109375,9.841788485374824e-06,797.8,0.083,,,,0.083,0.05939696961967,0.042,22.8,,,,797.8,45.5,23.9
