Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
17134,2024-06-22 00:00:00,17058.0,0.0076565997515951,130.60627856270924,2183.1059596725813,0.2717827243192124,2100.746543155441,0.259796142578125,7.260154181456546e-06,723.1,0.109,0.099,0.132,,0.11074183361952904,0.0370404382404754,0.01895328234346254,21.7,18.6,14.2,,723.1,54.3,15.7
17135,2024-06-22 00:30:00,17466.0,0.0075666434875509,132.15899515356494,2239.6125134120184,0.2393957457378346,2147.3657088053365,0.234649658203125,7.955208339120674e-06,723.0,0.108,0.099,0.133,,0.11054008684537121,0.036805622118249316,0.018833128898342533,20.6,18.5,14.5,,723.0,64.4,14.4
17136,2024-06-22 01:00:00,17234.0,0.0076174034046531,131.27833027579229,2212.7077824488183,0.2542384030036446,2120.436071661701,0.248809814453125,8.058415001436681e-06,723.1,0.107,0.098,0.133,,0.1097662348890445,0.03590492412037424,0.018372249268650047,19.5,18.1,14.6,,723.1,69.8,13.3
17137,2024-06-22 01:30:00,16862.0,0.0077009704604354,129.85376390386224,2163.585449302893,0.2841192899677967,2077.788098684357,0.273529052734375,7.646784709543874e-06,723.3,0.106,0.098,0.133,,0.10933834007121339,0.03540689086921983,0.01811740982090163,18.5,17.6,14.7,,723.3,69.6,12.5
17138,2024-06-22 02:00:00,17182.0,0.0076289214390608,131.08012816594282,2211.7815020755065,0.2547674345413846,2116.039891702498,0.251190185546875,8.37882495333701e-06,723.6,0.106,0.098,0.132,,0.1091121920275401,0.035143673740291495,0.017982723818273216,17.6,17.2,14.7,,723.6,77.7,12.2
17139,2024-06-22 02:30:00,16658.0,0.0077479814295363,129.0658746532173,2171.7257885031604,0.2788965853456336,2073.2158226877004,0.276397705078125,8.799173758221016e-06,725.0,0.11,0.097,0.132,,0.11047781416036886,0.036733141998188425,0.018796041427322795,16.7,16.7,14.7,,725.0,93.7,10.0
17140,2024-06-22 03:00:00,16604.0,0.0077605703049118,128.8565093427569,2171.720711266345,0.2788998074292287,2079.3506811872976,0.272552490234375,8.226395518808013e-06,725.7,0.131,0.1,0.132,,0.12050147675030878,0.04839983451259293,0.02476579037587172,15.8,16.2,14.6,,725.7,96.4,8.5
17141,2024-06-22 03:30:00,16244.0,0.0078460940489312,127.45195173083854,2125.885573853164,0.3098839580930894,2035.7972919145668,0.301300048828125,8.19483120449807e-06,725.8,0.156,0.106,0.133,,0.13350073807073323,0.06352987140070539,0.03250770366387493,14.8,15.6,14.5,,725.8,97.9,8.2
17142,2024-06-22 04:00:00,15870.0,0.007938008079785,125.9761882261882,2088.142075813112,0.3386034089984305,2002.429861364516,0.326324462890625,7.926685778886391e-06,726.7,0.175,0.114,0.134,,0.14462454476116235,0.0764770382753328,0.03913266062927581,13.9,15.1,14.3,,726.7,97.8,7.7
17143,2024-06-22 04:30:00,15708.0,0.0079788362790391,125.3315602711464,2056.430586292385,0.3653781086632054,1974.5520796008163,0.349761962890625,7.679051153429176e-06,726.2,0.192,0.126,0.134,,0.15605024232623857,0.08977558050560588,0.04593741342432781,13.2,14.5,14.2,,726.2,98.5,7.1
17144,2024-06-22 05:00:00,15952.0,0.0079175794402442,126.30122723077557,2043.597995929792,0.376990410436017,1965.151580507098,0.358245849609375,7.392363068205117e-06,725.4,0.199,0.136,0.134,,0.16250507743601253,0.09728846073089353,0.04978169137800749,12.6,14.0,14.0,,725.4,98.6,6.5
17145,2024-06-22 05:30:00,15872.0,0.0079375079375119,125.98412598418898,2029.741246604856,0.3900808937601565,1955.29625663294,0.367462158203125,7.0506498477108326e-06,725.4,0.196,0.141,0.134,,0.16295117867499737,0.09780768471103372,0.05004737394448263,12.1,13.6,13.8,,725.4,99.1,5.7
17146,2024-06-22 06:00:00,15918.0,0.0079260306937401,126.16655658295504,2036.232610180041,0.3838748627466015,1963.9912400308312,0.359283447265625,6.811655386458303e-06,725.1,0.192,0.143,0.134,,0.16193151368066425,0.0966208811998575,0.049440096517377144,11.5,13.1,13.6,,725.1,99.6,5.1
17147,2024-06-22 06:30:00,16231.999999999998,0.0078489937450137,127.40486646906388,2059.0067594345737,0.3631033748915032,1988.6363764842245,0.337615966796875,6.5530091636218536e-06,725.3,0.189,0.145,0.134,,0.16133974350416222,0.09593211093983568,0.04908765853802007,10.9,12.7,13.4,,725.3,99.7,4.5
17148,2024-06-22 07:00:00,16208.000000000002,0.0078548027950836,127.3106437027164,2054.783005957068,0.3668426280855726,1985.6960565584227,0.340118408203125,6.44302005637343e-06,725.3,0.186,0.146,0.134,,0.16040201618916453,0.0948406759330931,0.048529180376718876,10.4,12.3,13.2,,725.3,100.0,4.2
17149,2024-06-22 07:30:00,16042.0,0.0078953383104544,126.65701717630968,2034.362778407464,0.3856489950181032,1966.837112825252,0.356719970703125,6.357797910185058e-06,725.4,0.184,0.146,0.134,,0.15954622655350234,0.0938446094307843,0.048019501481222054,9.9,11.9,13.0,,725.4,100.0,4.0
17150,2024-06-22 08:00:00,16390.0,0.0078110698813072,128.0234353546256,2077.521097411629,0.3472820487393454,2010.3207705871,0.320159912109375,6.190308108825358e-06,725.2,0.182,0.146,0.134,,0.15869043691784016,0.09284854292847551,0.04750982258572523,9.4,11.5,12.8,,725.2,100.0,3.6
17151,2024-06-22 08:30:00,16222.0,0.0078514126158361,127.36561545409342,2054.237709537585,0.3673290205841031,1988.2192122529384,0.337982177734375,6.149044114432202e-06,725.1,0.181,0.147,0.134,,0.1586084992385047,0.09275317442404182,0.047461023319920914,9.0,11.1,12.6,,725.1,100.0,3.5
17152,2024-06-22 09:00:00,16162.0,0.0078659729534019,127.12985487288184,2025.148468537217,0.3945525961024316,1960.903230286807,0.362152099609375,6.067237872278074e-06,724.9,0.18,0.147,0.134,,0.15818060442067358,0.09225514117288738,0.04720618387217248,8.6,10.8,12.3,,724.9,100.0,3.3
17153,2024-06-22 09:30:00,16078.0,0.0078864941923266,126.7990536242286,2023.888872965968,0.3957909270146824,1960.099125716864,0.362945556640625,6.026693243343645e-06,724.9,0.178,0.147,0.135,,0.15755096282868467,0.09152229179950691,0.04683119097930406,8.2,10.5,12.2,,724.9,100.0,3.2
17154,2024-06-22 10:00:00,15868.0,0.0079385083166119,125.96824996799788,1999.619233352632,0.4207069029542392,1937.408839298373,0.385284423828125,5.9463150521979305e-06,725.1,0.177,0.147,0.135,,0.15712306801085357,0.09102425854835251,0.046576351531555656,7.9,10.1,12.0,,725.1,100.0,3.0
17155,2024-06-22 10:30:00,16128.000000000002,0.0078742598543589,126.99606293110035,2030.855816406574,0.3890058927559392,1967.6736172664864,0.355926513671875,5.9463150521979305e-06,725.0,0.177,0.147,0.135,,0.15712306801085357,0.09102425854835251,0.046576351531555656,7.5,9.9,11.8,,725.0,100.0,3.0
17156,2024-06-22 11:00:00,16004.000000000002,0.0079047061239032,126.50691680694776,2000.4715267598915,0.4197964400300288,1939.040519537616,0.383636474609375,5.8668771147094175e-06,725.1,0.176,0.148,0.135,,0.1570411303315181,0.09092889004391878,0.04652755226575131,7.3,9.6,11.6,,725.1,100.0,2.8
17157,2024-06-22 11:30:00,15985.999999999998,0.0079091551630669,126.43575443678895,2002.733912665945,0.4173926256163207,1941.2334315006135,0.381378173828125,5.8668771147094175e-06,725.4,0.175,0.147,0.136,,0.15649342641886466,0.09029140917497204,0.04620135863868724,7.0,9.3,11.4,,725.4,100.0,2.8
17158,2024-06-22 12:00:00,16326.0,0.0078263651007154,127.77323663428112,2052.3719113576067,0.3689996457493113,1989.7571543194224,0.336700439453125,5.827507820374016e-06,725.5,0.174,0.148,0.136,,0.1564114887395292,0.09019604067053832,0.04615255937288291,6.7,9.1,11.2,,725.5,100.0,2.7
17159,2024-06-22 12:30:00,15903.999999999998,0.0079295184961943,126.11106216347557,2006.5980968470644,0.4133299688830565,1944.9789532948096,0.377593994140625,5.8668771147094175e-06,725.7,0.174,0.148,0.136,,0.1564114887395292,0.09019604067053832,0.04615255937288291,6.5,8.8,11.0,,725.7,100.0,2.8
17160,2024-06-22 13:00:00,16182.0,0.0078611105106096,127.20849028268516,2043.381060483168,0.3771908449599737,1978.9769505920908,0.345855712890625,6.026693243343645e-06,725.7,0.173,0.147,0.137,,0.15586378482687574,0.08955855980159155,0.04582636574581882,6.3,8.6,10.9,,725.7,100.0,3.2
17161,2024-06-22 13:30:00,16204.0,0.0078557722246208,127.29493312775652,2054.959104999995,0.3666857308424463,1983.1579753869091,0.342254638671875,6.704713214443043e-06,725.8,0.172,0.147,0.137,,0.15543589000904465,0.08906052655043716,0.0455715262980704,6.2,8.4,10.7,,725.8,100.0,4.8
17162,2024-06-22 14:00:00,15902.000000000002,0.0079300171296485,126.1031323956705,2038.8693252157923,0.3813913981786326,1957.0157356021496,0.365875244140625,7.745503459639094e-06,725.9,0.172,0.147,0.137,,0.15543589000904465,0.08906052655043716,0.0455715262980704,6.2,8.3,10.6,,725.9,100.0,7.0
17163,2024-06-22 14:30:00,16064.000000000002,0.0078899300387225,126.74383614203887,2068.640054047373,0.3547580901775679,1976.9526334242817,0.347625732421875,8.58854768706799e-06,725.9,0.171,0.147,0.138,,0.15523414323488682,0.08882571042821107,0.045451372852950395,6.4,8.2,10.4,,725.9,100.0,8.6
17164,2024-06-22 15:00:00,16422.0,0.0078034558233199,128.1483515305601,2123.914725942882,0.3113070798139202,2024.464430494011,0.309478759765625,9.097083209768448e-06,726.0,0.17,0.147,0.138,,0.15480624841705573,0.08832767717705668,0.045196533405201994,7.2,8.1,10.3,,726.0,100.0,9.5
17165,2024-06-22 15:30:00,15820.000000000002,0.007950542444263,125.777581468241,2052.3290047245137,0.3690381805946144,1950.2513269038643,0.372406005859375,9.692737243512454e-06,726.0,0.17,0.147,0.139,,0.15503239646072903,0.08859089430598502,0.04533121940783041,7.8,8.2,10.2,,726.0,100.0,10.5
17166,2024-06-22 16:00:00,15982.000000000002,0.0079101448590181,126.4199351368288,2064.178434810031,0.3585920061337663,1971.7042221718912,0.352264404296875,8.685305838309004e-06,726.1,0.169,0.147,0.139,,0.1546045016428979,0.08809286105483059,0.04507637996008198,8.4,8.4,10.1,,726.1,72.5,13.9
