date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-09-03,2023-09-03,6017.416666666667,0.0090779726296416,110.166621784486,2637.649399994727,0.0685737752088751,2517.5885420552163,0.0793774922688802,8.837467464858513e-06,0.0573124999999999,0.0573125,0.0253561721562186,0.0179295212765957,20.5375,0.0,795.8083333333334,67.03750000000001,16.079166666666666,2023-09-03,0.0793774922688802,977.985740911255
2023-09-04,2023-09-04,6343.6875,0.0088503138866892,112.99634972474978,2639.516885169133,0.0682405284263951,2542.855111753148,0.0751355489095052,7.043608596723039e-06,0.0546875,0.0546875,0.0216438615549893,0.0153045212765957,19.70208333333333,1.3239,789.4020833333334,63.91041666666666,15.08125,2023-09-04,0.0751355489095052,970.8181672416885
2023-09-05,2023-09-05,6332.520833333333,0.0088975217143,112.39770488708376,2661.3122804698446,0.0643324759663929,2580.010428846565,0.0693639119466145,5.840674068571391e-06,0.0530833333333333,0.0530833333333333,0.0193752272986824,0.013700354609929,19.591666666666665,0.0,792.5833333333334,61.6375,13.339583333333332,2023-09-05,0.0693639119466145,961.2915814489447
2023-09-06,2023-09-06,6281.4375,0.0089209645340505,112.10175002733692,2655.9319976256843,0.0652246674713825,2589.2204198350723,0.0678698221842448,4.7746182965269564e-06,0.0512291666666666,0.0512291666666666,0.0167530396517823,0.0118461879432624,20.475,0.0,795.1020833333333,46.92291666666667,14.75625,2023-09-06,0.0678698221842448,965.3586792685086
2023-09-07,2023-09-07,6279.083333333333,0.0089246014125009,112.05663052298922,2648.730171122468,0.066568132980651,2585.740889705138,0.0684318542480468,4.514713150271293e-06,0.0483333333333333,0.0483333333333333,0.0126577128774102,0.008950354609929,21.01875,0.0,795.4354166666667,40.516666666666666,15.595833333333331,2023-09-07,0.0684318542480468,955.7000006892987
2023-09-08,2023-09-08,6256.770833333333,0.0089450390741653,111.79980856713524,2673.6353755532127,0.0620340203554856,2614.2523265998907,0.0641682942708333,4.208395643091608e-06,0.0450833333333333,0.0450833333333333,0.0080615187996977,0.005700354609929,20.916666666666668,0.0,797.5437499999999,41.2875,14.570833333333333,2023-09-08,0.0641682942708333,950.1958371711454
2023-09-09,2023-09-09,6246.770833333333,0.0089446550854571,111.8042036075701,2684.9205272073445,0.0600385035110781,2621.330192106145,0.0631281534830729,4.492376917533106e-06,0.0423958333333333,0.0423958333333333,0.00426081985082,0.003012854609929,20.729166666666668,0.0,798.61875,40.625,14.347916666666668,2023-09-09,0.0631281534830729,952.0017464084541
2023-09-10,2023-09-10,6237.770833333333,0.0089667514091143,111.52989473003768,2673.300607509709,0.0620924593138425,2585.5794264645565,0.0684305826822916,6.287539689567716e-06,0.040125,0.040125,0.0010493765529311,0.0007420212765957,20.7625,0.0,796.8229166666666,45.85,15.7625,2023-09-10,0.0684305826822916,952.2771513175904
2023-09-11,2023-09-11,6099.229166666667,0.0090485556406565,110.54077548849716,2628.992543834064,0.0704222901229204,2525.69604136114,0.0784072875976562,7.606815524181421e-06,0.039,0.039,0.0005416137047386,0.0003829787234042,20.466666666666665,3.2826998,795.9499999999999,68.94375000000001,14.91875,2023-09-11,0.0784072875976562,969.896246520057
2023-09-12,2023-09-12,6259.083333333333,0.0089293457865858,112.00310311057083,2650.219112415092,0.0664106031354381,2573.4853034913654,0.0704015096028645,5.5245617257270604e-06,0.0390416666666666,0.0390416666666666,0.0004826881396397,0.0003413120567375,19.74375,0.7152,794.4791666666666,60.40416666666667,12.439583333333331,2023-09-12,0.0704015096028645,940.4248574686004
2023-09-13,2023-09-13,6340.229166666667,0.0089054335933416,112.29755385134142,2687.379674733557,0.0596373698356717,2594.0858971585017,0.0671717325846354,6.666223924517848e-06,0.0380625,0.0380625,0.0018674389194634,0.0013204787234042,19.6,0.0,792.5166666666668,58.60208333333333,12.666666666666666,2023-09-13,0.0671717325846354,954.5013296356366
2023-09-14,2023-09-14,6271.916666666667,0.0090086569244482,111.0475927141932,2650.690093161645,0.0671021478733066,2549.3455306042247,0.07513427734375,7.384316714243576e-06,0.0362708333333333,0.0362708333333333,0.0044012382187151,0.0031121453900709,17.225,1.806,793.2666666666668,75.48541666666667,10.70625,2023-09-14,0.07513427734375,987.8609992610419
2023-09-15,2023-09-15,5722.1875,0.0094139205000118,106.25172727885722,2441.931149783214,0.1129497818522975,2333.799709445484,0.1176185607910156,8.582123869083022e-06,0.0375,0.0375,0.0026629340482982,0.0018829787234042,16.8,6.9926,795.5416666666666,90.72083333333336,10.660416666666666,2023-09-15,0.1176185607910156,1030.3512149153105
2023-09-16,2023-09-16,5379.0625,0.0096091565561406,104.08264101342644,2359.408007619079,0.1356276707776216,2282.8725123803483,0.1299285888671875,6.213994047418573e-06,0.0806875,0.0806875,0.0584134141766897,0.0413045212765957,15.583333333333334,2.5877,798.0083333333333,80.94791666666667,9.677083333333334,2023-09-16,0.1299285888671875,1018.0805249031215
2023-09-17,2023-09-17,5577.875,0.0094341102405818,106.0113885084902,2436.034369021022,0.113812015366875,2363.6523064946155,0.1099357604980468,5.670171033125083e-06,0.0934999999999999,0.0934999999999999,0.076533025444595,0.0541170212765957,16.602083333333333,0.0,797.4666666666667,63.58541666666667,11.091666666666669,2023-09-17,0.1099357604980468,1000.5622715287454
2023-09-18,2023-09-18,5666.729166666667,0.0094709389432986,105.61334716980924,2441.823563675371,0.1125454761337921,2356.810956721068,0.111907958984375,6.695247221178024e-06,0.0881041666666666,0.0881041666666666,0.0689021647642902,0.0487211879432624,16.14375,0.0,795.3479166666666,68.875,10.720833333333331,2023-09-18,0.111907958984375,1006.7391448130587
2023-09-19,2023-09-19,5476.604166666667,0.0095311098646185,104.92864338400273,2421.186204949167,0.1175982140723409,2334.06095264593,0.116736094156901,6.914540537419449e-06,0.08275,0.08275,0.0613302296490842,0.0433670212765957,14.395833333333334,3.8342998,793.4895833333334,81.02291666666666,9.985416666666667,2023-09-19,0.116736094156901,1006.1384755268665
2023-09-20,2023-09-20,5615.270833333333,0.0093715955176055,106.73195881792311,2464.9456510239875,0.1064301973944327,2395.397939539592,0.1031354268391927,5.388143584404575e-06,0.0796666666666666,0.0796666666666666,0.0569697378317672,0.0402836879432624,14.075,0.024899999,792.1208333333334,70.44166666666666,10.125,2023-09-20,0.1031354268391927,1005.8775856847269
2023-09-21,2023-09-21,5788.5625,0.0092890510636174,107.67865866389016,2480.6044038616105,0.1024229917746082,2405.8445768530564,0.1008771260579427,5.7725988347211895e-06,0.0785416666666666,0.0785416666666666,0.0553787475740975,0.0391586879432624,16.8875,1.847,789.9458333333333,54.325,13.6875,2023-09-21,0.1008771260579427,1025.1432536398386
2023-09-22,2023-09-22,5946.916666666667,0.0091596065793102,109.18451135483024,2522.536986576168,0.0923384479635304,2472.272810689716,0.0874532063802083,3.7712912860743e-06,0.077,0.077,0.0531985016654389,0.0376170212765957,16.472916666666666,0.4425,790.3645833333334,46.708333333333336,11.854166666666666,2023-09-22,0.0874532063802083,999.6575319947505
2023-09-23,2023-09-23,5973.541666666667,0.0091422697611784,109.394021517155,2561.0984310756257,0.0840127552047856,2508.778652268944,0.0810330708821614,3.86807175593531e-06,0.0740833333333333,0.0740833333333333,0.0490737121085174,0.034700354609929,16.29375,0.0,792.8479166666666,43.21458333333334,11.33125,2023-09-23,0.0810330708821614,989.668659136259
2023-09-24,2023-09-24,6057.395833333333,0.0090902520022614,110.01586743227044,2588.495773383771,0.0783156317914237,2539.959934572555,0.0757306416829427,3.541321211048358e-06,0.0698958333333333,0.0698958333333333,0.0431516928160801,0.030512854609929,15.491666666666667,0.0,794.80625,48.90833333333333,8.804166666666667,2023-09-24,0.0757306416829427,969.4311536354011
2023-09-25,2023-09-25,5796.395833333333,0.009331746345601,107.16624755824084,2610.2851922863965,0.074007325262562,2560.326319540862,0.0724589029947916,3.613950736621741e-06,0.0664583333333333,0.0664583333333333,0.0382903336954226,0.027075354609929,15.377083333333331,0.0,798.0375,48.06666666666666,9.291666666666666,2023-09-25,0.0724589029947916,974.7694107565457
2023-09-26,2023-09-26,5866.6875,0.0092049765339469,108.64518274924608,2629.478641487644,0.0701476221511498,2573.4893863182647,0.0702679951985677,4.029770739527778e-06,0.0632916666666666,0.0632916666666666,0.0338119907479078,0.0239086879432624,15.702083333333334,0.0,797.3145833333333,47.46666666666667,10.895833333333334,2023-09-26,0.0702679951985677,961.1040004680443
2023-09-27,2023-09-27,6042.458333333333,0.0090691213281727,110.27513760729391,2654.9218057898624,0.0654607535807688,2593.284256754002,0.0672899881998698,4.401479644971703e-06,0.060875,0.060875,0.0303943079721728,0.0214920212765957,16.256249999999998,0.0,794.9875000000001,49.395833333333336,11.860416666666666,2023-09-27,0.0672899881998698,963.6192898709105
2023-09-28,2023-09-28,6212.604166666667,0.0089467087410772,111.78871142704566,2638.3454060206304,0.0685373302094133,2580.3354933213336,0.06927490234375,4.165149742534013e-06,0.0584791666666666,0.0584791666666666,0.0270060879789872,0.0190961879432624,16.45,0.0,791.5520833333334,45.12291666666667,12.59375,2023-09-28,0.06927490234375,962.1307540509779
2023-09-29,2023-09-29,6310.75,0.0089529798350209,111.71023976792706,2596.487230510349,0.0773134514960075,2537.677508143541,0.0766843159993489,4.300392190870771e-06,0.055375,0.055375,0.0226161333791208,0.0159920212765957,15.966666666666669,0.0,790.3395833333334,43.61875,12.18125,2023-09-29,0.0766843159993489,1026.3983615336854
2023-09-30,2023-09-30,6003.520833333333,0.0091175995964039,109.69275116874104,2453.825190523602,0.1089422637791394,2398.845364197567,0.1020240783691406,4.245825731466487e-06,0.0534791666666666,0.0534791666666666,0.0199350201671218,0.0140961879432624,14.025,0.0,789.625,46.43958333333333,12.0125,2023-09-30,0.1020240783691406,1037.9166138451862
2023-10-01,2023-10-01,6090.666666666667,0.0090520793999288,110.47892239706242,2463.434797923689,0.1066900158407303,2399.241530682521,0.1021359761555989,4.959264276326208e-06,0.0542916666666666,0.0542916666666666,0.0210840686865499,0.0149086879432624,14.691666666666668,0.0,788.0895833333334,36.87291666666667,17.037499999999998,2023-10-01,0.1021359761555989,1021.9281799434557
2023-10-02,2023-10-02,6071.291666666667,0.0091338716787231,109.49830378432672,2438.88682827843,0.1132873635504444,2360.9128562134024,0.1108907063802083,6.125876189620738e-06,0.0545416666666666,0.0545416666666666,0.0214376220771432,0.0151586879432624,14.38125,0.31379998,789.4541666666668,52.61875,13.358333333333334,2023-10-02,0.1108907063802083,1030.2532177032422
