date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2024-05-11,2024-05-11,4696.8125,0.0102929374652632,97.17157287257956,2127.206880820523,0.1848191286212214,2075.664497179971,0.1274762834821428,4.599973833799675e-06,0.1921874999999999,0.2031666666666667,0.1971811916293386,0.1905543561779398,0.1103164708254655,9.075,8.964583333333334,3.6381998,789.5958333333333,61.87291666666667,6.991666666666667,2024-05-11,0.1274762834821428,815.2498111986569
2024-05-12,2024-05-12,4604.604166666667,0.0104432463645977,95.76847370202144,2072.897287925461,0.2123513792830275,2011.89635370983,0.1496013294566761,5.620372753126782e-06,0.237625,0.2074583333333333,0.223904192638933,0.2233279700281741,0.1292898991357494,9.5625,8.897916666666667,2.5008,787.15,78.44791666666667,6.672916666666667,2024-05-12,0.1496013294566761,828.8951774414949
2024-05-13,2024-05-13,4707.458333333333,0.0102722004293671,97.35879450534507,2092.091498867393,0.2017413891688517,2037.5524727416807,0.1400279169497282,4.96012262072014e-06,0.230125,0.2165,0.2239278950178606,0.2233570390917132,0.1293067279113501,11.29375,10.13125,0.38889998,789.3479166666666,57.37916666666666,10.8375,2024-05-13,0.1400279169497282,820.3677365101489
2024-05-14,2024-05-14,4869.395833333333,0.0100794252567054,99.2251523521862,2136.610488220876,0.1803644545399449,2079.136659516296,0.1263039328835227,5.120216408878669e-06,0.1988333333333333,0.204,0.2011833058647867,0.1954626277635305,0.1131579865485155,13.177083333333334,11.879166666666668,0.0,788.525,50.64791666666667,12.43125,2024-05-14,0.1263039328835227,813.7695044807086
2024-05-15,2024-05-15,5042.6875,0.009924908529082,100.77900717078762,2186.134497827789,0.1589105096678481,2134.0725666039093,0.1101051888814786,4.527430906136616e-06,0.172125,0.1908333333333333,0.1806341747308274,0.1702607693158055,0.098568028397153,13.847916666666668,12.39375,0.2654,788.1854166666667,55.552083333333336,10.45,2024-05-15,0.1101051888814786,814.2831226035939
2024-05-16,2024-05-16,5201.291666666667,0.0097910910657654,102.14047756818395,2222.170821431279,0.1448033359622548,2174.220596002845,0.0992983863467261,4.083489358393401e-06,0.1432916666666666,0.17525,0.1578273838571892,0.1422900725745487,0.0823751235855546,14.710416666666667,13.397916666666667,0.0,787.7791666666667,50.31458333333333,10.722916666666668,2024-05-16,0.0992983863467261,802.0180763048227
2024-05-17,2024-05-17,5278.375,0.0096872166886039,103.24591649595271,2246.687726318672,0.1352892185335652,2198.8266499545557,0.0929097493489583,4.032894329297166e-06,0.116375,0.1583541666666666,0.1354685268180593,0.1148687306949468,0.0665002534323294,15.14375,14.070833333333333,0.0,786.8354166666667,40.84791666666667,12.910416666666668,2024-05-17,0.0929097493489583,793.2969375135792
2024-05-18,2024-05-18,5291.270833333333,0.0097736604839884,102.32282905814246,2279.7220460738254,0.1236842329030413,2220.716548111985,0.0876003167568109,4.919429247256348e-06,0.0989375,0.1427708333333333,0.118874363734589,0.0945173228246178,0.0547183370405161,14.083333333333334,13.658333333333331,0.0,788.8083333333334,41.56458333333334,13.4125,2024-05-18,0.0876003167568109,801.1586871424304
2024-05-19,2024-05-19,5228.1875,0.0097392596984845,102.70073642564608,2266.077131315974,0.1287431340639305,2203.817860914645,0.0921169547147529,5.253268075031247e-06,0.091375,0.1338125,0.1106769921232689,0.0844639051085529,0.0488981732593488,13.36875,12.733333333333334,0.0755,788.2895833333333,58.38125,12.54375,2024-05-19,0.0921169547147529,803.941487865201
2024-05-20,2024-05-20,5566.729166666667,0.0094213169097219,106.15566987204438,2332.6633402398206,0.1064957012799795,2292.5310652889243,0.0719126825747282,3.2462592517853675e-06,0.0849375,0.1223124999999999,0.1019368980702721,0.0737448819193235,0.042692674562547,14.2125,13.0875,0.0,785.0645833333333,35.86875,13.64375,2024-05-20,0.0719126825747282,808.586873922045
2024-05-21,2024-05-21,5359.479166666667,0.0098293305693682,101.7853767936599,2232.390375450269,0.1411548654280905,2174.50558735322,0.0994931175595238,4.9396647513339724e-06,0.1349583333333333,0.112375,0.1246866792039158,0.1016456607945587,0.0588451022505474,12.454166666666666,12.783333333333331,4.7281,785.5208333333334,60.57083333333333,8.379166666666666,2024-05-21,0.0994931175595238,856.4585094125887
2024-05-22,2024-05-22,5015.041666666667,0.0099149518931633,100.89530530375856,2184.144542459413,0.1599233251635716,2140.7625983981,0.1082799157430959,3.75448348931045e-06,0.2101875,0.1114791666666666,0.1652916538144093,0.1514444000082081,0.0876747825149942,9.716666666666669,10.027083333333334,6.0151997,790.05625,69.17916666666666,4.3187500000000005,2024-05-22,0.1082799157430959,841.3494179458813
2024-05-23,2024-05-23,5392.791666666667,0.0096319313793731,103.83239361987796,2255.51298111613,0.1319930043699375,2207.636507524374,0.0906602812976372,4.017901270316623e-06,0.1696666666666666,0.1137083333333333,0.1442149480397151,0.1255955136482208,0.0727102444419862,10.629166666666666,10.941666666666668,0.0,783.5895833333334,43.77291666666667,10.19375,2024-05-23,0.0906602812976372,845.416271840435
2024-05-24,2024-05-24,5290.416666666667,0.0096952993232434,103.1530243199315,2258.162794618159,0.1312083536194665,2206.9573602951696,0.090950189634811,4.299487015950921e-06,0.1463541666666666,0.1125,0.1309561611682317,0.1093346767424953,0.0632964573416114,9.785416666666666,9.65625,1.8622999,788.0354166666666,68.29791666666667,6.0875,2024-05-24,0.090950189634811,824.1319160978234
2024-05-25,2024-05-25,5540.333333333333,0.0095216372665432,105.04330627253763,2261.969600669868,0.1299445182910768,2204.034290022062,0.0917676842730978,4.875400831722416e-06,0.1256458333333333,0.1114375,0.1191834088718363,0.0948963418572033,0.0549377602166069,10.69375,10.714583333333332,0.0,783.7020833333332,54.458333333333336,9.372916666666669,2024-05-25,0.0917676842730978,834.4652322032979
2024-05-26,2024-05-26,5175.395833333333,0.0098603278641134,101.4209253506739,2202.659628111123,0.1519057257549038,2140.920334619321,0.1079493931361607,5.346510853891197e-06,0.1745,0.1106666666666666,0.1454664684017202,0.1271304028268476,0.0735988284696124,11.48125,10.7,6.6500998,788.9979166666667,72.95208333333333,7.95,2024-05-26,0.1079493931361607,842.7851939920515
2024-05-27,2024-05-27,5139.333333333333,0.0098591557048414,101.43665098690416,2259.9881553440005,0.1306553319911288,2205.6412155037256,0.0913563603940217,4.567715290428327e-06,0.1594166666666666,0.1108958333333333,0.1373477714015251,0.1171734732007208,0.0678345239496667,13.9625,12.597916666666668,0.0,793.5666666666666,51.708333333333336,11.535416666666668,2024-05-27,0.0913563603940217,830.889211076988
2024-05-28,2024-05-28,5168.520833333333,0.0098310360207968,101.72721583608892,2303.2275465383,0.1160360549133796,2250.007761098748,0.0810503278459821,4.379109082796267e-06,0.1178541666666666,0.1077916666666666,0.1132774056477472,0.0876531033827879,0.050744476358543,15.077083333333334,14.083333333333334,0.0,794.9041666666667,41.84375,13.96875,2024-05-28,0.0810503278459821,822.2908710864966
2024-05-29,2024-05-29,5321.604166666667,0.0096335460802195,103.82126144181652,2342.3911766220644,0.103591279156082,2286.1208195344266,0.0732574462890625,4.560412289011297e-06,0.0901041666666666,0.1027916666666666,0.0958748653426955,0.0663102857940698,0.0383886091871808,15.51875,14.402083333333332,0.0,791.9708333333333,38.610416666666666,15.185416666666669,2024-05-29,0.0732574462890625,820.6176989423344
2024-05-30,2024-05-30,5524.145833333333,0.009485021344209,105.43912235910042,2395.845300752873,0.0881908022411218,2343.318830716112,0.0620961743731831,4.156508423437258e-06,0.0747083333333333,0.0977708333333333,0.0851979284636517,0.0532158804819018,0.0308079450104579,15.489583333333334,14.35,0.0,790.4729166666666,41.797916666666666,14.0,2024-05-30,0.0620961743731831,816.5237975795437
2024-05-31,2024-05-31,5647.416666666667,0.0094431877294978,105.90300462932336,2436.7423095401027,0.0774000679275427,2383.111523327821,0.0549984886532738,4.1687062786412765e-06,0.0634583333333333,0.0927708333333333,0.0767906371710551,0.042905013141401,0.0248387374889492,15.497916666666669,14.704166666666666,0.0,791.2833333333333,38.25208333333333,13.254166666666668,2024-05-31,0.0549984886532738,818.6005836981598
2024-06-01,2024-06-01,5603.604166666667,0.0093983708209841,106.4126901315009,2423.31909328912,0.0807977284212213,2364.4307716363114,0.0582051595052083,4.613190326659769e-06,0.05625,0.089375,0.0713163561492378,0.036191247264122,0.020951977971165,15.320833333333333,14.366666666666667,0.0,790.7895833333333,41.06458333333333,14.920833333333334,2024-06-01,0.0582051595052083,801.3703405187864
2024-06-02,2024-06-02,5831.1875,0.0092493094195408,108.12227082507022,2438.651816073812,0.0769088449934494,2388.179249582978,0.0541431515715843,3.917085789531785e-06,0.0511875,0.0877916666666666,0.0678362973296924,0.0319232347049437,0.0184811234999733,17.358333333333334,15.51875,0.0,786.9854166666668,32.52916666666667,16.95625,2024-06-02,0.0541431515715843,804.5940819138939
2024-06-03,2024-06-03,5901.583333333333,0.0091767577290259,108.98056360491518,2487.4041126559423,0.0649289258853207,2425.2834196854246,0.0479823521205357,4.743705561450235e-06,0.0445,0.085625,0.0632050232947142,0.0262433491710361,0.0151929020215402,16.631249999999998,15.689583333333331,0.0,786.9520833333332,36.82083333333333,16.09375,2024-06-03,0.0479823521205357,816.8422548209625
2024-06-04,2024-06-04,5742.666666666667,0.0093927093042099,106.47179331799254,2437.889056896372,0.0771721695774711,2350.8568933212546,0.0608317057291666,6.867854161022936e-06,0.0423958333333333,0.0842291666666666,0.0614230302815532,0.0240578779031877,0.0139276804742859,17.53125,15.666666666666666,1.7281,787.9145833333333,55.84791666666666,15.8375,2024-06-04,0.0608317057291666,820.8034355557627
2024-06-05,2024-06-05,5644.625,0.0094185177548935,106.18456758548363,2479.1663439275308,0.0669887733981346,2406.806078994603,0.0510658441587936,5.569526878140173e-06,0.0435208333333333,0.0830833333333333,0.0615151794511966,0.0241708914566217,0.0139931067212652,18.175,16.439583333333335,0.0,792.96875,50.11875,15.429166666666667,2024-06-05,0.0510658441587936,802.9246741679038
2024-06-06,2024-06-06,5612.916666666667,0.0094129060949191,106.24854886788437,2502.671080007479,0.061372540207581,2432.96764878878,0.0467790876116071,5.309790096121196e-06,0.0415416666666666,0.0822291666666666,0.0600477003518626,0.0223711462364798,0.0129511912014455,20.758333333333333,18.29583333333333,0.0,793.9375,40.88541666666666,18.3,2024-06-06,0.0467790876116071,815.2139229848498
2024-06-07,2024-06-07,5783.645833333333,0.0093419007742388,107.05989706653811,2509.077437187237,0.0601835492000519,2425.836994795775,0.0483377146166424,6.3877205949431625e-06,0.0361458333333333,0.0812291666666666,0.056651238809403,0.0182056590215604,0.0105396911022853,21.03333333333333,19.18958333333333,0.0,791.7062500000001,37.75208333333333,19.097916666666663,2024-06-07,0.0483377146166424,830.8953169783945
2024-06-08,2024-06-08,5582.833333333333,0.0094330421479124,106.0201245995673,2431.930964512116,0.0786503660262129,2341.088287579488,0.0625424268769054,7.190407541790002e-06,0.0519375,0.0866041666666666,0.0677050576303973,0.0317622797573698,0.0183879428341812,18.072916666666668,17.341666666666665,1.9455999,791.0541666666667,59.89166666666667,16.660416666666666,2024-06-08,0.0625424268769054,844.8355441952982
2024-06-09,2024-06-09,5709.25,0.0093344231128303,107.14163113648875,2466.1068228593244,0.0700309730323401,2382.168562971672,0.0551562186999198,6.529375609544954e-06,0.0529791666666666,0.08,0.0652691439783405,0.0287748273609731,0.0166584352451665,18.23125,16.995833333333334,0.0219,791.7854166666666,49.43958333333333,18.002083333333335,2024-06-09,0.0551562186999198,829.466823331234
2024-06-10,2024-06-10,5799.104166666667,0.0092770831829832,107.80655593741577,2488.039131075793,0.0650247769032026,2404.1520071702407,0.0516218705610795,6.466280969999707e-06,0.0507916666666666,0.0795208333333333,0.0638586510250308,0.0270449710707439,0.0156569800971397,19.80208333333333,18.089583333333334,0.0,791.525,42.50625,19.09375,2024-06-10,0.0516218705610795,817.49620104685
2024-06-11,2024-06-11,5786.1875,0.0092844540193187,107.72142418762569,2496.3512979975712,0.0629815782901314,2413.7982052655493,0.0500280206853693,6.34794024509063e-06,0.0467499999999999,0.0790208333333333,0.0614278526258927,0.0240637921210998,0.0139311043563784,21.085416666666667,18.9625,0.1734,792.9104166666666,47.95208333333333,18.579166666666666,2024-06-11,0.0500280206853693,816.0838551804443
2024-06-12,2024-06-12,5899.479166666667,0.0091956891987308,108.75473021525256,2540.769491564249,0.0529264554282181,2469.763399417454,0.0411994401798691,5.326521876220617e-06,0.0396666666666666,0.0787916666666666,0.0574620231750117,0.0192000209087126,0.0111153509628846,22.40833333333333,20.245833333333334,0.0,793.3125,34.927083333333336,20.0375,2024-06-12,0.0411994401798691,817.6796939789677
2024-06-13,2024-06-13,5987.145833333333,0.0091461510685407,109.34128092203945,2568.1158403846507,0.0471252447529418,2502.119124820602,0.036541748046875,4.885139590756975e-06,0.0332916666666666,0.0778541666666666,0.0535601797504527,0.0144147234170626,0.0083450278817589,22.9625,20.414583333333333,0.0,793.8895833333332,31.00625,20.629166666666663,2024-06-13,0.036541748046875,814.6916195369528
2024-06-14,2024-06-14,5937.6875,0.0092452654598443,108.18832540472124,2547.4742161226504,0.0519835247841071,2453.7152485011998,0.0442366166548295,7.112777427201074e-06,0.0284583333333333,0.0773333333333333,0.0506883154252277,0.0108926125436844,0.0063059937226854,21.3125,20.464583333333334,0.0,794.2583333333333,44.13541666666666,18.006249999999998,2024-06-14,0.0442366166548295,840.9595300056371
2024-06-15,2024-06-15,5661.875,0.0093592193789123,106.86883285360844,2442.4322112917616,0.0760889562003434,2354.908326098356,0.0601724764195884,6.896120567838618e-06,0.058125,0.0748541666666666,0.0657339836401497,0.0293449158616223,0.016988473102664,18.214583333333334,17.58125,2.201,791.7666666666668,65.79791666666667,15.027083333333332,2024-06-15,0.0601724764195884,857.2206909053272
2024-06-16,2024-06-16,6017.229166666667,0.0090740658665706,110.2225940965278,2512.453133841296,0.0591142355299339,2452.913100426611,0.0437290357506793,4.505948895452864e-06,0.0574583333333333,0.0754375,0.0656358587149637,0.0292245735240991,0.0169188040474258,19.49375,18.225,0.0,787.1479166666667,36.64375,18.691666666666663,2024-06-16,0.0437290357506793,840.5938184649862
2024-06-17,2024-06-17,6358.1875,0.0088213459505802,113.37568576396646,2556.091580367301,0.0495954459413967,2504.8013771480887,0.0361514207793445,3.793780145995057e-06,0.0504583333333333,0.0762083333333333,0.0621702932078352,0.024974335848228,0.0144582398809803,20.89583333333333,19.558333333333334,0.0,782.5895833333334,28.45208333333333,18.916666666666668,2024-06-17,0.0361514207793445,832.4400742691398
2024-06-18,2024-06-18,6412.833333333333,0.0088708138109937,112.73628079043664,2607.457163940724,0.0391596898319436,2552.0086360813134,0.029848965731534,4.023492729763138e-06,0.0416874999999999,0.0764791666666666,0.0575119118045454,0.0192612053048538,0.0111507720720488,22.339583333333334,20.53333333333333,0.0,783.9520833333332,29.879166666666663,16.879166666666666,2024-06-18,0.029848965731534,829.3298979831693
2024-06-19,2024-06-19,6230.958333333333,0.0089769753130282,111.40152864862635,2609.750731155764,0.0388952129876046,2537.820567334036,0.0318482864734738,5.25203090627424e-06,0.03225,0.0754166666666666,0.0518836414724659,0.0123585839098213,0.0071546795816033,20.122916666666665,19.66875,0.0,789.5791666666668,44.78958333333333,14.483333333333334,2024-06-19,0.0318482864734738,822.3186354116651
2024-06-20,2024-06-20,6074.3125,0.0091488678629892,109.32435103870296,2568.9609647299344,0.0470697925397884,2471.177904774177,0.0411565871465773,7.341987865496386e-06,0.0294583333333333,0.0744583333333333,0.0499258360266376,0.0099574928178281,0.0057646305650811,20.775,19.010416666666668,0.0,792.6666666666666,43.03958333333333,18.89375,2024-06-20,0.0411565871465773,843.590879639256
2024-06-21,2024-06-21,5636.0,0.0094661266706198,105.66755500345045,2447.176588501156,0.0753317112754662,2336.043005815377,0.0639234754774305,8.815865533718307e-06,0.0477083333333333,0.0736041666666666,0.0594866230776746,0.0216830300358414,0.0125528242876953,18.2125,18.120833333333334,6.2584996,795.3291666666668,75.81666666666666,14.416666666666666,2024-06-21,0.0639234754774305,890.6994231161298
2024-06-22,2024-06-22,5217.3125,0.009862692100566,101.40055639631603,2262.111264634247,0.1297870448463592,2164.5028287673986,0.1016110506924715,8.356704013784879e-06,0.173,0.0920625,0.1361869222391263,0.1157497849640153,0.0670103168048958,18.28333333333333,17.577083333333334,12.1851,795.8145833333333,71.17083333333333,15.039583333333333,2024-06-22,0.1016110506924715,887.2097788687472
2024-06-23,2024-06-23,5175.979166666667,0.0097635468542646,102.45099309284814,2222.0415720120104,0.1450851343283838,2136.422362990288,0.1097592440518465,7.435401103388854e-06,0.1748541666666666,0.0965208333333333,0.139225550867211,0.1194764188572431,0.0691677542280296,18.241666666666667,17.777083333333334,4.5394998,796.8208333333333,62.24166666666667,16.408333333333335,2024-06-23,0.1097592440518465,860.9618017923011
2024-06-24,2024-06-24,5430.25,0.0095762209638295,104.43853997047772,2344.956988088596,0.103041971858121,2255.949551785843,0.0798162415970203,7.309258760382431e-06,0.1234374999999999,0.0926458333333333,0.1094324217681927,0.0829375395550706,0.0480145237620238,20.2125,19.022916666666667,0.0,794.28125,49.69166666666666,19.322916666666668,2024-06-24,0.0798162415970203,853.5144551090681
2024-06-25,2024-06-25,5599.1875,0.0094398910451413,105.94298820885534,2403.010776104671,0.0863633306741095,2315.004364352615,0.0675141090570494,7.040852646925555e-06,0.0819583333333333,0.0875,0.084478868387231,0.0523340110664393,0.0302974097301629,21.69375,20.4375,0.0,794.5104166666666,44.58958333333334,20.12708333333333,2024-06-25,0.0675141090570494,832.1096184522941
