,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
169,2024-05-02,2024-05-02,5445.958333333333,0.0095839129494074,104.3566943170868,2263.9683976394545,0.138509113326307,2217.6041132285523,0.123419443766276,3.890275561328615e-06,787.8208333333333,0.1143541666666666,0.1143541666666666,0.1060442403387064,0.0749846014492753,10.020833333333334,2.0428998,787.8208333333333,64.22083333333333,5.010416666666667,2024-05-02,0.123419443766276,958.3299544045044,3009.7813556716837,2948.1434110190585,4565.930135532561,0.11284242115135631,0.16484242115135633,R4,6938.389583368872
170,2024-05-03,2024-05-03,5697.625,0.009368872952526,106.74451576092372,2328.2445473215307,0.1187036428471092,2292.345902544654,0.1047223409016927,2.9028038195120284e-06,786.1979166666666,0.11,0.11,0.0998865187858736,0.0706304347826086,11.5375,0.0,786.1979166666666,38.40416666666667,8.706249999999999,2024-05-03,0.1047223409016927,941.8217778854864,3095.2318227052274,3047.5071849161222,4663.623587875307,0.10854581593717647,0.16054581593717648,R4,7115.947079502372
171,2024-05-04,2024-05-04,5581.291666666667,0.0094669352374645,105.6456472799225,2340.038998869664,0.1155362408399257,2293.912100458762,0.1044820149739583,3.724677614482247e-06,789.0,0.1010625,0.1010625,0.087246985072164,0.0616929347826086,11.291666666666666,0.0,789.0,54.270833333333336,7.058333333333334,2024-05-04,0.1044820149739583,929.1659278923383,3110.911688381337,3049.5893311537147,4619.5558892845065,0.09972646839228089,0.15172646839228088,R4,6998.462277532037
172,2024-05-05,2024-05-05,5844.041666666667,0.0092521657970977,108.10183894519812,2361.0680076813023,0.1096578287859324,2310.0884578566697,0.100775400797526,4.087031696394857e-06,782.9479166666666,0.0938541666666666,0.0938541666666666,0.077052862310058,0.0544846014492753,12.897916666666667,0.0,782.9479166666666,34.50625,14.35,2024-05-05,0.100775400797526,937.5266314028664,3138.868226429977,3071.0946220180526,4604.122890004341,0.09261342818124614,0.14461342818124612,R4,6947.05822795154
173,2024-05-06,2024-05-06,5665.604166666667,0.0094049088307887,106.4073706535201,2251.5600831983106,0.1456141683212742,2201.767525035525,0.1296526590983072,4.174612229357455e-06,780.4104166666666,0.1490625,0.1490625,0.1551292360660726,0.1096929347826087,11.047916666666666,10.2119,780.4104166666666,63.46875,5.03125,2024-05-06,0.1296526590983072,972.5060254993969,2993.285403917584,2927.0898186056124,4769.069064692804,0.14709191534668514,0.19909191534668513,R4,7286.289744312715
174,2024-05-07,2024-05-07,5381.166666666667,0.0096401858806756,103.7385835118124,2185.6322448634096,0.1664270134156618,2135.918009852516,0.1471239725748697,4.318041430323823e-06,782.8020833333334,0.1850208333333333,0.1850208333333333,0.2059819987464052,0.145651268115942,8.004166666666666,2.5577,782.8020833333334,78.77083333333333,1.93125,2024-05-07,0.1471239725748697,968.573154787276,2905.639136925953,2839.547676548998,4830.399325373327,0.1825748847231182,0.23457488472311822,R4,7410.427646404089
175,2024-05-08,2024-05-08,5305.104166666667,0.0097088908825707,103.00336697127231,2162.5137757558327,0.1755143433934786,2126.487826484688,0.1499748229980468,3.140235432420533e-06,784.8958333333334,0.1977916666666666,0.1977916666666666,0.2240426844492115,0.1584221014492753,7.931249999999999,3.7115,784.8958333333334,59.6625,1.66875,2024-05-08,0.1499748229980468,958.3172215170838,2874.904813353148,2827.0109334961144,4844.0148190950085,0.19517688949006687,0.2471768894900669,R4,7486.538502718601
176,2024-05-09,2024-05-09,5245.0,0.0097645646901917,102.41751063484212,2211.7028356601245,0.1565999156144839,2173.408484533592,0.1355311075846354,3.2624468935841373e-06,789.6854166666667,0.1810416666666666,0.1810416666666666,0.2003546072794622,0.1416721014492753,8.637500000000001,0.0,789.6854166666667,54.58125,3.7854166666666655,2024-05-09,0.1355311075846354,954.6293392662164,2940.298091615035,2889.3885364426405,4866.785314712246,0.17864832206326955,0.23064832206326957,R4,7504.381908905589
177,2024-05-10,2024-05-10,5063.395833333333,0.0099400873724386,100.6223215114477,2208.042403489659,0.1582311220940454,2156.0150356802665,0.1409632364908854,4.469018475216223e-06,793.4708333333333,0.1688333333333333,0.1688333333333333,0.1830894167054907,0.129463768115942,9.94375,0.0,793.4708333333333,57.8875,7.618749999999999,2024-05-10,0.1409632364908854,935.2372447954892,2935.4318132200474,2866.265210991565,4791.794345046416,0.1666013811278178,0.2186013811278178,R4,7330.7575312907675
178,2024-05-11,2024-05-11,4746.708333333333,0.010265432710357,97.4275297182634,2191.1044371545663,0.1648088685624041,2136.6664282792294,0.1471748352050781,4.719099599068107e-06,790.7770833333334,0.1540833333333333,0.1540833333333333,0.1622297666604875,0.114713768115942,9.9375,2.3625998,790.7770833333334,66.75833333333334,6.247916666666666,2024-05-11,0.1471748352050781,934.0087827846204,2912.914018655639,2840.5426444245704,4670.765733750234,0.1520463739907873,0.2040463739907873,R4,7121.668332945773
181,2024-05-14,2024-05-14,4922.208333333333,0.010080186647325,99.21417334201648,2181.5241511337176,0.167825105796755,2119.548875504488,0.1521542867024739,5.415797479688926e-06,789.5145833333332,0.1626041666666667,0.1626041666666667,0.1742800447232083,0.1232346014492753,13.497916666666669,0.0,789.5145833333332,51.85,12.458333333333334,2024-05-14,0.1521542867024739,937.8596529986364,2900.17772504058,2817.786102747637,4699.364529741767,0.16045456314198153,0.21245456314198152,R4,7148.324831720354
182,2024-05-15,2024-05-15,5049.583333333333,0.0099531876230358,100.48649402648329,2229.795205702821,0.1501259445928866,2168.520174557663,0.1370582580566406,5.238895941843955e-06,789.2687500000001,0.1448333333333333,0.1448333333333333,0.1491482912085364,0.105463768115942,14.04375,0.4438,789.2687500000001,59.3875,10.397916666666667,2024-05-15,0.1370582580566406,937.7499620843068,2964.3505819639277,2882.8898837928796,4697.021997451337,0.14291865765061565,0.19491865765061567,R4,7131.234142707559
