,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
64,2023-09-06,2023-09-06,9946.958333333334,0.0070904589276976,141.0420617282277,2573.1233475379827,0.1386029156727559,2520.885213210844,0.129522959391276,3.8420290746041226e-06,724.3375,0.0276875,0.0494583333333333,0.0837708333333333,0.0478409502378477,0.0381878984513867,0.0195501681304993,13.315217391304348,13.527083333333332,13.147916666666667,0.0,724.3375,42.27708333333333,11.65,2023-09-06,0.129522959391276,1219.32157354652,3379.382330673398,3310.775970118866,4554.0343506502595,0.041540314229067024,0.09704031422906703,F2,6621.593870854116
65,2023-09-07,2023-09-07,10050.6875,0.0070536454215714,141.77643376611624,2593.96839534272,0.1323434910360613,2544.451465231964,0.1235682169596354,3.605100112868037e-06,724.8291666666668,0.0210833333333333,0.0450208333333333,0.0788333333333333,0.0423614738922903,0.0445666720095295,0.0228157601265299,13.593478260869563,13.729166666666666,13.272916666666667,0.0,724.8291666666668,36.75416666666667,12.2375,2023-09-07,0.1235682169596354,1220.3535680177836,3406.7589375122325,3341.726439616012,4532.738311380742,0.03678248295536625,0.09228248295536626,F2,6579.510900848471
66,2023-09-08,2023-09-08,10096.416666666666,0.0070375193518964,142.09949952200935,2637.2558902732685,0.1199311393854546,2592.168956621186,0.1122233072916666,3.221849748621473e-06,726.7145833333334,0.0157083333333333,0.0409166666666666,0.074375,0.0308939015366255,0.0579163139653181,0.0296500651106042,13.42608695652174,13.616666666666667,13.21875,0.0,726.7145833333334,33.833333333333336,12.029166666666669,2023-09-08,0.1122233072916666,1221.1501268488094,3463.610077449763,3404.3956650999326,4479.556419874444,0.02682518577103864,0.08232518577103864,F2,6464.399417361574
67,2023-09-09,2023-09-09,10100.083333333334,0.007036185459131,142.1256798949395,2651.437467458727,0.1160982029414392,2607.628011641799,0.1087926228841145,3.112764250860618e-06,727.6916666666666,0.0114791666666666,0.0373333333333333,0.0706875,0.0288243000603013,0.0603255805339699,0.0308834811507221,13.157446808510638,13.329166666666666,13.085416666666667,0.0,727.6916666666666,31.6875,11.945833333333333,2023-09-09,0.1087926228841145,1219.0263826552775,3482.2352908144762,3424.698639473684,4479.510847453677,0.025028150067775486,0.08052815006777549,F2,6462.315728843344
68,2023-09-10,2023-09-10,10149.270833333334,0.0070192851530305,142.4701810249092,2671.320122211067,0.1110277662282696,2606.078376368945,0.1093101501464843,4.645981541604312e-06,726.1125000000001,0.0091666666666666,0.0351458333333333,0.0675208333333333,0.0273548350002013,0.0620362156893859,0.0317592351527628,13.683333333333332,13.6625,13.260416666666666,0.0,726.1125000000001,43.54583333333333,12.135416666666666,2023-09-10,0.1093101501464843,1229.9810253230128,3508.347949665917,3422.66344358419,4495.6905409784895,0.02375221302970015,0.07925221302970015,F2,6425.67374478192
69,2023-09-11,2023-09-11,9788.9375,0.0071482018706589,139.91237403380333,2565.913954221994,0.1413171472151183,2480.872548571839,0.1405843098958333,6.352092800253064e-06,724.3416666666667,0.0356875,0.0344375,0.065375,0.0419360406548081,0.045061927781225,0.0230693046785186,12.2875,12.458333333333334,12.44375,4.8199,724.3416666666667,75.63958333333333,9.379166666666666,2023-09-11,0.1405843098958333,1249.4532366565586,3369.9139558245056,3258.225791359036,4479.185178743331,0.03641307912286213,0.09191307912286212,F2,6406.92758741987
70,2023-09-12,2023-09-12,9960.375,0.0070857446570191,141.13672842715488,2577.212252930927,0.1372809009471283,2513.577477966417,0.131323496500651,4.692349713397868e-06,723.0354166666666,0.0388333333333333,0.0348958333333333,0.0638958333333333,0.0431112305866011,0.0436938644864916,0.0223689292059262,10.404347826086957,11.047916666666666,11.475,0.024799999,723.0354166666666,62.44166666666666,8.69375,2023-09-12,0.131323496500651,1226.6969445567174,3384.7524481417013,3301.1784390149314,4511.455740556836,0.037433496961613515,0.09293349696161352,F2,6513.088664989553
71,2023-09-13,2023-09-13,10057.229166666666,0.0070513736559225,141.8224055675885,2599.514250697313,0.1306459906496118,2532.74514931489,0.126373291015625,4.882000434223165e-06,721.2979166666668,0.0326458333333333,0.035375,0.062625,0.0403367106025569,0.0469237415029531,0.024022454046866,10.733333333333334,11.189583333333331,11.420833333333334,0.0,721.2979166666668,58.19791666666666,8.989583333333334,2023-09-13,0.126373291015625,1226.4883053814724,3414.0425236689994,3326.3520825315404,4520.503775916251,0.03502438026558178,0.09052438026558177,F2,6509.327830117768
72,2023-09-14,2023-09-14,9991.145833333334,0.0070752583437051,141.35173833669228,2595.4819474841074,0.1320522920240241,2513.4675115594187,0.1315994262695312,6.049647096361632e-06,721.6374999999999,0.0329166666666666,0.0347916666666666,0.0618333333333333,0.0400729123628267,0.0472308345772101,0.0241796693291126,10.047916666666667,10.770833333333334,11.152083333333332,0.0857,721.6374999999999,80.83125,6.685416666666666,2023-09-14,0.1315994262695312,1258.3189560417736,3408.7467440307387,3301.0340158829686,4510.624275238066,0.03479532415952648,0.09029532415952649,F2,6455.445180236535
73,2023-09-15,2023-09-15,9137.729166666666,0.0073977465641679,135.18325473062313,2383.188406858549,0.20857953174434,2298.7277713961835,0.2011032104492187,6.805172030051384e-06,723.1979166666666,0.1158125,0.0675208333333333,0.06175,0.0869382392806493,0.0073260773035208,0.0037505610109232,8.672916666666667,9.335416666666667,10.033333333333331,10.457399,723.1979166666666,97.09791666666666,5.472916666666666,2023-09-15,0.2011032104492187,1255.4421429671513,3129.9334330433157,3019.008016509333,4563.5052865149355,0.07548850431032876,0.13098850431032877,F2,6625.274932861223
